Date,2021/06/29
Name,元大台灣卓越50基金
Net Asset,184905041334
Shares Outstanding,1344500000
ETF Currency,NTD
NAV per Share,137.53

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
1101_TW,台泥,NTD,12043,,,,,1.0,1.0
1102_TW,亞泥,NTD,5366,,,,,1.0,1.0
1216_TW,統一,NTD,11092,,,,,1.0,1.0
1301_TW,台塑,NTD,11267,,,,,1.0,1.0
1303_TW,南亞,NTD,13063,,,,,1.0,1.0
1326_TW,台化,NTD,7921,,,,,1.0,1.0
1402_TW,遠東新,NTD,9077,,,,,1.0,1.0
1590_TW,亞德客-KY,NTD,341,,,,,1.0,1.0
2002_TW,中鋼,NTD,28534,,,,,1.0,1.0
2207_TW,和泰車,NTD,738,,,,,1.0,1.0
2303_TW,聯電,NTD,26959,,,,,1.0,1.0
2308_TW,台達電,NTD,4998,,,,,1.0,1.0
2317_TW,鴻海,NTD,27611,,,,,1.0,1.0
2327_TW,國巨,NTD,1058,,,,,1.0,1.0
2330_TW,台積電,NTD,55560,,,,,1.0,1.0
2357_TW,華碩,NTD,1631,,,,,1.0,1.0
2379_TW,瑞昱,NTD,1095,,,,,1.0,1.0
2382_TW,廣達,NTD,6156,,,,,1.0,1.0
2395_TW,研華,NTD,952,,,,,1.0,1.0
2408_TW,南亞科,NTD,1892,,,,,1.0,1.0
2409_TW,友達,NTD,20363,,,,,1.0,1.0
2412_TW,中華電,NTD,8800,,,,,1.0,1.0
2454_TW,聯發科,NTD,3423,,,,,1.0,1.0
2603_TW,長榮,NTD,6043,,,,,1.0,1.0
2609_TW,陽明,NTD,3483,,,,,1.0,1.0
2615_TW,萬海,NTD,2567,,,,,1.0,1.0
2801_TW,彰銀,NTD,15031,,,,,1.0,1.0
2880_TW,華南金,NTD,22148,,,,,1.0,1.0
2881_TW,富邦金,NTD,16997,,,,,1.0,1.0
2882_TW,國泰金,NTD,19119,,,,,1.0,1.0
2884_TW,玉山金,NTD,27640,,,,,1.0,1.0
2885_TW,元大金,NTD,26905,,,,,1.0,1.0
2886_TW,兆豐金,NTD,25188,,,,,1.0,1.0
2887_TW,台新金,NTD,23970,,,,,1.0,1.0
2891_TW,中信金,NTD,41979,,,,,1.0,1.0
2892_TW,第一金,NTD,23408,,,,,1.0,1.0
2912_TW,統一超,NTD,1298,,,,,1.0,1.0
3008_TW,大立光,NTD,237,,,,,1.0,1.0
3034_TW,聯詠,NTD,1324,,,,,1.0,1.0
3045_TW,台灣大,NTD,3785,,,,,1.0,1.0
3711_TW,日月光投控,NTD,7915,,,,,1.0,1.0
4904_TW,遠傳,NTD,3696,,,,,1.0,1.0
4938_TW,和碩,NTD,4723,,,,,1.0,1.0
5871_TW,中租-KY,NTD,2925,,,,,1.0,1.0
5876_TW,上海商銀,NTD,7580,,,,,1.0,1.0
5880_TW,合庫金,NTD,22227,,,,,1.0,1.0
6415_TW,矽力-KY,NTD,142,,,,,1.0,1.0
6505_TW,台塑化,NTD,3158,,,,,1.0,1.0
8046_TW,南電,NTD,486,,,,,1.0,1.0
9910_TW,豐泰,NTD,1020,,,,,1.0,1.0
Cash,保證金,NTD,385675957.0,,,,1,1,1.0
Cash,現金,NTD,3841289547.0,,,,1,1,1.0
Cash,附買回債券,NTD,8206000000.0,,,,1,1,1.0
Cash,應收股利,NTD,374230348.0,,,,1,1,1.0

