Date,2021/06/29
Name,元大台灣中型100基金
Net Asset,610722096
Shares Outstanding,10500000
ETF Currency,NTD
NAV per Share,58.16

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
1210_TW,大成,NTD,3000,,,,,1.0,1.0
1227_TW,佳格,NTD,2124,,,,,1.0,1.0
1229_TW,聯華,NTD,4364,,,,,1.0,1.0
1434_TW,福懋,NTD,4821,,,,,1.0,1.0
1440_TW,南,NTD,5369,,,,,1.0,1.0
1476_TW,儒鴻,NTD,939,,,,,1.0,1.0
1477_TW,聚陽,NTD,972,,,,,1.0,1.0
1504_TW,東元,NTD,8400,,,,,1.0,1.0
1605_TW,華新,NTD,14906,,,,,1.0,1.0
1717_TW,長興,NTD,4741,,,,,1.0,1.0
1722_TW,台肥,NTD,3485,,,,,1.0,1.0
1802_TW,台玻,NTD,7642,,,,,1.0,1.0
1904_TW,正隆,NTD,4432,,,,,1.0,1.0
1907_TW,永豐餘,NTD,6118,,,,,1.0,1.0
2006_TW,東和鋼鐵,NTD,4258,,,,,1.0,1.0
2014_TW,中,NTD,4033,,,,,1.0,1.0
2027_TW,大成鋼,NTD,6081,,,,,1.0,1.0
2049_TW,上銀,NTD,1272,,,,,1.0,1.0
2059_TW,川湖,NTD,298,,,,,1.0,1.0
2105_TW,正新,NTD,8667,,,,,1.0,1.0
2108_TW,南帝,NTD,1695,,,,,1.0,1.0
2201_TW,裕隆,NTD,2601,,,,,1.0,1.0
2227_TW,裕日車,NTD,109,,,,,1.0,1.0
2301_TW,光寶科,NTD,10053,,,,,1.0,1.0
2313_TW,華通,NTD,5186,,,,,1.0,1.0
2324_TW,仁寶,NTD,19435,,,,,1.0,1.0
2337_TW,旺宏,NTD,8483,,,,,1.0,1.0
2344_TW,華邦電,NTD,13910,,,,,1.0,1.0
2345_TW,智邦,NTD,2511,,,,,1.0,1.0
2347_TW,聯強,NTD,6402,,,,,1.0,1.0
2352_TW,佳世達,NTD,6424,,,,,1.0,1.0
2353_TW,宏,NTD,13437,,,,,1.0,1.0
2354_TW,鴻準,NTD,5216,,,,,1.0,1.0
2356_TW,英業達,NTD,14323,,,,,1.0,1.0
2360_TW,致茂,NTD,1857,,,,,1.0,1.0
2371_TW,大同,NTD,10472,,,,,1.0,1.0
2376_TW,技嘉,NTD,2315,,,,,1.0,1.0
2377_TW,微星,NTD,3237,,,,,1.0,1.0
2383_TW,台光電,NTD,1391,,,,,1.0,1.0
2385_TW,群光,NTD,2855,,,,,1.0,1.0
2404_TW,漢唐,NTD,720,,,,,1.0,1.0
2441_TW,超豐,NTD,1380,,,,,1.0,1.0
2449_TW,京元電子,NTD,5246,,,,,1.0,1.0
2458_TW,義隆,NTD,1351,,,,,1.0,1.0
2474_TW,可成,NTD,3450,,,,,1.0,1.0
2492_TW,華新科,NTD,2297,,,,,1.0,1.0
2542_TW,興富發,NTD,4595,,,,,1.0,1.0
2606_TW,裕民,NTD,1998,,,,,1.0,1.0
2610_TW,華航,NTD,12180,,,,,1.0,1.0
2618_TW,長榮航,NTD,10905,,,,,1.0,1.0
2633_TW,台灣高鐵,NTD,9850,,,,,1.0,1.0
2637_TW,慧洋-K,NTD,2294,,,,,1.0,1.0
2809_TW,京城銀,NTD,4461,,,,,1.0,1.0
2812_TW,台中銀,NTD,13452,,,,,1.0,1.0
2823_TW,中壽,NTD,9728,,,,,1.0,1.0
2834_TW,臺企銀,NTD,23385,,,,,1.0,1.0
2845_TW,遠東銀,NTD,9998,,,,,1.0,1.0
2883_TW,開發金,NTD,65664,,,,,1.0,1.0
2888_TW,新光金,NTD,56033,,,,,1.0,1.0
2889_TW,國票金,NTD,12878,,,,,1.0,1.0
2890_TW,永豐金,NTD,49581,,,,,1.0,1.0
2915_TW,潤泰全,NTD,1988,,,,,1.0,1.0
3023_TW,信邦,NTD,969,,,,,1.0,1.0
3037_TW,欣興,NTD,6067,,,,,1.0,1.0
3044_TW,健鼎,NTD,2332,,,,,1.0,1.0
3189_TW,景碩,NTD,1271,,,,,1.0,1.0
3231_TW,緯創,NTD,13214,,,,,1.0,1.0
3406_TW,玉晶光,NTD,394,,,,,1.0,1.0
3443_TW,創意,NTD,413,,,,,1.0,1.0
3481_TW,群創,NTD,39706,,,,,1.0,1.0
3532_TW,台勝科,NTD,292,,,,,1.0,1.0
3533_TW,嘉澤,NTD,324,,,,,1.0,1.0
3576_TW,聯合再生,NTD,9940,,,,,1.0,1.0
3653_TW,健策,NTD,397,,,,,1.0,1.0
3661_TW,世芯-KY,NTD,320,,,,,1.0,1.0
3702_TW,大聯大,NTD,6993,,,,,1.0,1.0
3706_TW,神達,NTD,4280,,,,,1.0,1.0
3714_TW,富采,NTD,3026,,,,,1.0,1.0
4958_TW,臻鼎-KY,NTD,2982,,,,,1.0,1.0
5269_TW,祥碩,NTD,183,,,,,1.0,1.0
5522_TW,遠雄,NTD,1356,,,,,1.0,1.0
6116_TW,彩晶,NTD,10859,,,,,1.0,1.0
6176_TW,瑞儀,NTD,2089,,,,,1.0,1.0
6213_TW,聯茂,NTD,1574,,,,,1.0,1.0
6239_TW,力成,NTD,3331,,,,,1.0,1.0
6269_TW,台郡,NTD,1556,,,,,1.0,1.0
6409_TW,旭隼,NTD,239,,,,,1.0,1.0
6456_TW,GIS-KY,NTD,946,,,,,1.0,1.0
6531_TW,愛普,NTD,284,,,,,1.0,1.0
6592_TW,和潤企業,NTD,768,,,,,1.0,1.0
6669_TW,緯穎,NTD,396,,,,,1.0,1.0
6781_TW,AES-K,NTD,113,,,,,1.0,1.0
8454_TW,富邦媒,NTD,211,,,,,1.0,1.0
8464_TW,億豐,NTD,651,,,,,1.0,1.0
9904_TW,寶成,NTD,12544,,,,,1.0,1.0
9914_TW,美利達,NTD,1159,,,,,1.0,1.0
9917_TW,中保科,NTD,1328,,,,,1.0,1.0
9921_TW,巨大,NTD,1411,,,,,1.0,1.0
9941_TW,裕融,NTD,739,,,,,1.0,1.0
9945_TW,潤泰新,NTD,5293,,,,,1.0,1.0
Cash,保證金,NTD,5779790.0,,,,1,1,1.0
Cash,現金,NTD,107681236.0,,,,1,1,1.0
Cash,應收股利,NTD,1408960.0,,,,1,1,1.0

