Date,2021/06/29
Name,元大台灣電子科技基金
Net Asset,365377060
Shares Outstanding,5488000
ETF Currency,NTD
NAV per Share,66.58

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
2059_TW,川湖,NTD,105,,,,,1.0,1.0
2301_TW,光寶科,NTD,2611,,,,,1.0,1.0
2303_TW,聯電,NTD,13801,,,,,1.0,1.0
2308_TW,台達電,NTD,2886,,,,,1.0,1.0
2313_TW,華通,NTD,1324,,,,,1.0,1.0
2317_TW,鴻海,NTD,15402,,,,,1.0,1.0
2324_TW,仁寶,NTD,4896,,,,,1.0,1.0
2327_TW,國巨,NTD,554,,,,,1.0,1.0
2330_TW,台積電,NTD,28809,,,,,1.0,1.0
2337_TW,旺宏,NTD,2062,,,,,1.0,1.0
2344_TW,華邦電,NTD,4421,,,,,1.0,1.0
2345_TW,智邦,NTD,621,,,,,1.0,1.0
2347_TW,聯強,NTD,1853,,,,,1.0,1.0
2352_TW,佳世達,NTD,2185,,,,,1.0,1.0
2353_TW,宏,NTD,3386,,,,,1.0,1.0
2354_TW,鴻準,NTD,1571,,,,,1.0,1.0
2356_TW,英業達,NTD,3985,,,,,1.0,1.0
2357_TW,華碩,NTD,825,,,,,1.0,1.0
2360_TW,致茂,NTD,468,,,,,1.0,1.0
2373_TW,震旦行,NTD,262,,,,,1.0,1.0
2376_TW,技嘉,NTD,706,,,,,1.0,1.0
2377_TW,微星,NTD,938,,,,,1.0,1.0
2379_TW,瑞昱,NTD,567,,,,,1.0,1.0
2382_TW,廣達,NTD,4291,,,,,1.0,1.0
2383_TW,台光電,NTD,369,,,,,1.0,1.0
2385_TW,群光,NTD,828,,,,,1.0,1.0
2393_TW,億光,NTD,492,,,,,1.0,1.0
2395_TW,研華,NTD,858,,,,,1.0,1.0
2404_TW,漢唐,NTD,211,,,,,1.0,1.0
2408_TW,南亞科,NTD,3440,,,,,1.0,1.0
2409_TW,友達,NTD,10693,,,,,1.0,1.0
2412_TW,中華電,NTD,8618,,,,,1.0,1.0
