Date,2021/06/29
Name,元大台商收成基金
Net Asset,227161972
Shares Outstanding,7124000
ETF Currency,NTD
NAV per Share,31.89

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
1101_TW,台泥,NTD,11206,,,,,1.0,1.0
1102_TW,亞泥,NTD,5274,,,,,1.0,1.0
1216_TW,統一,NTD,11302,,,,,1.0,1.0
1227_TW,佳格,NTD,1132,,,,,1.0,1.0
1229_TW,聯華,NTD,2124,,,,,1.0,1.0
1303_TW,南亞,NTD,12445,,,,,1.0,1.0
1326_TW,台化,NTD,8938,,,,,1.0,1.0
1590_TW,亞德客-KY,NTD,309,,,,,1.0,1.0
1605_TW,華新,NTD,5156,,,,,1.0,1.0
1717_TW,長興,NTD,1918,,,,,1.0,1.0
1802_TW,台玻,NTD,2249,,,,,1.0,1.0
2105_TW,正新,NTD,4728,,,,,1.0,1.0
2108_TW,南帝,NTD,631,,,,,1.0,1.0
2207_TW,和泰車,NTD,784,,,,,1.0,1.0
2301_TW,光寶科,NTD,4884,,,,,1.0,1.0
2308_TW,台達電,NTD,4248,,,,,1.0,1.0
2313_TW,華通,NTD,2397,,,,,1.0,1.0
2317_TW,鴻海,NTD,22060,,,,,1.0,1.0
2324_TW,仁寶,NTD,8669,,,,,1.0,1.0
2327_TW,國巨,NTD,856,,,,,1.0,1.0
2347_TW,聯強,NTD,2986,,,,,1.0,1.0
2352_TW,佳世達,NTD,3564,,,,,1.0,1.0
2354_TW,鴻準,NTD,2188,,,,,1.0,1.0
2356_TW,英業達,NTD,7056,,,,,1.0,1.0
2360_TW,致茂,NTD,884,,,,,1.0,1.0
2376_TW,技嘉,NTD,1025,,,,,1.0,1.0
2383_TW,台光電,NTD,662,,,,,1.0,1.0
2385_TW,群光,NTD,1454,,,,,1.0,1.0
2449_TW,京元電子,NTD,2459,,,,,1.0,1.0
2474_TW,可成,NTD,1683,,,,,1.0,1.0
2492_TW,華新科,NTD,762,,,,,1.0,1.0
3023_TW,信邦,NTD,437,,,,,1.0,1.0
3044_TW,健鼎,NTD,1010,,,,,1.0,1.0
3231_TW,緯創,NTD,6417,,,,,1.0,1.0
3406_TW,玉晶光,NTD,199,,,,,1.0,1.0
3533_TW,嘉澤,NTD,169,,,,,1.0,1.0
3665_TW,貿聯-KY,NTD,274,,,,,1.0,1.0
3711_TW,日月光投控,NTD,7500,,,,,1.0,1.0
4938_TW,和碩,NTD,4884,,,,,1.0,1.0
4958_TW,臻鼎-KY,NTD,1360,,,,,1.0,1.0
5871_TW,中租-KY,NTD,2900,,,,,1.0,1.0
6176_TW,瑞儀,NTD,1027,,,,,1.0,1.0
6213_TW,聯茂,NTD,434,,,,,1.0,1.0
6269_TW,台郡,NTD,686,,,,,1.0,1.0
6278_TW,台表科,NTD,555,,,,,1.0,1.0
6409_TW,旭隼,NTD,154,,,,,1.0,1.0
6415_TW,矽力-KY,NTD,158,,,,,1.0,1.0
6456_TW,GIS-KY,NTD,480,,,,,1.0,1.0
9910_TW,豐泰,NTD,1208,,,,,1.0,1.0
9921_TW,巨大,NTD,696,,,,,1.0,1.0
Cash,保證金,NTD,2900767.0,,,,1,1,1.0
Cash,現金,NTD,7066785.0,,,,1,1,1.0
Cash,應收股利,NTD,268663.0,,,,1,1,1.0

