Date,2021/06/29
Name,元大台灣金融基金
Net Asset,803532723
Shares Outstanding,37654000
ETF Currency,NTD
NAV per Share,21.34

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
2801_TW,彰銀,NTD,11106,,,,,1.0,1.0
2823_TW,中壽,NTD,5060,,,,,1.0,1.0
2834_TW,臺企銀,NTD,15016,,,,,1.0,1.0
2880_TW,華南金,NTD,22340,,,,,1.0,1.0
2881_TW,富邦金,NTD,17785,,,,,1.0,1.0
2882_TW,國泰金,NTD,21126,,,,,1.0,1.0
2883_TW,開發金,NTD,36029,,,,,1.0,1.0
2884_TW,玉山金,NTD,30240,,,,,1.0,1.0
2885_TW,元大金,NTD,25961,,,,,1.0,1.0
2886_TW,兆豐金,NTD,29089,,,,,1.0,1.0
2887_TW,台新金,NTD,26261,,,,,1.0,1.0
2888_TW,新光金,NTD,29349,,,,,1.0,1.0
2890_TW,永豐金,NTD,27121,,,,,1.0,1.0
2891_TW,中信金,NTD,49522,,,,,1.0,1.0
2892_TW,第一金,NTD,27455,,,,,1.0,1.0
5871_TW,中租-KY,NTD,3323,,,,,1.0,1.0
5876_TW,上海商銀,NTD,9585,,,,,1.0,1.0
5880_TW,合庫金,NTD,24956,,,,,1.0,1.0
Cash,保證金,NTD,2028613.0,,,,1,1,1.0
Cash,現金,NTD,21540589.0,,,,1,1,1.0

