Date,2021/06/29
Name,元大台灣高股息基金
Net Asset,79252437845
Shares Outstanding,2259534000
ETF Currency,NTD
NAV per Share,35.07

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
1101_TW,台泥,NTD,11135,,,,,1.0,1.0
1102_TW,亞泥,NTD,10667,,,,,1.0,1.0
1434_TW,福懋,NTD,16566,,,,,1.0,1.0
2108_TW,南帝,NTD,4723,,,,,1.0,1.0
2301_TW,光寶科,NTD,8767,,,,,1.0,1.0
2324_TW,仁寶,NTD,27060,,,,,1.0,1.0
2356_TW,英業達,NTD,20771,,,,,1.0,1.0
2357_TW,華碩,NTD,1615,,,,,1.0,1.0
2376_TW,技嘉,NTD,4800,,,,,1.0,1.0
2377_TW,微星,NTD,3494,,,,,1.0,1.0
2382_TW,廣達,NTD,6356,,,,,1.0,1.0
2385_TW,群光,NTD,7328,,,,,1.0,1.0
2404_TW,漢唐,NTD,1874,,,,,1.0,1.0
2409_TW,友達,NTD,38461,,,,,1.0,1.0
2441_TW,超豐,NTD,5593,,,,,1.0,1.0
2449_TW,京元電子,NTD,10854,,,,,1.0,1.0
2458_TW,義隆,NTD,2835,,,,,1.0,1.0
2542_TW,興富發,NTD,12694,,,,,1.0,1.0
2603_TW,長榮,NTD,8304,,,,,1.0,1.0
2809_TW,京城銀,NTD,9757,,,,,1.0,1.0
2883_TW,開發金,NTD,35305,,,,,1.0,1.0
2886_TW,兆豐金,NTD,12939,,,,,1.0,1.0
2915_TW,潤泰全,NTD,5554,,,,,1.0,1.0
3044_TW,健鼎,NTD,3874,,,,,1.0,1.0
3231_TW,緯創,NTD,22982,,,,,1.0,1.0
3481_TW,群創,NTD,33787,,,,,1.0,1.0
3702_TW,大聯大,NTD,12756,,,,,1.0,1.0
4938_TW,和碩,NTD,7450,,,,,1.0,1.0
5522_TW,遠雄,NTD,7051,,,,,1.0,1.0
6176_TW,瑞儀,NTD,4572,,,,,1.0,1.0
Cash,保證金,NTD,697587109.0,,,,1,1,1.0
Cash,現金,NTD,5146204661.0,,,,1,1,1.0
Cash,應收股利,NTD,576479668.0,,,,1,1,1.0

