Date,2021/06/29
Name,元大富櫃50基金
Net Asset,281878414
Shares Outstanding,13446000
ETF Currency,NTD
NAV per Share,20.96

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
6488_TW,環球晶,NTD,33607.0,,,10.79,,1.0,1.0
3105_TW,穩懋,NTD,65134.0,,,8.78,,1.0,1.0
5347_TW,世界,NTD,151670.0,,,6.24,,1.0,1.0
5483_TW,中美晶,NTD,82000.0,,,5.57,,1.0,1.0
4966_TW,譜瑞-KY,NTD,11102.0,,,5.47,,1.0,1.0
3529_TW,力旺,NTD,10364.0,,,4.82,,1.0,1.0
8299_TW,群聯,NTD,24473.0,,,4.15,,1.0,1.0
8069_TW,元太,NTD,141072.0,,,3.78,,1.0,1.0
6121_TW,新普,NTD,28495.0,,,3.62,,1.0,1.0
5274_TW,信驊,NTD,4259.0,,,3.14,,1.0,1.0
6147_TW,頎邦,NTD,103602.0,,,2.68,,1.0,1.0
3293_TW,鈊象,NTD,8378.0,,,2.5,,1.0,1.0
6182_TW,合晶,NTD,78890.0,,,1.71,,1.0,1.0
3374_TW,精材,NTD,25323.0,,,1.55,,1.0,1.0
3152_TW,璟德,NTD,8207.0,,,1.51,,1.0,1.0
3227_TW,原相,NTD,21403.0,,,1.48,,1.0,1.0
6274_TW,台燿,NTD,36839.0,,,1.42,,1.0,1.0
8436_TW,大江,NTD,15053.0,,,1.41,,1.0,1.0
4123_TW,晟德,NTD,57233.0,,,1.39,,1.0,1.0
3081_TW,聯亞,NTD,14357.0,,,1.37,,1.0,1.0
8086_TW,宏捷科,NTD,24224.0,,,1.34,,1.0,1.0
3260_TW,威剛,NTD,34000.0,,,1.33,,1.0,1.0
5371_TW,中光電,NTD,60000.0,,,1.28,,1.0,1.0
1785_TW,光洋科,NTD,73144.0,,,1.19,,1.0,1.0
3264_TW,欣銓,NTD,68045.0,,,1.11,,1.0,1.0
8358_TW,金居,NTD,35585.0,,,1.07,,1.0,1.0
3228_TW,金麗科,NTD,8000.0,,,1.05,,1.0,1.0
3552_TW,同致,NTD,11000.0,,,1.03,,1.0,1.0
3680_TW,家登,NTD,10185.0,,,1.02,,1.0,1.0
6732_TW,昇佳電子,NTD,4072.0,,,1.0,,1.0,1.0
3218_TW,大學光,NTD,8000.0,,,1.0,,1.0,1.0
3211_TW,順達,NTD,23000.0,,,0.91,,1.0,1.0
1565_TW,精華,NTD,6701.0,,,0.87,,1.0,1.0
5425_TW,台半,NTD,35985.0,,,0.82,,1.0,1.0
5289_TW,宜鼎,NTD,11810.0,,,0.78,,1.0,1.0
6510_TW,精測,NTD,3276.0,,,0.76,,1.0,1.0
6411_TW,晶焱,NTD,13000.0,,,0.75,,1.0,1.0
4736_TW,泰博,NTD,9000.0,,,0.75,,1.0,1.0
3324_TW,雙鴻,NTD,10443.0,,,0.71,,1.0,1.0
8406_TW,金可-KY,NTD,7239.0,,,0.7,,1.0,1.0
6244_TW,茂迪,NTD,55000.0,,,0.62,,1.0,1.0
3078_TW,僑威,NTD,32000.0,,,0.6,,1.0,1.0
6462_TW,神盾,NTD,10233.0,,,0.59,,1.0,1.0
6548_TW,長科*,NTD,23000.0,,,0.59,,1.0,1.0
5536_TW,聖暉,NTD,7650.0,,,0.55,,1.0,1.0
6180_TW,橘子,NTD,22000.0,,,0.5,,1.0,1.0
6561_TW,是方,NTD,4190.0,,,0.45,,1.0,1.0
5457_TW,宣德,NTD,15268.0,,,0.44,,1.0,1.0
6173_TW,信昌電,NTD,16000.0,,,0.37,,1.0,1.0
3691_TW,碩禾,NTD,5000.0,,,0.32,,1.0,1.0
G2F,櫃買富櫃200指數期貨,NTD,13.0,202107,,2.09,,50.0,1.0
Cash,保證金,NTD,2366723.0,,,,1,1,1.0
Cash,現金,NTD,14529076.0,,,,1,1,1.0
Cash,應收股利,NTD,131894.0,,,,1,1,1.0

