Date,2021/06/29
Name,元大摩臺基金
Net Asset,705087760
Shares Outstanding,10718000
ETF Currency,NTD
NAV per Share,65.79

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
1101_TW,台泥,NTD,4901,,,,,1.0,1.0
1102_TW,亞泥,NTD,2168,,,,,1.0,1.0
1216_TW,統一,NTD,4792,,,,,1.0,1.0
1301_TW,台塑,NTD,3790,,,,,1.0,1.0
1303_TW,南亞,NTD,5115,,,,,1.0,1.0
1326_TW,台化,NTD,3489,,,,,1.0,1.0
1402_TW,遠東新,NTD,2921,,,,,1.0,1.0
1476_TW,儒鴻,NTD,190,,,,,1.0,1.0
1590_TW,亞德客-KY,NTD,131,,,,,1.0,1.0
2002_TW,中鋼,NTD,11711,,,,,1.0,1.0
2049_TW,上銀,NTD,262,,,,,1.0,1.0
2105_TW,正新,NTD,1769,,,,,1.0,1.0
2207_TW,和泰車,NTD,298,,,,,1.0,1.0
2301_TW,光寶科,NTD,2099,,,,,1.0,1.0
2303_TW,聯電,NTD,11711,,,,,1.0,1.0
2308_TW,台達電,NTD,1933,,,,,1.0,1.0
2317_TW,鴻海,NTD,12381,,,,,1.0,1.0
2324_TW,仁寶,NTD,4154,,,,,1.0,1.0
2327_TW,國巨,NTD,369,,,,,1.0,1.0
2330_TW,台積電,NTD,24445,,,,,1.0,1.0
2344_TW,華邦電,NTD,2962,,,,,1.0,1.0
2345_TW,智邦,NTD,499,,,,,1.0,1.0
2347_TW,聯強,NTD,1324,,,,,1.0,1.0
2353_TW,宏,NTD,2873,,,,,1.0,1.0
2354_TW,鴻準,NTD,912,,,,,1.0,1.0
2356_TW,英業達,NTD,2670,,,,,1.0,1.0
2357_TW,華碩,NTD,700,,,,,1.0,1.0
2377_TW,微星,NTD,670,,,,,1.0,1.0
2379_TW,瑞昱,NTD,456,,,,,1.0,1.0
2382_TW,廣達,NTD,2683,,,,,1.0,1.0
2395_TW,研華,NTD,383,,,,,1.0,1.0
2408_TW,南亞科,NTD,1227,,,,,1.0,1.0
2409_TW,友達,NTD,8118,,,,,1.0,1.0
2412_TW,中華電,NTD,3772,,,,,1.0,1.0
2454_TW,聯發科,NTD,1499,,,,,1.0,1.0
2474_TW,可成,NTD,680,,,,,1.0,1.0
2492_TW,華新科,NTD,313,,,,,1.0,1.0
2603_TW,長榮,NTD,2590,,,,,1.0,1.0
2609_TW,陽明,NTD,1571,,,,,1.0,1.0
2615_TW,萬海,NTD,550,,,,,1.0,1.0
2633_TW,台灣高鐵,NTD,1954,,,,,1.0,1.0
2801_TW,彰銀,NTD,4122,,,,,1.0,1.0
2823_TW,中壽,NTD,1878,,,,,1.0,1.0
2834_TW,臺企銀,NTD,5573,,,,,1.0,1.0
2880_TW,華南金,NTD,8291,,,,,1.0,1.0
2881_TW,富邦金,NTD,6601,,,,,1.0,1.0
2882_TW,國泰金,NTD,7841,,,,,1.0,1.0
2883_TW,開發金,NTD,13372,,,,,1.0,1.0
2884_TW,玉山金,NTD,11224,,,,,1.0,1.0
2885_TW,元大金,NTD,9635,,,,,1.0,1.0
2886_TW,兆豐金,NTD,10796,,,,,1.0,1.0
2887_TW,台新金,NTD,9747,,,,,1.0,1.0
2888_TW,新光金,NTD,10893,,,,,1.0,1.0
2890_TW,永豐金,NTD,10066,,,,,1.0,1.0
2891_TW,中信金,NTD,18380,,,,,1.0,1.0
2892_TW,第一金,NTD,10190,,,,,1.0,1.0
2912_TW,統一超,NTD,567,,,,,1.0,1.0
3008_TW,大立光,NTD,99,,,,,1.0,1.0
3034_TW,聯詠,NTD,573,,,,,1.0,1.0
3037_TW,欣興,NTD,1194,,,,,1.0,1.0
3045_TW,台灣大,NTD,1638,,,,,1.0,1.0
3105_TW,穩懋,NTD,336,,,,,1.0,1.0
3231_TW,緯創,NTD,2677,,,,,1.0,1.0
3481_TW,群創,NTD,8673,,,,,1.0,1.0
3702_TW,大聯大,NTD,1582,,,,,1.0,1.0
3711_TW,日月光投控,NTD,3238,,,,,1.0,1.0
4743_TW,合一,NTD,224,,,,,1.0,1.0
4904_TW,遠傳,NTD,1584,,,,,1.0,1.0
4938_TW,和碩,NTD,1981,,,,,1.0,1.0
4958_TW,臻鼎-KY,NTD,657,,,,,1.0,1.0
5269_TW,祥碩,NTD,27,,,,,1.0,1.0
5347_TW,世界,NTD,894,,,,,1.0,1.0
5871_TW,中租-KY,NTD,1233,,,,,1.0,1.0
5876_TW,上海商銀,NTD,3557,,,,,1.0,1.0
5880_TW,合庫金,NTD,9262,,,,,1.0,1.0
6239_TW,力成,NTD,695,,,,,1.0,1.0
6415_TW,矽力-KY,NTD,78,,,,,1.0,1.0
6488_TW,環球晶,NTD,216,,,,,1.0,1.0
6505_TW,台塑化,NTD,1134,,,,,1.0,1.0
6669_TW,緯穎,NTD,78,,,,,1.0,1.0
8046_TW,南電,NTD,224,,,,,1.0,1.0
8299_TW,群聯,NTD,156,,,,,1.0,1.0
8464_TW,億豐,NTD,159,,,,,1.0,1.0
9904_TW,寶成,NTD,2339,,,,,1.0,1.0
9910_TW,豐泰,NTD,437,,,,,1.0,1.0
9921_TW,巨大,NTD,297,,,,,1.0,1.0
9945_TW,潤泰新,NTD,821,,,,,1.0,1.0
Cash,保證金,NTD,2755925.0,,,,1,1,1.0
Cash,現金,NTD,3815781.0,,,,1,1,1.0
Cash,應收股利,NTD,1463095.0,,,,1,1,1.0

