Date,2021/06/29
Name,元大上證50基金
Net Asset,1532551193
Shares Outstanding,39778000
ETF Currency,NTD
NAV per Share,38.53

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
600519_CN,貴州茅臺,CNY,22725.0,,,13.47,,1.0,4.3207
601318_CN,中國平安,CNY,456982.0,,,8.45,,1.0,4.3207
600036_CN,招商銀行,CNY,522113.0,,,8.05,,1.0,4.3207
601012_CN,隆基股份,CNY,182000.0,,,4.4,,1.0,4.3207
600276_CN,瑞醫藥,CNY,188980.0,,,3.65,,1.0,4.3207
601888_CN,中國中免,CNY,41200.0,,,3.58,,1.0,4.3207
601166_CN,興業銀行,CNY,613476.0,,,3.5,,1.0,4.3207
603259_CN,藥明康德,CNY,75363.0,,,3.35,,1.0,4.3207
600887_CN,伊利股份,CNY,256582.0,,,2.7,,1.0,4.3207
600030_CN,中信證券,CNY,359350.0,,,2.55,,1.0,4.3207
601398_CN,工商銀行,CNY,1478463.0,,,2.16,,1.0,4.3207
600031_CN,三一重工,CNY,250341.0,,,2.03,,1.0,4.3207
600309_CN,萬華化學,CNY,66310.0,,,2.02,,1.0,4.3207
603288_CN,海天味業,CNY,53340.0,,,1.99,,1.0,4.3207
603501_CN,韋爾股份,CNY,21900.0,,,1.83,,1.0,4.3207
600809_CN,山西汾酒,CNY,14000.0,,,1.76,,1.0,4.3207
601899_CN,紫金礦業,CNY,553600.0,,,1.56,,1.0,4.3207
600000_CN,浦發銀行,CNY,495308.0,,,1.4,,1.0,4.3207
600837_CN,海通證券,CNY,404700.0,,,1.33,,1.0,4.3207
600438_CN,通威股份,CNY,108200.0,,,1.26,,1.0,4.3207
601601_CN,中國太保,CNY,144377.0,,,1.23,,1.0,4.3207
600585_CN,海螺水泥,CNY,101252.0,,,1.2,,1.0,4.3207
600690_CN,海爾智家,CNY,159728.0,,,1.19,,1.0,4.3207
603986_CN,兆易創新,CNY,22380.0,,,1.13,,1.0,4.3207
600016_CN,民生銀行,CNY,897514.0,,,1.13,,1.0,4.3207
600196_CN,復星醫藥,CNY,50900.0,,,1.06,,1.0,4.3207
601288_CN,農業銀行,CNY,1211912.0,,,1.04,,1.0,4.3207
600048_CN,保利地產,CNY,302940.0,,,1.04,,1.0,4.3207
600703_CN,三安光電,CNY,112861.0,,,1.0,,1.0,4.3207
601688_CN,華泰證券,CNY,217334.0,,,0.97,,1.0,4.3207
600104_CN,上汽集團,CNY,147938.0,,,0.93,,1.0,4.3207
601211_CN,國泰君安,CNY,190269.0,,,0.92,,1.0,4.3207
600570_CN,生電子,CNY,35300.0,,,0.87,,1.0,4.3207
601088_CN,中國神華,CNY,139160.0,,,0.77,,1.0,4.3207
601818_CN,光大銀行,CNY,697740.0,,,0.75,,1.0,4.3207
600028_CN,中國石化,CNY,564364.0,,,0.7,,1.0,4.3207
600745_CN,聞泰科技,CNY,26100.0,,,0.69,,1.0,4.3207
601628_CN,中國人壽,CNY,70362.0,,,0.68,,1.0,4.3207
600893_CN,航發動力,CNY,42700.0,,,0.64,,1.0,4.3207
600588_CN,用友網絡,CNY,69000.0,,,0.63,,1.0,4.3207
600009_CN,上海機場,CNY,44400.0,,,0.62,,1.0,4.3207
601857_CN,中國石油,CNY,409820.0,,,0.62,,1.0,4.3207
601336_CN,新華保險,CNY,35228.0,,,0.46,,1.0,4.3207
601138_CN,工業富聯,CNY,124000.0,,,0.44,,1.0,4.3207
600547_CN,山東黃金,CNY,76276.0,,,0.42,,1.0,4.3207
601066_CN,中信建投,CNY,41100.0,,,0.37,,1.0,4.3207
601995_CN,中金公司,CNY,10500.0,,,0.18,,1.0,4.3207
600918_CN,中泰證券,CNY,32400.0,,,0.1,,1.0,4.3207
CN,富時中國A50指數期貨,USD,205.0,202107,,6.52,,1.0,27.899
Cash,保證金,USD,2057331.87,,,,1,1,27.899
Cash,現金,CNH,5795680.73,,,,1,1,4.318
Cash,現金,CNY,5108737.82,,,,1,1,4.3207
Cash,現金,NTD,4269344.0,,,,1,1,1.0
Cash,現金,USD,137939.67,,,,1,1,27.899

