Date,2021/06/29
Name,元大滬深300單日正向2倍基金
Net Asset,27991281903
Shares Outstanding,1018106000
ETF Currency,NTD
NAV per Share,27.49

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
CN,富時中國A50指數期貨,USD,111000.0,202107,,193.31,,1.0,27.899
0061_TW,元大寶滬深,NTD,10711000.0,,,0.92,,1.0,1.0
3188_HK,CHINAAMC ETF SERIES -_CN-HKD,HKD,6000000.0,,,4.95,,1.0,0.2782105497440463
Cash,保證金,CNY,144239125.02,,,,1,1,4.3207
Cash,保證金,NTD,1115198.0,,,,1,1,1.0
Cash,保證金,USD,481528501.85,,,,1,1,27.899
MMF,中國信託華盈貨幣市場,NTD,1511269805.0,,,,1,1,1.0
Cash,現金,CNY,485151.35,,,,1,1,4.3207
Cash,現金,HKD,312589.97,,,,1,1,3.5944
Cash,現金,NTD,2630042445.0,,,,1,1,1.0
Cash,現金,USD,81618149.98,,,,1,1,27.899
Cash,附買回債券,NTD,6323000000.0,,,,1,1,1.0
Cash,應收利息,CNY,42708.08,,,,1,1,4.3207
Cash,應收利息,NTD,509554.0,,,,1,1,1.0
Cash,應收利息,USD,2794.96,,,,1,1,27.899

