Date,2021/06/29
Name,元大標普500基金
Net Asset,5834498846
Shares Outstanding,159485000
ETF Currency,NTD
NAV per Share,36.58

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
AAPL_US,APPLE INC,USD,87123.0,,,5.54,,1.0,27.89
MSFT_US,MICROSOFT CORP,USD,41831.0,,,5.3,,1.0,27.89
AMZN_US,AMAZON.COM INC,USD,2381.0,,,3.87,,1.0,27.89
FB_US,FACEBOOK INC-CLASS A,USD,13308.0,,,2.17,,1.0,27.89
GOOGL_US,ALPHABET INC-CL A,USD,1670.0,,,1.96,,1.0,27.89
GOOG_US,ALPHABET INC-CL C,USD,1582.0,,,1.92,,1.0,27.89
BRK/B_US,BERKSHIRE HATHAWAY INC-CL B,USD,10527.0,,,1.4,,1.0,27.89
TSLA_US,TESLA INC,USD,4280.0,,,1.37,,1.0,27.89
NVDA_US,NVIDIA CORP,USD,3460.0,,,1.26,,1.0,27.89
JPM_US,JPMORGAN_CNASE & CO,USD,16813.0,,,1.24,,1.0,27.89
JNJ_US,JOHNSON & JOHNSON,USD,14626.0,,,1.15,,1.0,27.89
V_US,VISA INC-CLASS A SHARES,USD,9396.0,,,1.07,,1.0,27.89
UNH_US,UNITEDHEALTH GROUP INC,USD,5241.0,,,1.01,,1.0,27.89
PYPL_US,PAYPAL HOLDINGS INC,USD,6524.0,,,0.9,,1.0,27.89
HD_US,HOME DEPOT INC,USD,5905.0,,,0.89,,1.0,27.89
MA_US,MASTERCARD INC - A,USD,4859.0,,,0.88,,1.0,27.89
PG_US,PROCTER & GAMBLE CO/THE,USD,13598.0,,,0.88,,1.0,27.89
DIS_US,WALT DISNEY CO/THE,USD,10091.0,,,0.86,,1.0,27.89
BAC_US,BANK OF AMERICA CORP,USD,41883.0,,,0.83,,1.0,27.89
ADBE_US,ADOBE INC,USD,2655.0,,,0.74,,1.0,27.89
XOM_US,EXXON MOBIL CORP,USD,23513.0,,,0.73,,1.0,27.89
CMCSA_US,COMCAST CORP-CLASS A,USD,25464.0,,,0.69,,1.0,27.89
NFLX_US,NETFLIX INC,USD,2463.0,,,0.62,,1.0,27.89
VZ_US,VERIZON COMMUNICATIONS INC,USD,22994.0,,,0.62,,1.0,27.89
INTC_US,INTEL CORP,USD,22427.0,,,0.6,,1.0,27.89
CRM_US,SALESFORCE.COM INC,USD,5143.0,,,0.59,,1.0,27.89
CSCO_US,CISCO SYSTEMS INC,USD,23406.0,,,0.59,,1.0,27.89
PFE_US,PFIZER INC,USD,31090.0,,,0.58,,1.0,27.89
KO_US,COCA-COLA CO/THE,USD,21552.0,,,0.56,,1.0,27.89
CVX_US,CHEVRON CORP,USD,10735.0,,,0.55,,1.0,27.89
T_US,AT&T INC,USD,39656.0,,,0.55,,1.0,27.89
PEP_US,PEPSICO INC,USD,7674.0,,,0.54,,1.0,27.89
ABT_US,ABBOTT LABORATORIES,USD,9869.0,,,0.53,,1.0,27.89
ABBV_US,ABBVIE INC,USD,9810.0,,,0.53,,1.0,27.89
NKE_US,NIKE INC -CL B,USD,7081.0,,,0.52,,1.0,27.89
MRK_US,MERCK & CO. INC.,USD,14063.0,,,0.52,,1.0,27.89
TMO_US,THERMO FISHER SCIENTIFIC INC,USD,2183.0,,,0.51,,1.0,27.89
WFC_US,WELLS FARGO & CO,USD,22958.0,,,0.51,,1.0,27.89
WMT_US,WALMART INC,USD,7626.0,,,0.5,,1.0,27.89
AVGO_US,BROADCOM INC,USD,2268.0,,,0.5,,1.0,27.89
ACN_US,ACCENTURE PLC-CL A,USD,3530.0,,,0.5,,1.0,27.89
LLY_US,ELI LILLY & CO,USD,4421.0,,,0.49,,1.0,27.89
COST_US,COSTCO WHOLESALE CORP,USD,2455.0,,,0.46,,1.0,27.89
TXN_US,TEXAS INSTRUMENTS INC,USD,5129.0,,,0.46,,1.0,27.89
MCD_US,MCDONALD`S CORP,USD,4144.0,,,0.46,,1.0,27.89
DHR_US,DANAHER CORP,USD,3526.0,,,0.45,,1.0,27.89
MDT_US,MEDTRONIC PLC,USD,7472.0,,,0.45,,1.0,27.89
QCOM_US,QUALCOMM INC,USD,6265.0,,,0.41,,1.0,27.89
PM_US,PHILIP MORRIS INTERNATIONAL,USD,8656.0,,,0.41,,1.0,27.89
HON_US,HONEYWELL INTERNATIONAL INC,USD,3858.0,,,0.4,,1.0,27.89
