Date,2021/06/29
Name,元大歐洲50基金
Net Asset,266943695
Shares Outstanding,9031000
ETF Currency,NTD
NAV per Share,29.56

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
ASML_EU,ASML HOLDING NV,EUR,968.0,,,7.03,,1.0,33.3254
MC_EU,LVMH MOET HENNESSY LOUIS VUI,EUR,612.0,,,5.15,,1.0,33.3254
TTE_EU,TOTALENERGIES SE,EUR,6067.0,,,3.02,,1.0,33.3254
SAN_EU,SANOFI,EUR,2636.0,,,2.9,,1.0,33.3254
OR_EU,L`OREAL,EUR,566.0,,,2.72,,1.0,33.3254
SU_EU,SCHNEIDER ELECTRIC SE,EUR,1309.0,,,2.23,,1.0,33.3254
AI_EU,AIR LIQUIDE SA,EUR,1093.0,,,2.04,,1.0,33.3254
AIR_EU,AIRBUS SE,EUR,1343.0,,,1.85,,1.0,33.3254
BNP_EU,BNP PARIBAS,EUR,2661.0,,,1.81,,1.0,33.3254
ADYEN_EU,ADYEN NV,EUR,65.0,,,1.63,,1.0,33.3254
KER_EU,KERING,EUR,169.0,,,1.6,,1.0,33.3254
DG_EU,VINCI SA,EUR,1365.0,,,1.59,,1.0,33.3254
SAF_EU,SAFRAN SA,EUR,875.0,,,1.36,,1.0,33.3254
EL_EU,ESSILORLUXOTTICA,EUR,688.0,,,1.34,,1.0,33.3254
CS_EU,AXA SA,EUR,4746.0,,,1.3,,1.0,33.3254
INGA_EU,ING GROEP NV,EUR,9002.0,,,1.26,,1.0,33.3254
PHIA_EU,KONINKLIJKE PHILIPS NV,EUR,2102.0,,,1.11,,1.0,33.3254
RI_EU,PERNOD RICARD SA,EUR,474.0,,,1.11,,1.0,33.3254
BN_EU,DANONE,EUR,1499.0,,,1.08,,1.0,33.3254
PRX_EU,PROSUS NV,EUR,1026.0,,,1.05,,1.0,33.3254
AD_EU,KONINKLIJKE AHOLD DELHAIZE N,EUR,2413.0,,,0.74,,1.0,33.3254
ENGI_EU,ENGIE,EUR,4290.0,,,0.62,,1.0,33.3254
VIV_EU,VIVENDI,EUR,1756.0,,,0.62,,1.0,33.3254
FESX,道瓊歐洲50指數期貨,EUR,26.0,202109,,13.34,,10.0,33.3254
Cash,保證金,EUR,218607.5,,,,1,1,33.3254
Cash,保證金,NTD,2006758.0,,,,1,1,1.0
Cash,現金,EUR,149695.44,,,,1,1,33.3254
Cash,現金,NTD,19251057.0,,,,1,1,1.0

