Date,2021/06/29
Name,元大日經225基金
Net Asset,215950594
Shares Outstanding,5925000
ETF Currency,NTD
NAV per Share,36.45

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
9983_JP,FAST RETAILING CO LTD,JPY,900.0,,,8.9,,1.0,0.2521
9984_JP,SOFTBANK GROUP CORP,JPY,5500.0,,,5.09,,1.0,0.2521
8035_JP,TOKYO ELECTRON LTD,JPY,900.0,,,5.06,,1.0,0.2521
6954_JP,FANUC CORP,JPY,900.0,,,2.82,,1.0,0.2521
9433_JP,KDDI CORP,JPY,5500.0,,,2.2,,1.0,0.2521
6367_JP,DAIKIN INDUSTRIES LTD,JPY,900.0,,,2.18,,1.0,0.2521
6857_JP,ADVANTEST CORP,JPY,1800.0,,,2.11,,1.0,0.2521
2413_JP,M3 INC,JPY,2200.0,,,2.0,,1.0,0.2521
4063_JP,SHIN-ETSU_CNEMICAL CO LTD,JPY,900.0,,,1.96,,1.0,0.2521
4543_JP,TERUMO CORP,JPY,3600.0,,,1.86,,1.0,0.2521
6098_JP,RECRUIT HOLDINGS CO LTD,JPY,2700.0,,,1.73,,1.0,0.2521
6971_JP,KYOCERA CORP,JPY,1800.0,,,1.45,,1.0,0.2521
6762_JP,TDK CORP,JPY,900.0,,,1.4,,1.0,0.2521
4519_JP,CHUGAI PHARMACEUTICAL CO LTD,JPY,2700.0,,,1.39,,1.0,0.2521
4523_JP,EISAI CO LTD,JPY,900.0,,,1.21,,1.0,0.2521
6758_JP,SONY GROUP CORP,JPY,900.0,,,1.14,,1.0,0.2521
4503_JP,ASTELLAS PHARMA INC,JPY,4500.0,,,1.06,,1.0,0.2521
7203_JP,TOYOTA MOTOR CORP,JPY,900.0,,,1.03,,1.0,0.2521
7733_JP,OLYMPUS CORP,JPY,3600.0,,,0.94,,1.0,0.2521
6645_JP,OMRON CORP,JPY,900.0,,,0.92,,1.0,0.2521
9613_JP,NTT DATA CORP,JPY,4500.0,,,0.91,,1.0,0.2521
9735_JP,SECOM CO LTD,JPY,900.0,,,0.89,,1.0,0.2521
6988_JP,NITTO DENKO CORP,JPY,900.0,,,0.88,,1.0,0.2521
4911_JP,SHISEIDO CO LTD,JPY,900.0,,,0.86,,1.0,0.2521
4901_JP,FUJIFILM HOLDINGS CORP,JPY,900.0,,,0.86,,1.0,0.2521
6902_JP,DENSO CORP,JPY,900.0,,,0.82,,1.0,0.2521
7832_JP,BANDAI NAMCO HOLDINGS INC,JPY,900.0,,,0.81,,1.0,0.2521
2801_JP,KIKKOMAN CORP,JPY,900.0,,,0.78,,1.0,0.2521
4568_JP,DAIICHI SANKYO CO LTD,JPY,2700.0,,,0.78,,1.0,0.2521
7267_JP,HONDA MOTOR CO LTD,JPY,1800.0,,,0.76,,1.0,0.2521
4452_JP,KAO CORP,JPY,900.0,,,0.72,,1.0,0.2521
9766_JP,KONAMI HOLDINGS CORP,JPY,900.0,,,0.72,,1.0,0.2521
7951_JP,YAMAHA CORP,JPY,900.0,,,0.64,,1.0,0.2521
4507_JP,SHIONOGI & CO LTD,JPY,900.0,,,0.61,,1.0,0.2521
4704_JP,TREND MICRO INC,JPY,900.0,,,0.61,,1.0,0.2521
4021_JP,NISSAN_CNEMICAL CORP,JPY,900.0,,,0.57,,1.0,0.2521
6506_JP,YASKAWA ELECTRIC CORP,JPY,900.0,,,0.57,,1.0,0.2521
6976_JP,TAIYO YUDEN CO LTD,JPY,900.0,,,0.57,,1.0,0.2521
2502_JP,ASAHI GROUP HOLDINGS LTD,JPY,900.0,,,0.56,,1.0,0.2521
8015_JP,TOYOTA TSUSHO CORP,JPY,900.0,,,0.56,,1.0,0.2521
3382_JP,SEVEN & I HOLDINGS CO LTD,JPY,900.0,,,0.55,,1.0,0.2521
5108_JP,BRIDGESTONE CORP,JPY,900.0,,,0.54,,1.0,0.2521
7269_JP,SUZUKI MOTOR CORP,JPY,900.0,,,0.51,,1.0,0.2521
3659_JP,NEXON CO LTD,JPY,1800.0,,,0.5,,1.0,0.2521
4578_JP,OTSUKA HOLDINGS CO LTD,JPY,900.0,,,0.5,,1.0,0.2521
8830_JP,SUMITOMO REALTY & DEVELOPMEN,JPY,900.0,,,0.43,,1.0,0.2521
7751_JP,CANON INC,JPY,1400.0,,,0.42,,1.0,0.2521
4324_JP,DENTSU GROUP INC,JPY,900.0,,,0.42,,1.0,0.2521
