Date,2021/06/29
Name,元大美國政府20年期(以上)債券基金
Net Asset,18254674997
Shares Outstanding,455192000
ETF Currency,NTD
NAV per Share,40.1032

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
912810SU3,US TREASURY N/B 1.875 02/15/2051,USD,31846522.58,,33860000.0,4.87,,1.0,27.89
912810SS8,US TREASURY N/B 1.625 11/15/2050,USD,26720212.96,,30370000.0,4.08,,1.0,27.89
912810SF6,US TREASURY N/B 3 02/15/2049,USD,25909046.81,,21870000.0,3.96,,1.0,27.89
912810SE9,US TREASURY N/B 3.375 11/15/2048,USD,25586471.09,,20360000.0,3.91,,1.0,27.89
912810SP4,US TREASURY N/B 1.375 08/15/2050,USD,25298536.73,,30540000.0,3.87,,1.0,27.89
912810SH2,US TREASURY N/B 2.875 05/15/2049,USD,25174409.38,,21870000.0,3.85,,1.0,27.89
912810SD1,US TREASURY N/B 3 08/15/2048,USD,24169269.18,,20450000.0,3.69,,1.0,27.89
912810SJ8,US TREASURY N/B 2.25 08/15/2049,USD,22700749.09,,22200000.0,3.47,,1.0,27.89
912810SL3,US TREASURY N/B 2 02/15/2050,USD,22628062.54,,23370000.0,3.46,,1.0,27.89
912810SC3,US TREASURY N/B 3.125 05/15/2048,USD,22149333.93,,18460000.0,3.38,,1.0,27.89
912810SN9,US TREASURY N/B 1.25 05/15/2050,USD,21622693.9,,27070000.0,3.3,,1.0,27.89
912810SA7,US TREASURY N/B 3 02/15/2048,USD,20659004.59,,17510000.0,3.16,,1.0,27.89
912810SK5,US TREASURY N/B 2.375 11/15/2049,USD,19741799.17,,18890000.0,3.02,,1.0,27.89
912810RZ3,US TREASURY N/B 2.75 11/15/2047,USD,17292730.57,,15450000.0,2.64,,1.0,27.89
912810RK6,US TREASURY N/B 2.5 02/15/2045,USD,16785013.91,,15670000.0,2.56,,1.0,27.89
912810RY6,US TREASURY N/B 2.75 08/15/2047,USD,16712481.91,,14850000.0,2.55,,1.0,27.89
912810RH3,US TREASURY N/B 3.125 08/15/2044,USD,16331224.52,,13710000.0,2.5,,1.0,27.89
912810RV2,US TREASURY N/B 3 02/15/2047,USD,16281408.57,,13840000.0,2.49,,1.0,27.89
912810RB6,US TREASURY N/B 2.875 05/15/2043,USD,15755916.62,,13890000.0,2.41,,1.0,27.89
912810RT7,US TREASURY N/B 2.25 08/15/2046,USD,15678220.39,,15340000.0,2.4,,1.0,27.89
912810RQ3,US TREASURY N/B 2.5 02/15/2046,USD,15018383.22,,14010000.0,2.29,,1.0,27.89
912810RS9,US TREASURY N/B 2.5 05/15/2046,USD,15006763.35,,14080000.0,2.29,,1.0,27.89
912810RE0,US TREASURY N/B 3.625 02/15/2044,USD,14902741.49,,11600000.0,2.28,,1.0,27.89
912810RJ9,US TREASURY N/B 3 11/15/2044,USD,14374641.51,,12390000.0,2.2,,1.0,27.89
912810RG5,US TREASURY N/B 3.375 05/15/2044,USD,14267813.27,,11600000.0,2.18,,1.0,27.89
912810RU4,US TREASURY N/B 2.875 11/15/2046,USD,14024622.67,,12280000.0,2.14,,1.0,27.89
912810RN0,US TREASURY N/B 2.875 08/15/2045,USD,13863635.57,,12100000.0,2.12,,1.0,27.89
912810RD2,US TREASURY N/B 3.75 11/15/2043,USD,13128458.64,,10130000.0,2.01,,1.0,27.89
912810SX7,US TREASURY N/B 2.375% 05/15/2051,USD,12773493.83,,12190000.0,1.95,,1.0,27.89
912810RC4,US TREASURY N/B 3.625 08/15/2043,USD,12662217.38,,9890000.0,1.93,,1.0,27.89
912810RX8,US TREASURY N/B 3 05/15/2047,USD,12038753.74,,10290000.0,1.84,,1.0,27.89
912810QY7,US TREASURY N/B 2.75 11/15/2042,USD,11355110.74,,10220000.0,1.73,,1.0,27.89
912810RM2,US TREASURY N/B 3 05/15/2045,USD,10922225.78,,9400000.0,1.67,,1.0,27.89
912810QZ4,US TREASURY N/B 3.125 02/15/2043,USD,10433490.05,,8790000.0,1.59,,1.0,27.89
912810QX9,US TREASURY N/B 2.75 08/15/2042,USD,7812900.07,,6980000.0,1.19,,1.0,27.89
912810QU5,US TREASURY N/B 3.125 02/15/2042,USD,7629218.8,,6430000.0,1.17,,1.0,27.89
912810QW1,US TREASURY N/B 3 05/15/2042,USD,6911252.92,,5980000.0,1.06,,1.0,27.89
912810RP5,US TREASURY N/B 3 11/15/2045,USD,6882755.94,,5910000.0,1.05,,1.0,27.89
912810QT8,US TREASURY N/B 3.125 11/15/2041,USD,5888152.2,,5002000.0,0.9,,1.0,27.89
912810QS0,US TREASURY N/B 3.75 08/15/2041,USD,1409735.63,,1090000.0,0.22,,1.0,27.89
Cash,保證金,USD,5.14,,,,1,1,27.89
Cash,現金,NTD,3817726059.0,,,,1,1,1.0
Cash,現金,USD,7458771.86,,,,1,1,27.89
Cash,應收利息,USD,3750059.22,,,,1,1,27.89

