Date,2021/06/29
Name,元大美國政府7至10年期債券基金
Net Asset,281866022
Shares Outstanding,7212000
ETF Currency,NTD
NAV per Share,39.0829

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
91282CBL4,US TREASURY N/B 1.125 02/15/2031,USD,958142.92,,990000.0,9.48,,1.0,27.89
912828ZQ6,US TREASURY N/B .625 05/15/2030,USD,938599.38,,1010000.0,9.29,,nan,27.89
91282CAE1,US TREASURY N/B .625 08/15/2030,USD,927495.74,,1000000.0,9.18,,1.0,27.89
912828Z94,US TREASURY N/B 1.5 02/15/2030,USD,877950.21,,870000.0,8.69,,1.0,27.89
9128286T2,US TREASURY N/B 2.375 05/15/2029,USD,871933.08,,810000.0,8.63,,1.0,27.89
9128286B1,US TREASURY N/B 2.625 02/15/2029,USD,869715.19,,790000.0,8.61,,1.0,27.89
9128284V9,US TREASURY N/B 2.875 08/15/2028,USD,804947.04,,720000.0,7.96,,1.0,27.89
9128285M8,US TREASURY N/B 3.125 11/15/2028,USD,802141.37,,710000.0,7.94,,1.0,27.89
912828YB0,US TREASURY N/B 1.625 08/15/2029,USD,572917.81,,560000.0,5.67,,1.0,27.89
91282CCB5,US TREASURY N/B 1.625% 05/15/2031,USD,494966.45,,490000.0,4.9,,1.0,27.89
912828YS3,US TREASURY N/B 1.75 11/15/2029,USD,421629.36,,410000.0,4.17,,1.0,27.89
912810FP8,US TREASURY N/B 5.375 02/15/2031,USD,123348.96,,90000.0,1.22,,1.0,27.89
912810FF0,US TREASURY N/B 5.25 11/15/2028,USD,115552.88,,90000.0,1.14,,1.0,27.89
912810FM5,US TREASURY N/B 6.25 05/15/2030,USD,112836.25,,80000.0,1.12,,1.0,27.89
912810FE3,US TREASURY N/B 5.5 08/15/2028,USD,91570.17,,70000.0,0.91,,1.0,27.89
912810FG8,US TREASURY N/B 5.25 02/15/2029,USD,78132.1,,60000.0,0.77,,1.0,27.89
912810FJ2,US TREASURY N/B 6.125 08/15/2029,USD,69459.8,,50000.0,0.69,,1.0,27.89
Cash,現金,NTD,542509.0,,,,1,1,1.0
Cash,現金,USD,60120.77,,,,1,1,27.89
Cash,應收利息,USD,43979.59,,,,1,1,27.89

