Date,2021/06/29
Name,元大台灣高股息低波動ETF基金
Net Asset,3463530887
Shares Outstanding,80512000
ETF Currency,NTD
NAV per Share,43.02

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
1216_TW,統一,NTD,4212000.0,,,8.97,,1.0,1.0
2912_TW,統一超,NTD,1154000.0,,,8.7,,1.0,1.0
3045_TW,台灣大,NTD,2545000.0,,,7.49,,1.0,1.0
2892_TW,第一金,NTD,10924000.0,,,7.13,,1.0,1.0
2301_TW,光寶科,NTD,2657000.0,,,4.89,,1.0,1.0
2882_TW,國泰金,NTD,2726000.0,,,4.27,,1.0,1.0
2347_TW,聯強,NTD,2228000.0,,,3.28,,1.0,1.0
2324_TW,仁寶,NTD,4318000.0,,,2.74,,1.0,1.0
1232_TW,大統益,NTD,421000.0,,,2.02,,1.0,1.0
6214_TW,精誠,NTD,773000.0,,,2.02,,1.0,1.0
1215_TW,卜蜂,NTD,850000.0,,,2.01,,1.0,1.0
9917_TW,中保科,NTD,735000.0,,,2.0,,1.0,1.0
2820_TW,華票,NTD,4255000.0,,,2.0,,1.0,1.0
6412_TW,群電,NTD,769000.0,,,1.62,,1.0,1.0
3005_TW,神基,NTD,867000.0,,,1.38,,1.0,1.0
3702_TW,大聯大,NTD,929720.0,,,1.35,,1.0,1.0
1102_TW,亞泥,NTD,920000.0,,,1.35,,1.0,1.0
2376_TW,技嘉,NTD,419000.0,,,1.33,,1.0,1.0
4938_TW,和碩,NTD,610000.0,,,1.3,,1.0,1.0
2356_TW,英業達,NTD,1718000.0,,,1.28,,1.0,1.0
3044_TW,健鼎,NTD,329000.0,,,1.27,,1.0,1.0
5434_TW,崇越,NTD,321000.0,,,1.17,,1.0,1.0
1907_TW,永豐餘,NTD,908000.0,,,1.15,,1.0,1.0
2809_TW,京城銀,NTD,977000.0,,,1.12,,1.0,1.0
6257_TW,矽格,NTD,691000.0,,,1.12,,1.0,1.0
1904_TW,正隆,NTD,819000.0,,,1.09,,1.0,1.0
2441_TW,超豐,NTD,469000.0,,,1.08,,1.0,1.0
5469_TW,瀚宇博,NTD,762000.0,,,1.06,,1.0,1.0
2889_TW,國票金,NTD,2210834.0,,,1.05,,1.0,1.0
6202_TW,盛群,NTD,359000.0,,,1.04,,1.0,1.0
2883_TW,開發金,NTD,2717000.0,,,1.04,,1.0,1.0
1210_TW,大成,NTD,586000.0,,,1.03,,1.0,1.0
3026_TW,禾伸堂,NTD,255000.0,,,1.03,,1.0,1.0
8150_TW,南茂,NTD,743000.0,,,1.03,,1.0,1.0
6176_TW,瑞儀,NTD,287000.0,,,1.01,,1.0,1.0
2885_TW,元大金,NTD,1321000.0,,,1.01,,1.0,1.0
2890_TW,永豐金,NTD,2496000.0,,,0.99,,1.0,1.0
2881_TW,富邦金,NTD,468000.0,,,0.99,,1.0,1.0
6239_TW,力成,NTD,316000.0,,,0.98,,1.0,1.0
3036_TW,文曄,NTD,622582.0,,,0.97,,1.0,1.0
2352_TW,佳世達,NTD,1102000.0,,,0.97,,1.0,1.0
1513_TW,中興電,NTD,661000.0,,,0.97,,1.0,1.0
1326_TW,台化,NTD,395000.0,,,0.97,,1.0,1.0
1303_TW,南亞,NTD,400000.0,,,0.96,,1.0,1.0
2891_TW,中信金,NTD,1467000.0,,,0.96,,1.0,1.0
2449_TW,京元電子,NTD,783000.0,,,0.96,,1.0,1.0
2382_TW,廣達,NTD,377000.0,,,0.95,,1.0,1.0
6005_TW,群益證,NTD,1933000.0,,,0.94,,1.0,1.0
2888_TW,新光金,NTD,3365000.0,,,0.93,,1.0,1.0
5522_TW,遠雄,NTD,574000.0,,,0.89,,1.0,1.0
TX,臺股期貨,NTD,24.0,202107,,2.43,,200.0,1.0
Cash,保證金,NTD,20915603.0,,,,1,1,1.0
Cash,現金,NTD,145277418.0,,,,1,1,1.0
Cash,應收股利,NTD,14585000.0,,,,1,1,1.0

