Date,2021/06/29
Name,元大美國政府1至3年期債券ETF基金
Net Asset,19277407804
Shares Outstanding,642514000
ETF Currency,NTD
NAV per Share,30.0031

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
912828L24,US TREASURY N/B 1.875 08/31/2022,USD,44511681.78,,43370000.0,6.44,,1.0,27.89
912828S92,US TREASURY N/B 1.25 07/31/2023,USD,39875628.98,,38900000.0,5.77,,1.0,27.89
912828W48,US TREASURY N/B 2.125 02/29/2024,USD,32838525.99,,31200000.0,4.75,,1.0,27.89
9128284X5,US TREASURY N/B 2.75 08/31/2023,USD,29783095.47,,28050000.0,4.31,,1.0,27.89
912828T91,US TREASURY N/B 1.625 10/31/2023,USD,29403833.78,,28480000.0,4.25,,1.0,27.89
9128285K2,US TREASURY N/B 2.875 10/31/2023,USD,28791465.89,,27070000.0,4.17,,1.0,27.89
912828N30,US TREASURY N/B 2.125 12/31/2022,USD,28548395.1,,27470000.0,4.13,,1.0,27.89
912828Y61,US TREASURY N/B 2.75 07/31/2023,USD,28250762.48,,26590000.0,4.09,,1.0,27.89
9128286G0,US TREASURY N/B 2.375 02/29/2024,USD,28190746.21,,26600000.0,4.08,,1.0,27.89
9128282D1,US TREASURY N/B 1.375 08/31/2023,USD,25095236.62,,24420000.0,3.63,,1.0,27.89
912810EM6,US TREASURY N/B 7.25 08/15/2022,USD,21905793.12,,19800000.0,3.17,,1.0,27.89
912828S35,US TREASURY N/B 1.375 06/30/2023,USD,21613303.54,,21010000.0,3.13,,1.0,27.89
9128284S6,US TREASURY N/B 2.75 05/31/2023,USD,17875514.84,,17030000.0,2.59,,1.0,27.89
9128285D8,US TREASURY N/B 2.875 09/30/2023,USD,17443778.93,,16390000.0,2.52,,1.0,27.89
9128284U1,US TREASURY N/B 2.625 06/30/2023,USD,16417323.48,,15490000.0,2.38,,1.0,27.89
9128283C2,US TREASURY N/B 2 10/31/2022,USD,16307231.61,,15870000.0,2.36,,1.0,27.89
9128286R6,US TREASURY N/B 2.25% 04/30/2024,USD,15813405.82,,15000000.0,2.29,,1.0,27.89
912828M49,US TREASURY N/B 1.875 10/31/2022,USD,15323034.89,,14940000.0,2.22,,1.0,27.89
9128282W9,US TREASURY N/B 1.875 09/30/2022,USD,15102999.2,,14720000.0,2.19,,1.0,27.89
9128284L1,US TREASURY N/B 2.75 04/30/2023,USD,14764117.92,,14060000.0,2.14,,1.0,27.89
912828B66,US TREASURY N/B 2.75 02/15/2024,USD,11571926.3,,10800000.0,1.67,,1.0,27.89
912810EN4,US TREASURY N/B 7.625 11/15/2022,USD,11365994.91,,10230000.0,1.64,,1.0,27.89
9128286Y1,US TREASURY N/B 1.75 06/15/2022,USD,10417945.8,,10250000.0,1.51,,1.0,27.89
912828XT2,US TREASURY N/B 2% 05/31/202,USD,10459127.65,,10000000.0,1.51,,1.0,27.89
912828R28,US TREASURY N/B 1.625 04/30/2023,USD,10029327.04,,9760000.0,1.45,,1.0,27.89
