Date,2021/06/29
Name,元大MSCI中國A股國際通ETF基金
Net Asset,1269125811
Shares Outstanding,43488000
ETF Currency,NTD
NAV per Share,29.18

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
600519_CN,貴州茅臺,CNY,8129.0,,,5.79,,1.0,4.323
000858_CN,五 糧 液,CNY,25108.0,,,2.56,,1.0,4.323
600036_CN,招商銀行,CNY,133181.0,,,2.56,,1.0,4.323
300750_CN,寧德時代,CNY,15101.0,,,2.45,,1.0,4.323
601318_CN,中國平安,CNY,69905.0,,,1.59,,1.0,4.323
601888_CN,中國中免,CNY,12600.0,,,1.27,,1.0,4.323
300760_CN,邁瑞醫療,CNY,7908.0,,,1.26,,1.0,4.323
600900_CN,長江電力,CNY,146827.0,,,1.03,,1.0,4.323
603288_CN,海天味業,CNY,22736.0,,,1.03,,1.0,4.323
601012_CN,隆基股份,CNY,34090.0,,,1.0,,1.0,4.323
000001_CN,平安銀行,CNY,125300.0,,,1.0,,1.0,4.323
002594_CN,比亞迪,CNY,11700.0,,,0.98,,1.0,4.323
600276_CN,瑞醫藥,CNY,41344.0,,,0.96,,1.0,4.323
601166_CN,興業銀行,CNY,134100.0,,,0.95,,1.0,4.323
603259_CN,藥明康德,CNY,16548.0,,,0.88,,1.0,4.323
600809_CN,山西汾酒,CNY,5656.0,,,0.86,,1.0,4.323
300015_CN,愛爾眼科,CNY,34581.0,,,0.8,,1.0,4.323
000568_CN,瀘州老窖,CNY,9500.0,,,0.76,,1.0,4.323
600309_CN,萬華化學,CNY,20260.0,,,0.76,,1.0,4.323
300059_CN,東方財富,CNY,66766.0,,,0.74,,1.0,4.323
002475_CN,立訊精密,CNY,45177.0,,,0.72,,1.0,4.323
601398_CN,工商銀行,CNY,405977.0,,,0.72,,1.0,4.323
002304_CN,洋河股份,CNY,9819.0,,,0.71,,1.0,4.323
002352_CN,順豐控股,CNY,29400.0,,,0.7,,1.0,4.323
002714_CN,牧原股份,CNY,33988.0,,,0.68,,1.0,4.323
600000_CN,浦發銀行,CNY,189437.0,,,0.65,,1.0,4.323
300122_CN,智飛生物,CNY,10419.0,,,0.64,,1.0,4.323
601919_CN,中遠海控,CNY,62500.0,,,0.62,,1.0,4.323
600030_CN,中信證券,CNY,68716.0,,,0.6,,1.0,4.323
600436_CN,片仔,CNY,3900.0,,,0.59,,1.0,4.323
000333_CN,美的集團,CNY,22800.0,,,0.57,,1.0,4.323
603501_CN,韋爾股份,CNY,5600.0,,,0.57,,1.0,4.323
600031_CN,三一重工,CNY,54807.0,,,0.54,,1.0,4.323
002142_CN,寧波銀行,CNY,38865.0,,,0.53,,1.0,4.323
601288_CN,農業銀行,CNY,480723.0,,,0.5,,1.0,4.323
600887_CN,伊利股份,CNY,39300.0,,,0.5,,1.0,4.323
601816_CN,京滬高鐵,CNY,264100.0,,,0.49,,1.0,4.323
000725_CN,京東方A,CNY,218500.0,,,0.48,,1.0,4.323
601601_CN,中國太保,CNY,44200.0,,,0.47,,1.0,4.323
300014_CN,億緯鋰能,CNY,12230.0,,,0.44,,1.0,4.323
601899_CN,紫金礦業,CNY,127400.0,,,0.44,,1.0,4.323
002812_CN,恩捷股份,CNY,5940.0,,,0.43,,1.0,4.323
601328_CN,交通銀行,CNY,253300.0,,,0.42,,1.0,4.323
600438_CN,通威股份,CNY,29100.0,,,0.39,,1.0,4.323
600104_CN,上汽集團,CNY,50300.0,,,0.39,,1.0,4.323
002493_CN,榮盛石化,CNY,65390.0,,,0.38,,1.0,4.323
300124_CN,匯川技術,CNY,16700.0,,,0.38,,1.0,4.323
600019_CN,寶鋼股份,CNY,143697.0,,,0.38,,1.0,4.323
600585_CN,海螺水泥,CNY,25900.0,,,0.37,,1.0,4.323
600690_CN,海爾智家,CNY,40800.0,,,0.37,,1.0,4.323
300782_CN,卓勝微,CNY,2180.0,,,0.37,,1.0,4.323
000661_CN,長春高新,CNY,2700.0,,,0.37,,1.0,4.323
300274_CN,陽光電源,CNY,9500.0,,,0.36,,1.0,4.323
600016_CN,民生銀行,CNY,228820.0,,,0.35,,1.0,4.323
601818_CN,光大銀行,CNY,266900.0,,,0.35,,1.0,4.323
600346_CN,力石化,CNY,37940.0,,,0.33,,1.0,4.323
300433_CN,藍思科技,CNY,32188.0,,,0.33,,1.0,4.323
600048_CN,保利地產,CNY,77300.0,,,0.33,,1.0,4.323
002241_CN,歌爾股份,CNY,22121.0,,,0.32,,1.0,4.323
600703_CN,三安光電,CNY,29000.0,,,0.32,,1.0,4.323
600999_CN,招商證券,CNY,47920.0,,,0.31,,1.0,4.323
300759_CN,康龍化成,CNY,4300.0,,,0.31,,1.0,4.323
000538_CN,云南白藥,CNY,8300.0,,,0.31,,1.0,4.323
002230_CN,科大訊飛,CNY,14407.0,,,0.31,,1.0,4.323
601066_CN,中信建投,CNY,28000.0,,,0.31,,1.0,4.323
600028_CN,中國石化,CNY,205600.0,,,0.31,,1.0,4.323
002460_CN,贛鋒鋰業,CNY,7200.0,,,0.31,,1.0,4.323
600763_CN,通策醫療,CNY,2100.0,,,0.3,,1.0,4.323
601658_CN,郵儲銀行,CNY,171600.0,,,0.3,,1.0,4.323
002371_CN,北方華創,CNY,3300.0,,,0.3,,1.0,4.323
600196_CN,復星醫藥,CNY,13000.0,,,0.3,,1.0,4.323
002027_CN,分眾傳媒,CNY,94760.0,,,0.3,,1.0,4.323
601088_CN,中國神華,CNY,42596.0,,,0.29,,1.0,4.323
600406_CN,國電南瑞,CNY,35853.0,,,0.29,,1.0,4.323
601211_CN,國泰君安,CNY,48509.0,,,0.29,,1.0,4.323
603799_CN,華友鈷業,CNY,7904.0,,,0.28,,1.0,4.323
002311_CN,海大集團,CNY,10800.0,,,0.28,,1.0,4.323
601225_CN,陜西煤業,CNY,64600.0,,,0.28,,1.0,4.323
000063_CN,中興通訊,CNY,24900.0,,,0.27,,1.0,4.323
000338_CN,濰柴動力,CNY,43800.0,,,0.26,,1.0,4.323
601688_CN,華泰證券,CNY,47530.0,,,0.26,,1.0,4.323
