Date,2021/06/29
Name,元大全球人工智慧ETF基金
Net Asset,825095446
Shares Outstanding,20248000
ETF Currency,NTD
NAV per Share,40.75

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
NVDA_US,NVIDIA CORP,USD,3166.0,,,8.15,,1.0,27.89
FB_US,FACEBOOK INC-CLASS A,USD,6637.0,,,7.66,,1.0,27.89
GOOG_US,ALPHABET INC-CL C,USD,875.0,,,7.51,,1.0,27.89
INTC_US,INTEL CORP,USD,38455.0,,,7.27,,1.0,27.89
TWTR_US,TWITTER INC,USD,20584.0,,,4.73,,1.0,27.89
PINS_US,PINTEREST INC- CLASS A,USD,18186.0,,,4.72,,1.0,27.89
AMD_US,ADVANCED MICRO DEVICES,USD,15218.0,,,4.4,,1.0,27.89
XLNX_US,XILINX INC,USD,9637.0,,,4.3,,1.0,27.89
SNOW_US,SNOWFLAKE INC-CLASS ,USD,4989.0,,,4.17,,1.0,27.89
MRVL_US,MARVELL TECHNOLOGY INC,USD,21052.0,,,4.01,,1.0,27.89
EQIX_US,EQUINIX INC,USD,1508.0,,,3.99,,1.0,27.89
DLR_US,DIGITAL REALTY TRUST INC,USD,7571.0,,,3.9,,1.0,27.89
SPLK_US,SPLUNK INC,USD,7535.0,,,3.6,,1.0,27.89
WDC_US,WESTERN DIGITAL CORP,USD,14089.0,,,3.37,,1.0,27.89
STX_US,SEAGATE TECHNOLOGY HOLDINGS,USD,10522.0,,,3.08,,1.0,27.89
NTAP_US,NETAPP INC,USD,8279.0,,,2.31,,1.0,27.89
CGNX_US,COGNEX CORP,USD,8120.0,,,2.26,,1.0,27.89
ESTC_US,ELASTIC NV,USD,3043.0,,,1.53,,1.0,27.89
CONE_US,CYRUSONE INC,USD,5634.0,,,1.38,,1.0,27.89
LSCC_US,LATTICE SEMICONDUCTOR CORP,USD,5976.0,,,1.13,,1.0,27.89
FSLY_US,FASTLY INC - CLASS A,USD,4542.0,,,0.93,,1.0,27.89
COR_US,CORESITE REALTY COR,USD,1942.0,,,0.88,,1.0,27.89
CLVT_US,CLARIVATE PL,USD,9402.0,,,0.86,,1.0,27.89
AYX_US,ALTERYX INC - CLASS A,USD,2723.0,,,0.82,,1.0,27.89
TDC_US,TERADATA CORP,USD,4183.0,,,0.72,,1.0,27.89
MSTR_US,MICROSTRATEGY INC-CL A,USD,358.0,,,0.67,,1.0,27.89
CLDR_US,CLOUDERA INC,USD,11253.0,,,0.6,,1.0,27.89
AMBA_US,AMBARELLA INC,USD,1667.0,,,0.59,,1.0,27.89
PSTG_US,PURE STORAGE INC - CLASS A,USD,8237.0,,,0.56,,1.0,27.89
CCOI_US,COGENT COMMUNICATIONS HOLDIN,USD,1973.0,,,0.52,,1.0,27.89
2337_TW,旺宏,NTD,79000.0,,,0.43,,1.0,1.0
SWCH_US,SWITCH INC - A,USD,5950.0,,,0.43,,1.0,27.89
MVIS_US,MICROVISION IN,USD,7262.0,,,0.42,,1.0,27.89
DOMO_US,DOMO INC - CLASS B,USD,1225.0,,,0.34,,1.0,27.89
MXL_US,MAXLINEAR INC,USD,2189.0,,,0.31,,1.0,27.89
SUMO_US,SUMO LOGIC IN,USD,3629.0,,,0.26,,1.0,27.89
RDNT_US,RADNET INC,USD,1995.0,,,0.23,,1.0,27.89
3661_TW,世芯-KY,NTD,3000.0,,,0.23,,1.0,1.0
3006_TW,晶豪科,NTD,13000.0,,,0.23,,1.0,1.0
3443_TW,創意,NTD,4000.0,,,0.2,,1.0,1.0
5269_TW,祥碩,NTD,1000.0,,,0.17,,1.0,1.0
2451_TW,創見,NTD,11000.0,,,0.1,,1.0,1.0
3035_TW,智原,NTD,9000.0,,,0.08,,1.0,1.0
2388_TW,威,NTD,11000.0,,,0.07,,1.0,1.0
2323_TW,中環,NTD,45099.0,,,0.05,,1.0,1.0
200710_KR,ADTECHNOLOGY CO LTD,KRW,497.0,,,0.03,,1.0,0.0247
123860_KR,ANAPASS INC,KRW,433.0,,,0.03,,1.0,0.0247
2349_TW,錸,NTD,25000.0,,,0.03,,1.0,1.0
126700_KR,HYVISION SYSTEM INC,KRW,511.0,,,0.03,,1.0,0.0247
3041_TW,揚智,NTD,8000.0,,,0.03,,1.0,1.0
347860_KR,ALCHERA IN,KRW,211.0,,,0.02,,1.0,0.0247
3060_TW,銘,NTD,6000.0,,,0.02,,1.0,1.0
080220_KR,JEJU SEMICONDUCTOR COR,KRW,857.0,,,0.02,,1.0,0.0247
NQ,小那斯達克指數期貨,USD,5.0,202109,,4.85,,10.0,27.89
Cash,保證金,NTD,3000000.0,,,,1,1,1.0
Cash,保證金,USD,461195.74,,,,1,1,27.89
Cash,現金,NTD,150812192.0,,,,1,1,1.0
Cash,現金,USD,378716.97,,,,1,1,27.89
Cash,應付申購預收款,NTD,-11129028.0,,,,1,1,1.0

