Date,2021/06/29
Name,元大全球未來通訊ETF基金
Net Asset,5951513023
Shares Outstanding,205412000
ETF Currency,NTD
NAV per Share,28.97

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
AAPL_US,APPLE INC,USD,128795.0,,,8.03,,1.0,27.89
CSCO_US,CISCO SYSTEMS INC,USD,319297.0,,,7.94,,1.0,27.89
005930_KR,SAMSUNG ELECTRONICS CO LTD,KRW,213423.0,,,7.24,,1.0,0.0247
2330_TW,台積電,NTD,715000.0,,,7.1,,1.0,1.0
AVGO_US,BROADCOM INC,USD,32523.0,,,7.04,,1.0,27.89
QCOM_US,QUALCOMM INC,USD,92568.0,,,5.97,,1.0,27.89
AMAT_US,APPLIED MATERIALS INC,USD,74504.0,,,4.75,,1.0,27.89
AMT_US,AMERICAN TOWER CORP,USD,36139.0,,,4.51,,1.0,27.89
VZ_US,VERIZON COMMUNICATIONS INC,USD,156229.0,,,4.13,,1.0,27.89
T_US,AT&T INC,USD,269254.0,,,3.65,,1.0,27.89
LRCX_US,LAM RESEARCH CORP,USD,11594.0,,,3.43,,1.0,27.89
CCI_US,CROWN CASTLE INTL CORP,USD,35011.0,,,3.22,,1.0,27.89
EQIX_US,EQUINIX INC,USD,7247.0,,,2.66,,1.0,27.89
8035_JP,TOKYO ELECTRON LTD,JPY,12100.0,,,2.51,,1.0,0.2518
2454_TW,聯發科,NTD,116000.0,,,1.81,,1.0,1.0
DLR_US,DIGITAL REALTY TRUST INC,USD,22873.0,,,1.63,,1.0,27.89
6981_JP,MURATA MANUFACTURING CO LTD,JPY,42900.0,,,1.51,,1.0,0.2518
TMUS_US,T-MOBILE US INC,USD,22160.0,,,1.51,,1.0,27.89
MRVL_US,MARVELL TECHNOLOGY INC,USD,54928.0,,,1.45,,1.0,27.89
SBAC_US,SBA COMMUNICATIONS CORP,USD,8827.0,,,1.32,,1.0,27.89
XLNX_US,XILINX INC,USD,20011.0,,,1.24,,1.0,27.89
KEYS_US,KEYSIGHT TECHNOLOGIES IN,USD,15075.0,,,1.08,,1.0,27.89
9433_JP,KDDI CORP,JPY,58800.0,,,0.86,,1.0,0.2518
2303_TW,聯電,NTD,950000.0,,,0.84,,1.0,1.0
9434_JP,SOFTBANK CORP,JPY,104700.0,,,0.65,,1.0,0.2518
3711_TW,日月光投控,NTD,260000.0,,,0.51,,1.0,1.0
6701_JP,NEC CORP,JPY,19700.0,,,0.45,,1.0,0.2518
3008_TW,大立光,NTD,8000.0,,,0.41,,1.0,1.0
6415_TW,矽力-KY,NTD,6000.0,,,0.37,,1.0,1.0
3034_TW,聯詠,NTD,43000.0,,,0.35,,1.0,1.0
JNPR_US,JUNIPER NETWORKS INC,USD,26448.0,,,0.34,,1.0,27.89
CIEN_US,CIENA CORP,USD,12473.0,,,0.34,,1.0,27.89
6146_JP,DISCO CORP,JPY,2300.0,,,0.34,,1.0,0.2518
CONE_US,CYRUSONE INC,USD,9754.0,,,0.33,,1.0,27.89
ARW_US,ARROW ELECTRONICS INC,USD,6049.0,,,0.32,,1.0,27.89
2379_TW,瑞昱,NTD,37000.0,,,0.31,,1.0,1.0
2382_TW,廣達,NTD,207000.0,,,0.3,,1.0,1.0
IPGP_US,IPG PHOTONICS CORP,USD,2846.0,,,0.28,,1.0,27.89
IIVI_US,II-VI INC,USD,8412.0,,,0.28,,1.0,27.89
2327_TW,國巨,NTD,30000.0,,,0.27,,1.0,1.0
LITE_US,LUMENTUM HOLDINGS INC,USD,6014.0,,,0.23,,1.0,27.89
NQ,小那斯達克指數期貨,USD,28.0,202109,,3.76,,10.0,27.89
Cash,保證金,USD,2048368.1,,,,1,1,27.89
Cash,現金,JPY,19097635.0,,,,1,1,0.2518
Cash,現金,NTD,170175124.0,,,,1,1,1.0
Cash,現金,USD,5206617.93,,,,1,1,27.89
Cash,應收股利,JPY,3740197.0,,,,1,1,0.2518
Cash,應收股利,NTD,1805000.0,,,,1,1,1.0

