Date,2021/06/29
Name,元大全球未來關鍵科技ETF基金
Net Asset,7672194939
Shares Outstanding,263524000
ETF Currency,NTD
NAV per Share,29.11

Ticker,Name,Currency,Shares,Expiry Month,Market Value,Weight,Price,Multiplier,FX Rate
AMAT_US,APPLIED MATERIALS INC,USD,194670.0,,,9.64,,1.0,27.89
LRCX_US,LAM RESEARCH CORP,USD,35389.0,,,8.11,,1.0,27.89
8035_JP,TOKYO ELECTRON LTD,JPY,40500.0,,,6.51,,1.0,0.2518
2330_TW,台積電,NTD,721000.0,,,5.55,,1.0,1.0
2454_TW,聯發科,NTD,408000.0,,,4.93,,1.0,1.0
QCOM_US,QUALCOMM INC,USD,95285.0,,,4.77,,1.0,27.89
6981_JP,MURATA MANUFACTURING CO LTD,JPY,165000.0,,,4.52,,1.0,0.2518
XLNX_US,XILINX INC,USD,63386.0,,,3.04,,1.0,27.89
GLW_US,CORNING INC,USD,198933.0,,,2.96,,1.0,27.89
KEYS_US,KEYSIGHT TECHNOLOGIES IN,USD,47970.0,,,2.67,,1.0,27.89
6971_JP,KYOCERA CORP,JPY,97400.0,,,2.21,,1.0,0.2518
2303_TW,聯電,NTD,3015000.0,,,2.08,,1.0,1.0
002475_CN,立訊精密,CNY,610600.0,,,1.62,,1.0,4.323
6762_JP,TDK CORP,JPY,33400.0,,,1.46,,1.0,0.2518
ASM_EU,ASM INTERNATIONAL NV,EUR,12147.0,,,1.41,,1.0,33.3254
3711_TW,日月光投控,NTD,884000.0,,,1.35,,1.0,1.0
3008_TW,大立光,NTD,28000.0,,,1.13,,1.0,1.0
6415_TW,矽力-KY,NTD,23000.0,,,1.1,,1.0,1.0
6988_JP,NITTO DENKO CORP,JPY,38700.0,,,1.08,,1.0,0.2518
3034_TW,聯詠,NTD,157000.0,,,1.0,,1.0,1.0
6146_JP,DISCO CORP,JPY,7900.0,,,0.9,,1.0,0.2518
MKSI_US,MKS INSTRUMENTS INC,USD,14277.0,,,0.9,,1.0,27.89
2379_TW,瑞昱,NTD,132000.0,,,0.85,,1.0,1.0
6965_JP,HAMAMATSU PHOTONICS KK,JPY,37800.0,,,0.85,,1.0,0.2518
JNPR_US,JUNIPER NETWORKS INC,USD,84527.0,,,0.85,,1.0,27.89
009150_KR,SAMSUNG ELECTRO-MECHANICS CO,KRW,14702.0,,,0.83,,1.0,0.0247
IPGP_US,IPG PHOTONICS CORP,USD,10046.0,,,0.77,,1.0,27.89
LSCC_US,LATTICE SEMICONDUCTOR CORP,USD,35218.0,,,0.72,,1.0,27.89
4185_JP,JSR CORP,JPY,58300.0,,,0.64,,1.0,0.2518
600745_CN,聞泰科技,CNY,114400.0,,,0.6,,1.0,4.323
6976_JP,TAIYO YUDEN CO LTD,JPY,33600.0,,,0.6,,1.0,0.2518
LITE_US,LUMENTUM HOLDINGS INC,USD,19575.0,,,0.59,,1.0,27.89
2345_TW,智邦,NTD,132000.0,,,0.57,,1.0,1.0
3037_TW,欣興,NTD,338000.0,,,0.56,,1.0,1.0
5333_JP,NGK INSULATORS LTD,JPY,83100.0,,,0.53,,1.0,0.2518
ESI_US,ELEMENT SOLUTIONS INC,USD,60267.0,,,0.51,,1.0,27.89
SOI_EU,S.O.I.T.E.C.,EUR,5941.0,,,0.48,,1.0,33.3254
002371_CN,北方華創,CNY,31500.0,,,0.47,,1.0,4.323
