Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
112530291000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112533542000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112553666000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112555541000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112615666000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112616042000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112636166000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112636291000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112656291000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112657291000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112717291000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112721291000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112741291000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112741666000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112801666000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112801791000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112821791000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112841916000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112901916000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112903291000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112923416000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
112943541000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112945042000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113005166000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113005916000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113025917000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113026542000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113046542000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113106666000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113107166000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113127166000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113127292000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113147291000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113151041000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113211042000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113211166000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113231292000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113231417000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113251416000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113252666000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113312666000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113312916000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113332916000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113333166000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113353291000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113353666000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113413791000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113415041000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113435041000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113435166000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113455167000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113455542000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113515541000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113515916000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
113535917000,0,0,0.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
113536541000,0,0,0.050,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
