Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91344667000,0,0,2.280,6,0.000,0,0.000,0,0.000,0,0.000,0,2.620,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91345667000,0,0,2.260,6,0.000,0,0.000,0,0.000,0,0.000,0,2.590,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91440042000,0,0,2.230,6,0.000,0,0.000,0,0.000,0,0.000,0,2.560,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91445916000,0,0,2.250,6,0.000,0,0.000,0,0.000,0,0.000,0,2.580,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91447166000,0,0,2.230,6,0.000,0,0.000,0,0.000,0,0.000,0,2.560,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91509292000,0,0,2.260,6,0.000,0,0.000,0,0.000,0,0.000,0,2.590,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91515666000,0,0,2.230,6,0.000,0,0.000,0,0.000,0,0.000,0,2.560,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91519167000,0,0,2.260,6,0.000,0,0.000,0,0.000,0,0.000,0,2.590,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91543916000,0,0,2.230,6,0.000,0,0.000,0,0.000,0,0.000,0,2.560,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91638168000,0,0,2.260,6,0.000,0,0.000,0,0.000,0,0.000,0,2.590,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91736418000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750543000,0,0,2.260,6,0.000,0,0.000,0,0.000,0,0.000,0,2.590,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92346666000,0,0,2.290,6,0.000,0,0.000,0,0.000,0,0.000,0,2.630,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92538917000,0,0,2.310,6,0.000,0,0.000,0,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93024166000,0,0,2.260,6,0.000,0,0.000,0,0.000,0,0.000,0,2.590,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93057044000,0,0,2.250,6,0.000,0,0.000,0,0.000,0,0.000,0,2.580,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93122791000,0,0,2.210,6,0.000,0,0.000,0,0.000,0,0.000,0,2.540,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93124916000,0,0,2.250,6,0.000,0,0.000,0,0.000,0,0.000,0,2.580,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93545916000,0,0,2.230,6,0.000,0,0.000,0,0.000,0,0.000,0,2.560,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93759417000,0,0,2.210,6,0.000,0,0.000,0,0.000,0,0.000,0,2.540,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93817916000,0,0,2.240,6,0.000,0,0.000,0,0.000,0,0.000,0,2.570,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93858917000,0,0,2.230,6,0.000,0,0.000,0,0.000,0,0.000,0,2.560,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
94146042000,0,0,2.240,6,0.000,0,0.000,0,0.000,0,0.000,0,2.570,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
94342044000,0,0,2.270,6,0.000,0,0.000,0,0.000,0,0.000,0,2.610,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
94506417000,0,0,2.250,6,0.000,0,0.000,0,0.000,0,0.000,0,2.580,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
94518291000,0,0,2.200,6,0.000,0,0.000,0,0.000,0,0.000,0,2.530,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95007292000,0,0,2.220,6,0.000,0,0.000,0,0.000,0,0.000,0,2.550,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95111166000,0,0,2.200,6,0.000,0,0.000,0,0.000,0,0.000,0,2.530,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95204166000,0,0,2.220,6,0.000,0,0.000,0,0.000,0,0.000,0,2.550,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95312292000,0,0,2.190,6,0.000,0,0.000,0,0.000,0,0.000,0,2.510,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95327045000,0,0,2.170,6,0.000,0,0.000,0,0.000,0,0.000,0,2.490,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95417792000,0,0,2.160,6,0.000,0,0.000,0,0.000,0,0.000,0,2.480,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95440292000,0,0,2.170,6,0.000,0,0.000,0,0.000,0,0.000,0,2.490,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95441042000,0,0,2.160,6,0.000,0,0.000,0,0.000,0,0.000,0,2.480,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95518542000,0,0,2.140,6,0.000,0,0.000,0,0.000,0,0.000,0,2.460,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95548042000,0,0,2.110,6,0.000,0,0.000,0,0.000,0,0.000,0,2.420,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95627916000,0,0,2.100,6,0.000,0,0.000,0,0.000,0,0.000,0,2.410,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95721668000,0,0,2.080,6,0.000,0,0.000,0,0.000,0,0.000,0,2.390,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
