Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90232916000,0,0,0.300,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91340166000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91344416000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91344667000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91430919000,0,0,1.610,6,0.300,1,0.000,0,0.000,0,0.000,0,1.860,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91431043000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91440042000,0,0,1.590,6,0.300,1,0.000,0,0.000,0,0.000,0,1.840,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91445791000,0,0,1.610,6,0.300,1,0.000,0,0.000,0,0.000,0,1.860,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91447045000,0,0,1.590,6,0.300,1,0.000,0,0.000,0,0.000,0,1.840,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91506291000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91507543000,0,0,1.590,6,0.300,1,0.000,0,0.000,0,0.000,0,1.840,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91516293000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91519417000,0,0,1.610,6,0.300,1,0.000,0,0.000,0,0.000,0,1.860,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91521045000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91522043000,0,0,1.610,6,0.300,1,0.000,0,0.000,0,0.000,0,1.860,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91522417000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91534542000,0,0,1.590,6,0.300,1,0.000,0,0.000,0,0.000,0,1.840,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91612917000,0,0,1.590,6,0.300,1,0.000,0,0.000,0,0.000,0,1.840,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91638542000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91641541000,0,0,1.610,6,0.300,1,0.000,0,0.000,0,0.000,0,1.860,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91642542000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91642666000,0,0,1.610,6,0.300,1,0.000,0,0.000,0,0.000,0,1.860,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91644417000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91646042000,0,0,1.610,6,0.300,1,0.000,0,0.000,0,0.000,0,1.860,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91646167000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91652918000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91653919000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91657167000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91658167000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91702166000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91702917000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91703042000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91705667000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91723042000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91734042000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91735541000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91736418000,0,0,0.300,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750543000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91752542000,0,0,1.590,6,0.300,1,0.000,0,0.000,0,0.000,0,1.840,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91756792000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91800668000,0,0,1.590,6,0.300,1,0.000,0,0.000,0,0.000,0,1.840,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91805667000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91846293000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91912292000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91918041000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91947043000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91954292000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91956046000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91958041000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92001041000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92008918000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92010792000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92018041000,0,0,1.610,6,0.300,1,0.000,0,0.000,0,0.000,0,1.860,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92020791000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92032666000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92034542000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92049042000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92050666000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92059916000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92102044000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92106041000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92108042000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92116291000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92116417000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92123167000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92123667000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92204791000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92208916000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92209041000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92209542000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92209791000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92210793000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92210916000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92211166000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92237042000,0,0,1.610,6,0.300,1,0.000,0,0.000,0,0.000,0,1.860,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92237166000,0,0,1.640,6,0.300,1,0.000,0,0.000,0,0.000,0,1.890,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92304166000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92341044000,0,0,1.740,6,0.300,1,0.000,0,0.000,0,0.000,0,1.990,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92345918000,0,0,1.710,6,0.300,1,0.000,0,0.000,0,0.000,0,1.960,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92348417000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92440791000,0,0,1.710,6,0.300,1,0.000,0,0.000,0,0.000,0,1.960,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92441666000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92509418000,0,0,1.740,6,0.300,1,0.000,0,0.000,0,0.000,0,1.990,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92543293000,0,0,1.710,6,0.300,1,0.000,0,0.000,0,0.000,0,1.960,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92545793000,0,0,1.690,6,0.300,1,0.000,0,0.000,0,0.000,0,1.940,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92633043000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92638418000,0,0,1.680,6,0.300,1,0.000,0,0.000,0,0.000,0,1.930,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92639667000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92641041000,0,0,1.680,6,0.300,1,0.000,0,0.000,0,0.000,0,1.930,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92643291000,0,0,1.660,6,0.300,1,0.000,0,0.000,0,0.000,0,1.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92644292000,0,0,1.680,6,0.300,1,0.000,0,0.000,0,0.000,0,1.930,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92645668000,0,0,1.710,6,0.300,1,0.000,0,0.000,0,0.000,0,1.960,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92659916000,0,0,1.680,6,0.300,1,0.000,0,0.000,0,0.000,0,1.930,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92702044000,0,0,1.710,6,0.300,1,0.000,0,0.000,0,0.000,0,1.960,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92720166000,0,0,1.680,6,0.300,1,0.000,0,0.000,0,0.000,0,1.930,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
