Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95355062000,0,0,4.350,6,0,0,0,0,0,0,0,0,5.000,6,0,0,0,0,0,0,0,0,0,0,
95407845000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95407845000,0,0,4.100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95407845000,0,0,4.100,6,0,0,0,0,0,0,0,0,5.200,6,0,0,0,0,0,0,0,0,0,0,
95514707000,0,0,0,0,0,0,0,0,0,0,0,0,5.200,6,0,0,0,0,0,0,0,0,0,0,
95514707000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95514707000,0,0,4.200,6,0,0,0,0,0,0,0,0,4.830,6,0,0,0,0,0,0,0,0,0,0,
95810829000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95810829000,0,0,4.080,6,0,0,0,0,0,0,0,0,4.690,6,0,0,0,0,0,0,0,0,0,0,
100001210000,0,0,4.080,6,3.910,6,0,0,0,0,0,0,4.690,6,0,0,0,0,0,0,0,0,0,0,
100001210000,0,0,4.080,6,3.910,6,0,0,0,0,0,0,4.690,6,4.910,6,0,0,0,0,0,0,0,0,
100001210000,0,0,3.910,6,0,0,0,0,0,0,0,0,4.910,6,0,0,0,0,0,0,0,0,0,0,
100013952000,0,0,0,0,0,0,0,0,0,0,0,0,4.910,6,0,0,0,0,0,0,0,0,0,0,
100013952000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100013952000,0,0,4.080,6,0,0,0,0,0,0,0,0,4.690,6,0,0,0,0,0,0,0,0,0,0,
100135082000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100135082000,0,0,3.850,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100135082000,0,0,3.850,6,0,0,0,0,0,0,0,0,4.850,6,0,0,0,0,0,0,0,0,0,0,
100151170000,0,0,0,0,0,0,0,0,0,0,0,0,4.850,6,0,0,0,0,0,0,0,0,0,0,
100151170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100151170000,0,0,4.020,6,0,0,0,0,0,0,0,0,4.620,6,0,0,0,0,0,0,0,0,0,0,
100151369000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100151370000,0,0,3.850,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100151370000,0,0,3.850,6,0,0,0,0,0,0,0,0,4.850,6,0,0,0,0,0,0,0,0,0,0,
100153470000,0,0,4.020,6,3.850,6,0,0,0,0,0,0,4.620,6,4.850,6,0,0,0,0,0,0,0,0,
100153470000,0,0,4.020,6,0,0,0,0,0,0,0,0,4.620,6,4.850,6,0,0,0,0,0,0,0,0,
100153470000,0,0,4.020,6,0,0,0,0,0,0,0,0,4.620,6,0,0,0,0,0,0,0,0,0,0,
100232654000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100232654000,0,0,3.850,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100232654000,0,0,3.850,6,0,0,0,0,0,0,0,0,4.850,6,0,0,0,0,0,0,0,0,0,0,
100314408000,0,0,0,0,0,0,0,0,0,0,0,0,4.850,6,0,0,0,0,0,0,0,0,0,0,
100314409000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100314409000,0,0,4.080,6,0,0,0,0,0,0,0,0,4.690,6,0,0,0,0,0,0,0,0,0,0,
100355682000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100355682000,0,0,3.850,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100355683000,0,0,3.850,6,0,0,0,0,0,0,0,0,4.850,6,0,0,0,0,0,0,0,0,0,0,
100401106000,0,0,0,0,0,0,0,0,0,0,0,0,4.850,6,0,0,0,0,0,0,0,0,0,0,
100401107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100401107000,0,0,4.080,6,0,0,0,0,0,0,0,0,4.690,6,0,0,0,0,0,0,0,0,0,0,
100402796000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100402796000,0,0,3.910,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100402796000,0,0,3.910,6,0,0,0,0,0,0,0,0,4.910,6,0,0,0,0,0,0,0,0,0,0,
100403292000,0,0,0,0,0,0,0,0,0,0,0,0,4.910,6,0,0,0,0,0,0,0,0,0,0,
100403292000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100403292000,0,0,4.080,6,0,0,0,0,0,0,0,0,4.690,6,0,0,0,0,0,0,0,0,0,0,
100403992000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
