Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95355062000,0,0,7.800,6,0,0,0,0,0,0,0,0,8.950,6,0,0,0,0,0,0,0,0,0,0,
95514707000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95514707000,0,0,8.000,6,0,0,0,0,0,0,0,0,9.200,6,0,0,0,0,0,0,0,0,0,0,
100517052000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102501494000,0,0,8.050,6,0,0,0,0,0,0,0,0,9.250,6,0,0,0,0,0,0,0,0,0,0,
103258975000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103258975000,0,0,7.850,6,0,0,0,0,0,0,0,0,9.000,6,0,0,0,0,0,0,0,0,0,0,
103948792000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103948792000,0,0,7.650,6,0,0,0,0,0,0,0,0,8.750,6,0,0,0,0,0,0,0,0,0,0,
104839521000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104839521000,0,0,7.400,6,0,0,0,0,0,0,0,0,8.500,6,0,0,0,0,0,0,0,0,0,0,
104841385000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104843861000,0,0,7.350,6,0,0,0,0,0,0,0,0,8.450,6,0,0,0,0,0,0,0,0,0,0,
105003531000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105005426000,0,0,7.450,6,0,0,0,0,0,0,0,0,8.550,6,0,0,0,0,0,0,0,0,0,0,
105142604000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105142604000,0,0,7.250,6,0,0,0,0,0,0,0,0,8.300,6,0,0,0,0,0,0,0,0,0,0,
105446079000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105446080000,0,0,7.000,6,0,0,0,0,0,0,0,0,8.050,6,0,0,0,0,0,0,0,0,0,0,
105720026000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105720026000,0,0,7.150,6,0,0,0,0,0,0,0,0,8.300,6,0,0,0,0,0,0,0,0,0,0,
110203326000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110203326000,0,0,7.000,6,0,0,0,0,0,0,0,0,8.050,6,0,0,0,0,0,0,0,0,0,0,
110436683000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110436683000,0,0,7.250,6,0,0,0,0,0,0,0,0,8.300,6,0,0,0,0,0,0,0,0,0,0,
112155551000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112155552000,0,0,7.450,6,0,0,0,0,0,0,0,0,8.550,6,0,0,0,0,0,0,0,0,0,0,
114911585000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114911585000,0,0,7.200,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114911585000,0,0,7.200,6,0,0,0,0,0,0,0,0,8.400,6,0,0,0,0,0,0,0,0,0,0,
122104275000,0,0,0,0,0,0,0,0,0,0,0,0,8.400,6,0,0,0,0,0,0,0,0,0,0,
122104275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122104275000,0,0,7.100,6,0,0,0,0,0,0,0,0,8.150,6,0,0,0,0,0,0,0,0,0,0,
123239235000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
123239236000,0,0,7.350,6,0,0,0,0,0,0,0,0,8.450,6,0,0,0,0,0,0,0,0,0,0,
130005038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130005038000,0,0,7.150,6,0,0,0,0,0,0,0,0,8.200,6,0,0,0,0,0,0,0,0,0,0,
