Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
84445009000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84445000000
84445009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84450009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84450000000
84450009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84455008000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84455000000
84455008000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84500077000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101954285000,0.000,0,1.000,1,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105441255000,0.000,0,8.000,1,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105501180000,0.000,0,10.000,1,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110057868000,0.000,0,11.000,1,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110136561000,0.000,0,11.500,1,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110815768000,0.000,0,12.000,1,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120937793000,0.000,0,12.500,1,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121015094000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121334998000,0.000,0,8.000,1,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
