Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
84425009000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84425000000
84425009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84430008000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84430000000
84430008000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84435009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84435000000
84435009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84440009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84440000000
84440009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84445009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84445000000
84445009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84450009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84450000000
84450009000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84455008000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84455000000
84455008000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84500077000,0.000,0,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102558121000,0.000,0,0.040,1,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102558588000,0.000,0,0.040,2,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102558823000,0.000,0,0.040,3,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102559444000,0.000,0,0.040,4,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102559661000,0.000,0,0.040,5,0.030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
