Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
85736259000,0,0,0.010,6,0,0,0,0,0,0,0,0,3.010,6,0,0,0,0,0,0,0,0,0,0,
91518885000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91521615000,0,0,0.070,6,0,0,0,0,0,0,0,0,3.070,6,0,0,0,0,0,0,0,0,0,0,
91750808000,0,0,1.290,2,0.070,6,0,0,0,0,0,0,3.070,6,0,0,0,0,0,0,0,0,0,0,
95052582000,0,0,1.290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95055910000,0,0,1.290,2,0.010,6,0,0,0,0,0,0,3.010,6,0,0,0,0,0,0,0,0,0,0,
100517078000,0,0,1.290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102501523000,0,0,1.290,2,0.010,6,0,0,0,0,0,0,3.010,6,0,0,0,0,0,0,0,0,0,0,
104841383000,0,0,1.290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104843861000,0,0,1.290,2,0.010,6,0,0,0,0,0,0,3.010,6,0,0,0,0,0,0,0,0,0,0,
105003511000,0,0,1.290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105005425000,0,0,1.290,2,0.010,6,0,0,0,0,0,0,3.010,6,0,0,0,0,0,0,0,0,0,0,
112753450000,0,0,1.290,2,0.010,6,0,0,0,0,0,0,3.000,1,3.010,6,0,0,0,0,0,0,0,0,
115917841000,1.290,2,1.290,2,0.010,6,0,0,0,0,0,0,3.000,1,3.010,6,0,0,0,0,0,0,1,2,115917841000
115917841000,1.290,2,0.010,6,0,0,0,0,0,0,0,0,3.000,1,3.010,6,0,0,0,0,0,0,0,2,
120217621000,1.290,2,0.020,1,0.010,6,0,0,0,0,0,0,3.000,1,3.010,6,0,0,0,0,0,0,0,2,
133721953000,1.290,2,0.990,2,0.020,1,0.010,6,0,0,0,0,3.000,1,3.010,6,0,0,0,0,0,0,0,2,
