Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91347917000,0,0,14.300,6,0.000,0,0.000,0,0.000,0,0.000,0,16.400,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91539541000,0,0,14.150,6,0.000,0,0.000,0,0.000,0,0.000,0,16.200,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91541416000,0,0,14.150,6,0.000,0,0.000,0,0.000,0,0.000,0,16.000,1,16.200,6,0.000,0,0.000,0,0.000,0,0,0,
91558791000,0,0,14.000,6,0.000,0,0.000,0,0.000,0,0.000,0,16.000,1,16.100,6,0.000,0,0.000,0,0.000,0,0,0,
91736418000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,16.000,1,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750543000,0,0,14.000,6,0.000,0,0.000,0,0.000,0,0.000,0,16.000,1,16.100,6,0.000,0,0.000,0,0.000,0,0,0,
91839291000,0,0,13.750,6,0.000,0,0.000,0,0.000,0,0.000,0,15.800,6,16.000,1,0.000,0,0.000,0,0.000,0,0,0,
91851416000,0,0,13.950,6,0.000,0,0.000,0,0.000,0,0.000,0,16.000,7,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92003417000,0,0,13.950,6,0.000,0,0.000,0,0.000,0,0.000,0,16.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92132044000,0,0,14.200,6,0.000,0,0.000,0,0.000,0,0.000,0,16.300,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92446541000,0,0,14.100,6,0.000,0,0.000,0,0.000,0,0.000,0,16.200,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
