Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91346292000,0,0,88.500,6,0.000,0,0.000,0,0.000,0,0.000,0,97.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91348667000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91357668000,0,0,88.500,6,0.000,0,0.000,0,0.000,0,0.000,0,97.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91410292000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91414416000,0,0,88.500,6,0.000,0,0.000,0,0.000,0,0.000,0,97.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91507543000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91653919000,0,0,88.500,6,0.000,0,0.000,0,0.000,0,0.000,0,97.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91736419000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750667000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91845668000,0,0,88.500,6,0.000,0,0.000,0,0.000,0,0.000,0,97.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91933292000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92846791000,0,0,88.500,6,0.000,0,0.000,0,0.000,0,0.000,0,97.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92948417000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93053917000,0,0,86.500,6,0.000,0,0.000,0,0.000,0,0.000,0,95.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93057167000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93059042000,0,0,86.500,6,0.000,0,0.000,0,0.000,0,0.000,0,95.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93508542000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93511166000,0,0,86.500,6,0.000,0,0.000,0,0.000,0,0.000,0,95.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93512291000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93528168000,0,0,86.500,6,0.000,0,0.000,0,0.000,0,0.000,0,95.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93556666000,0,0,87.000,6,0.000,0,0.000,0,0.000,0,0.000,0,95.500,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93602291000,0,0,86.500,6,0.000,0,0.000,0,0.000,0,0.000,0,95.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93754291000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93759291000,0,0,87.000,6,0.000,0,0.000,0,0.000,0,0.000,0,95.500,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93844042000,0,0,88.500,6,0.000,0,0.000,0,0.000,0,0.000,0,97.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93849666000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93934041000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93934541000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93935041000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93935542000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93952791000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93953166000,0,0,87.500,6,0.000,0,0.000,0,0.000,0,0.000,0,96.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
