Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91349166000,0,0,2.890,6,0.000,0,0.000,0,0.000,0,0.000,0,3.170,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91730666000,0,0,2.840,6,0.000,0,0.000,0,0.000,0,0.000,0,3.120,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91736419000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750543000,0,0,2.890,6,0.000,0,0.000,0,0.000,0,0.000,0,3.170,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91801041000,0,0,2.930,6,0.000,0,0.000,0,0.000,0,0.000,0,3.220,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91814541000,0,0,2.890,6,0.000,0,0.000,0,0.000,0,0.000,0,3.170,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91855167000,0,0,2.930,6,0.000,0,0.000,0,0.000,0,0.000,0,3.220,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91914416000,0,0,2.890,6,0.000,0,0.000,0,0.000,0,0.000,0,3.170,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91919417000,0,0,2.960,6,0.000,0,0.000,0,0.000,0,0.000,0,3.250,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91938166000,0,0,2.910,6,0.000,0,0.000,0,0.000,0,0.000,0,3.200,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91945166000,0,0,2.860,6,0.000,0,0.000,0,0.000,0,0.000,0,3.140,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92101042000,0,0,2.910,6,0.000,0,0.000,0,0.000,0,0.000,0,3.200,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92234166000,0,0,2.960,6,0.000,0,0.000,0,0.000,0,0.000,0,3.250,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92236416000,0,0,2.910,6,0.000,0,0.000,0,0.000,0,0.000,0,3.200,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92325041000,0,0,2.860,6,0.000,0,0.000,0,0.000,0,0.000,0,3.140,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
