Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
92309667000,0,0,0.090,6,0.000,0,0.000,0,0.000,0,0.000,0,0.210,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92346542000,0,0,0.080,6,0.000,0,0.000,0,0.000,0,0.000,0,0.200,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92634667000,0,0,0.070,6,0.000,0,0.000,0,0.000,0,0.000,0,0.190,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93318166000,0,0,0.110,5,0.070,6,0.000,0,0.000,0,0.000,0,0.180,5,0.190,6,0.000,0,0.000,0,0.000,0,0,0,
93319291000,0,0,0.110,5,0.090,5,0.070,6,0.000,0,0.000,0,0.180,5,0.190,6,0.210,5,0.000,0,0.000,0,0,0,
93339416000,0,0,0.110,5,0.070,6,0.000,0,0.000,0,0.000,0,0.180,5,0.190,6,0.000,0,0.000,0,0.000,0,0,0,
93340041000,0,0,0.110,5,0.090,5,0.070,6,0.000,0,0.000,0,0.180,5,0.190,6,0.210,5,0.000,0,0.000,0,0,0,
93400041000,0,0,0.110,5,0.070,6,0.000,0,0.000,0,0.000,0,0.180,5,0.190,6,0.000,0,0.000,0,0.000,0,0,0,
93400541000,0,0,0.110,5,0.090,5,0.070,6,0.000,0,0.000,0,0.180,5,0.190,6,0.210,5,0.000,0,0.000,0,0,0,
93406541000,0,0,0.110,5,0.090,5,0.080,6,0.000,0,0.000,0,0.180,5,0.200,6,0.210,5,0.000,0,0.000,0,0,0,
93420666000,0,0,0.110,5,0.080,6,0.000,0,0.000,0,0.000,0,0.180,5,0.200,6,0.000,0,0.000,0,0.000,0,0,0,
93423166000,0,0,0.110,5,0.090,5,0.070,6,0.000,0,0.000,0,0.180,5,0.190,6,0.210,5,0.000,0,0.000,0,0,0,
93443291000,0,0,0.110,5,0.070,6,0.000,0,0.000,0,0.000,0,0.180,5,0.190,6,0.000,0,0.000,0,0.000,0,0,0,
93443791000,0,0,0.110,5,0.090,5,0.070,6,0.000,0,0.000,0,0.180,5,0.190,6,0.210,5,0.000,0,0.000,0,0,0,
93503916000,0,0,0.110,5,0.090,5,0.070,6,0.000,0,0.000,0,0.180,5,0.190,6,0.210,5,0.000,0,0.000,0,0,0,
93523916000,0,0,0.110,5,0.070,6,0.000,0,0.000,0,0.000,0,0.180,5,0.190,6,0.000,0,0.000,0,0.000,0,0,0,
93524291000,0,0,0.110,5,0.090,5,0.070,6,0.000,0,0.000,0,0.180,5,0.190,6,0.210,5,0.000,0,0.000,0,0,0,
93527791000,0,0,0.120,5,0.090,5,0.070,6,0.000,0,0.000,0,0.190,11,0.210,5,0.000,0,0.000,0,0.000,0,0,0,
93527917000,0,0,0.120,5,0.100,5,0.070,6,0.000,0,0.000,0,0.190,11,0.220,5,0.000,0,0.000,0,0.000,0,0,0,
93545916000,0,0,0.120,5,0.100,5,0.080,6,0.000,0,0.000,0,0.190,5,0.200,6,0.220,5,0.000,0,0.000,0,0,0,
93547917000,0,0,0.120,5,0.080,6,0.000,0,0.000,0,0.000,0,0.190,5,0.200,6,0.000,0,0.000,0,0.000,0,0,0,
93548166000,0,0,0.120,5,0.100,5,0.080,6,0.000,0,0.000,0,0.190,5,0.200,6,0.220,5,0.000,0,0.000,0,0,0,
93608166000,0,0,0.120,5,0.080,6,0.000,0,0.000,0,0.000,0,0.190,5,0.200,6,0.000,0,0.000,0,0.000,0,0,0,
93608791000,0,0,0.120,5,0.100,5,0.080,6,0.000,0,0.000,0,0.190,5,0.200,6,0.220,5,0.000,0,0.000,0,0,0,
93628791000,0,0,0.120,5,0.080,6,0.000,0,0.000,0,0.000,0,0.190,5,0.200,6,0.000,0,0.000,0,0.000,0,0,0,
93628916000,0,0,0.120,5,0.100,5,0.080,6,0.000,0,0.000,0,0.190,5,0.200,6,0.220,5,0.000,0,0.000,0,0,0,
93648916000,0,0,0.120,5,0.080,6,0.000,0,0.000,0,0.000,0,0.190,5,0.200,6,0.000,0,0.000,0,0.000,0,0,0,
93649541000,0,0,0.120,5,0.100,5,0.080,6,0.000,0,0.000,0,0.190,5,0.200,6,0.220,5,0.000,0,0.000,0,0,0,
93709668000,0,0,0.120,5,0.100,5,0.080,6,0.000,0,0.000,0,0.190,5,0.200,6,0.220,5,0.000,0,0.000,0,0,0,
93729791000,0,0,0.120,5,0.080,6,0.000,0,0.000,0,0.000,0,0.190,5,0.200,6,0.000,0,0.000,0,0.000,0,0,0,
93730416000,0,0,0.120,5,0.100,5,0.080,6,0.000,0,0.000,0,0.190,5,0.200,6,0.220,5,0.000,0,0.000,0,0,0,
