Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95357371000,0,0,10.250,6,0,0,0,0,0,0,0,0,11.750,6,0,0,0,0,0,0,0,0,0,0,
100517031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102501483000,0,0,9.900,6,0,0,0,0,0,0,0,0,11.350,6,0,0,0,0,0,0,0,0,0,0,
103534176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103534176000,0,0,10.150,6,0,0,0,0,0,0,0,0,11.650,6,0,0,0,0,0,0,0,0,0,0,
104432932000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104432932000,0,0,10.450,6,0,0,0,0,0,0,0,0,12.000,6,0,0,0,0,0,0,0,0,0,0,
104841383000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104843869000,0,0,10.500,6,0,0,0,0,0,0,0,0,12.050,6,0,0,0,0,0,0,0,0,0,0,
105003500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105005388000,0,0,10.500,6,0,0,0,0,0,0,0,0,12.050,6,0,0,0,0,0,0,0,0,0,0,
114449967000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114449967000,0,0,10.200,6,0,0,0,0,0,0,0,0,11.700,6,0,0,0,0,0,0,0,0,0,0,
114920778000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114920778000,0,0,10.500,6,0,0,0,0,0,0,0,0,12.050,6,0,0,0,0,0,0,0,0,0,0,
