Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95220666000,0,0,2.130,5,0.000,0,0.000,0,0.000,0,0.000,0,2.440,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95316669000,0,0,2.100,5,0.000,0,0.000,0,0.000,0,0.000,0,2.410,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95328667000,0,0,2.130,5,0.000,0,0.000,0,0.000,0,0.000,0,2.440,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95353541000,0,0,2.100,5,0.000,0,0.000,0,0.000,0,0.000,0,2.410,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95353792000,0,0,2.130,5,0.000,0,0.000,0,0.000,0,0.000,0,2.440,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95357292000,0,0,2.100,5,0.000,0,0.000,0,0.000,0,0.000,0,2.410,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95506667000,0,0,2.080,5,0.000,0,0.000,0,0.000,0,0.000,0,2.390,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95800166000,0,0,2.100,5,0.000,0,0.000,0,0.000,0,0.000,0,2.410,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95803792000,0,0,2.080,5,0.000,0,0.000,0,0.000,0,0.000,0,2.390,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95833292000,0,0,2.100,5,0.000,0,0.000,0,0.000,0,0.000,0,2.410,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100201417000,0,0,2.080,5,0.000,0,0.000,0,0.000,0,0.000,0,2.390,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100244166000,0,0,2.020,5,0.000,0,0.000,0,0.000,0,0.000,0,2.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100440542000,0,0,2.060,5,0.000,0,0.000,0,0.000,0,0.000,0,2.360,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100809666000,0,0,2.040,5,0.000,0,0.000,0,0.000,0,0.000,0,2.340,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100810041000,0,0,2.060,5,0.000,0,0.000,0,0.000,0,0.000,0,2.360,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100923166000,0,0,2.040,5,0.000,0,0.000,0,0.000,0,0.000,0,2.340,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100929668000,0,0,2.020,5,0.000,0,0.000,0,0.000,0,0.000,0,2.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
