Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90459168000,0,0,0.910,5,0.000,0,0.000,0,0.000,0,0.000,0,1.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90501791000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90527793000,0,0,0.900,5,0.000,0,0.000,0,0.000,0,0.000,0,1.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90538291000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90552791000,0,0,0.930,5,0.000,0,0.000,0,0.000,0,0.000,0,1.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90553166000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90644291000,0,0,0.940,5,0.000,0,0.000,0,0.000,0,0.000,0,1.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90651541000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90706916000,0,0,0.940,5,0.000,0,0.000,0,0.000,0,0.000,0,1.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90709666000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90744166000,0,0,0.950,5,0.000,0,0.000,0,0.000,0,0.000,0,1.070,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90749791000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91028916000,0,0,0.920,5,0.000,0,0.000,0,0.000,0,0.000,0,1.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91036792000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91039666000,0,0,0.920,5,0.000,0,0.000,0,0.000,0,0.000,0,1.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91122916000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91150542000,0,0,0.900,5,0.000,0,0.000,0,0.000,0,0.000,0,1.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91157416000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91219416000,0,0,0.920,5,0.000,0,0.000,0,0.000,0,0.000,0,1.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91243419000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91356041000,0,0,1.010,6,0.000,0,0.000,0,0.000,0,0.000,0,1.160,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91359916000,0,0,1.010,6,0.940,5,0.000,0,0.000,0,0.000,0,1.060,5,1.160,6,0.000,0,0.000,0,0.000,0,0,0,
91400042000,0,0,1.010,6,0.990,5,0.940,5,0.000,0,0.000,0,1.060,5,1.090,5,1.160,6,0.000,0,0.000,0,0,0,
91414918000,0,0,1.010,6,0.990,5,0.000,0,0.000,0,0.000,0,1.090,5,1.160,6,0.000,0,0.000,0,0.000,0,0,0,
91415168000,0,0,1.010,6,0.000,0,0.000,0,0.000,0,0.000,0,1.160,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91420916000,0,0,1.010,6,0.930,5,0.000,0,0.000,0,0.000,0,1.050,5,1.160,6,0.000,0,0.000,0,0.000,0,0,0,
91422043000,0,0,1.010,6,0.980,5,0.930,5,0.000,0,0.000,0,1.050,5,1.080,5,1.160,6,0.000,0,0.000,0,0,0,
91428416000,0,0,1.000,6,0.980,5,0.930,5,0.000,0,0.000,0,1.050,5,1.080,5,1.150,6,0.000,0,0.000,0,0,0,
91430793000,0,0,1.000,6,0.980,5,0.000,0,0.000,0,0.000,0,1.080,5,1.150,6,0.000,0,0.000,0,0.000,0,0,0,
91431166000,0,0,1.000,6,0.000,0,0.000,0,0.000,0,0.000,0,1.150,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91456418000,0,0,1.000,6,0.930,5,0.000,0,0.000,0,0.000,0,1.050,5,1.150,6,0.000,0,0.000,0,0.000,0,0,0,
91456667000,0,0,1.000,6,0.980,5,0.000,0,0.000,0,0.000,0,1.080,5,1.150,6,0.000,0,0.000,0,0.000,0,0,0,
91456792000,0,0,1.000,6,0.000,0,0.000,0,0.000,0,0.000,0,1.150,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91500291000,0,0,0.990,6,0.000,0,0.000,0,0.000,0,0.000,0,1.130,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91503667000,0,0,0.990,6,0.930,5,0.000,0,0.000,0,0.000,0,1.050,5,1.130,6,0.000,0,0.000,0,0.000,0,0,0,
91503916000,0,0,0.990,6,0.970,5,0.930,5,0.000,0,0.000,0,1.050,5,1.070,5,1.130,6,0.000,0,0.000,0,0,0,
91523916000,0,0,0.990,6,0.930,5,0.000,0,0.000,0,0.000,0,1.050,5,1.130,6,0.000,0,0.000,0,0.000,0,0,0,
91524416000,0,0,0.990,6,0.970,5,0.930,5,0.000,0,0.000,0,1.050,5,1.070,5,1.130,6,0.000,0,0.000,0,0,0,
91539666000,0,0,1.000,6,0.970,5,0.930,5,0.000,0,0.000,0,1.050,5,1.070,5,1.150,6,0.000,0,0.000,0,0,0,
91539791000,0,0,1.000,6,0.980,5,0.930,5,0.000,0,0.000,0,1.050,5,1.080,5,1.150,6,0.000,0,0.000,0,0,0,
91549416000,0,0,1.000,6,0.980,5,0.000,0,0.000,0,0.000,0,1.080,5,1.150,6,0.000,0,0.000,0,0.000,0,0,0,
91550041000,0,0,1.000,6,0.000,0,0.000,0,0.000,0,0.000,0,1.150,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91557792000,0,0,1.020,6,0.000,0,0.000,0,0.000,0,0.000,0,1.170,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91614916000,0,0,1.020,6,0.950,5,0.000,0,0.000,0,0.000,0,1.060,5,1.170,6,0.000,0,0.000,0,0.000,0,0,0,
91615166000,0,0,1.020,6,0.990,5,0.950,5,0.000,0,0.000,0,1.060,5,1.090,5,1.170,6,0.000,0,0.000,0,0,0,
91635166000,0,0,1.020,6,0.990,5,0.950,5,0.000,0,0.000,0,1.060,5,1.090,5,1.170,6,0.000,0,0.000,0,0,0,
91655292000,0,0,1.020,6,0.950,5,0.000,0,0.000,0,0.000,0,1.060,5,1.170,6,0.000,0,0.000,0,0.000,0,0,0,
91655542000,0,0,1.020,6,0.990,5,0.950,5,0.000,0,0.000,0,1.060,5,1.090,5,1.170,6,0.000,0,0.000,0,0,0,
91705667000,0,0,1.020,6,0.990,5,0.000,0,0.000,0,0.000,0,1.090,5,1.170,6,0.000,0,0.000,0,0.000,0,0,0,
91705792000,0,0,1.020,6,0.000,0,0.000,0,0.000,0,0.000,0,1.170,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91723291000,0,0,1.020,6,0.970,5,0.000,0,0.000,0,0.000,0,1.090,5,1.170,6,0.000,0,0.000,0,0.000,0,0,0,
91723416000,0,0,1.020,6,1.010,5,0.970,5,0.000,0,0.000,0,1.090,5,1.110,5,1.170,6,0.000,0,0.000,0,0,0,
91736418000,0,0,1.010,5,0.970,5,0.000,0,0.000,0,0.000,0,1.090,5,1.110,5,0.000,0,0.000,0,0.000,0,0,0,
91737043000,0,0,0.970,5,0.000,0,0.000,0,0.000,0,0.000,0,1.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91738917000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750543000,0,0,1.030,6,0.000,0,0.000,0,0.000,0,0.000,0,1.180,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91810416000,0,0,1.050,6,0.000,0,0.000,0,0.000,0,0.000,0,1.200,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91836166000,0,0,1.070,6,0.000,0,0.000,0,0.000,0,0.000,0,1.230,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91839916000,0,0,1.090,6,0.000,0,0.000,0,0.000,0,0.000,0,1.250,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91848916000,0,0,1.090,6,1.010,5,0.000,0,0.000,0,0.000,0,1.140,5,1.250,6,0.000,0,0.000,0,0.000,0,0,0,
91849416000,0,0,1.090,6,1.070,5,1.010,5,0.000,0,0.000,0,1.140,5,1.170,5,1.250,6,0.000,0,0.000,0,0,0,
91909416000,0,0,1.090,6,1.070,5,1.010,5,0.000,0,0.000,0,1.140,5,1.170,5,1.250,6,0.000,0,0.000,0,0,0,
91929541000,0,0,1.090,6,1.010,5,0.000,0,0.000,0,0.000,0,1.140,5,1.250,6,0.000,0,0.000,0,0.000,0,0,0,
91930291000,0,0,1.090,6,1.070,5,1.010,5,0.000,0,0.000,0,1.140,5,1.170,5,1.250,6,0.000,0,0.000,0,0,0,
91936291000,0,0,1.090,6,1.070,5,1.040,5,0.000,0,0.000,0,1.150,5,1.170,5,1.250,6,0.000,0,0.000,0,0,0,
91950417000,0,0,1.090,6,1.070,5,1.040,5,0.000,0,0.000,0,1.150,5,1.170,5,1.250,6,0.000,0,0.000,0,0,0,
