Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90438666000,0,0,0.790,5,0.000,0,0.000,0,0.000,0,0.000,0,0.910,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90517044000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90518791000,0,0,0.800,5,0.000,0,0.000,0,0.000,0,0.000,0,0.910,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90543791000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90559791000,0,0,0.780,5,0.000,0,0.000,0,0.000,0,0.000,0,0.880,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90606917000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90620916000,0,0,0.760,5,0.000,0,0.000,0,0.000,0,0.000,0,0.870,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90623416000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90637291000,0,0,0.760,5,0.000,0,0.000,0,0.000,0,0.000,0,0.870,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90709666000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90744166000,0,0,0.750,5,0.000,0,0.000,0,0.000,0,0.000,0,0.860,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90753291000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90805041000,0,0,0.760,5,0.000,0,0.000,0,0.000,0,0.000,0,0.880,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90808541000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90814041000,0,0,0.740,5,0.000,0,0.000,0,0.000,0,0.000,0,0.860,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90815541000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90835041000,0,0,0.740,5,0.000,0,0.000,0,0.000,0,0.000,0,0.860,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90839916000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90851041000,0,0,0.730,5,0.000,0,0.000,0,0.000,0,0.000,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90852666000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90859666000,0,0,0.730,5,0.000,0,0.000,0,0.000,0,0.000,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90904417000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90917416000,0,0,0.730,5,0.000,0,0.000,0,0.000,0,0.000,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90921917000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90941041000,0,0,0.760,5,0.000,0,0.000,0,0.000,0,0.000,0,0.880,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90944916000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90948044000,0,0,0.760,5,0.000,0,0.000,0,0.000,0,0.000,0,0.880,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90948166000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90956167000,0,0,0.770,5,0.000,0,0.000,0,0.000,0,0.000,0,0.880,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91016416000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91021667000,0,0,0.770,5,0.000,0,0.000,0,0.000,0,0.000,0,0.890,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91124542000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91146666000,0,0,0.790,5,0.000,0,0.000,0,0.000,0,0.000,0,0.900,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91157416000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91219416000,0,0,0.780,5,0.000,0,0.000,0,0.000,0,0.000,0,0.890,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91249917000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91256916000,0,0,0.760,5,0.000,0,0.000,0,0.000,0,0.000,0,0.880,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91303418000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91309042000,0,0,0.750,5,0.000,0,0.000,0,0.000,0,0.000,0,0.870,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91309292000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91319542000,0,0,0.750,5,0.000,0,0.000,0,0.000,0,0.000,0,0.870,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91320542000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91322042000,0,0,0.750,5,0.000,0,0.000,0,0.000,0,0.000,0,0.870,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91356041000,0,0,0.810,6,0.750,5,0.000,0,0.000,0,0.000,0,0.870,5,0.930,6,0.000,0,0.000,0,0.000,0,0,0,
91357918000,0,0,0.810,6,0.790,5,0.750,5,0.000,0,0.000,0,0.870,5,0.890,5,0.930,6,0.000,0,0.000,0,0,0,
91417916000,0,0,0.810,6,0.750,5,0.000,0,0.000,0,0.000,0,0.870,5,0.930,6,0.000,0,0.000,0,0.000,0,0,0,
91419416000,0,0,0.810,6,0.790,5,0.750,5,0.000,0,0.000,0,0.870,5,0.890,5,0.930,6,0.000,0,0.000,0,0,0,
91439416000,0,0,0.810,6,0.750,5,0.000,0,0.000,0,0.000,0,0.870,5,0.930,6,0.000,0,0.000,0,0.000,0,0,0,
91439541000,0,0,0.810,6,0.790,5,0.750,5,0.000,0,0.000,0,0.870,5,0.890,5,0.930,6,0.000,0,0.000,0,0,0,
91459541000,0,0,0.810,6,0.750,5,0.000,0,0.000,0,0.000,0,0.870,5,0.930,6,0.000,0,0.000,0,0.000,0,0,0,
91500043000,0,0,0.810,6,0.790,5,0.750,5,0.000,0,0.000,0,0.870,5,0.890,5,0.930,6,0.000,0,0.000,0,0,0,
91500291000,0,0,0.820,6,0.790,5,0.750,5,0.000,0,0.000,0,0.870,5,0.890,5,0.940,6,0.000,0,0.000,0,0,0,
91500668000,0,0,0.820,6,0.800,5,0.750,5,0.000,0,0.000,0,0.870,5,0.900,5,0.940,6,0.000,0,0.000,0,0,0,
91520666000,0,0,0.820,6,0.750,5,0.000,0,0.000,0,0.000,0,0.870,5,0.940,6,0.000,0,0.000,0,0.000,0,0,0,
91521045000,0,0,0.820,6,0.800,5,0.750,5,0.000,0,0.000,0,0.870,5,0.900,5,0.940,6,0.000,0,0.000,0,0,0,
91539667000,0,0,0.810,6,0.800,5,0.750,5,0.000,0,0.000,0,0.870,5,0.900,5,0.930,6,0.000,0,0.000,0,0,0,
91539791000,0,0,0.810,6,0.790,5,0.750,5,0.000,0,0.000,0,0.870,5,0.890,5,0.930,6,0.000,0,0.000,0,0,0,
91551166000,0,0,0.810,6,0.790,5,0.000,0,0.000,0,0.000,0,0.890,5,0.930,6,0.000,0,0.000,0,0.000,0,0,0,
91551791000,0,0,0.810,6,0.000,0,0.000,0,0.000,0,0.000,0,0.930,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91557792000,0,0,0.800,6,0.000,0,0.000,0,0.000,0,0.000,0,0.920,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91605166000,0,0,0.800,6,0.750,5,0.000,0,0.000,0,0.000,0,0.860,5,0.920,6,0.000,0,0.000,0,0.000,0,0,0,
91605291000,0,0,0.800,6,0.780,5,0.750,5,0.000,0,0.000,0,0.860,5,0.880,5,0.920,6,0.000,0,0.000,0,0,0,
91625416000,0,0,0.800,6,0.750,5,0.000,0,0.000,0,0.000,0,0.860,5,0.920,6,0.000,0,0.000,0,0.000,0,0,0,
91625542000,0,0,0.800,6,0.780,5,0.750,5,0.000,0,0.000,0,0.860,5,0.880,5,0.920,6,0.000,0,0.000,0,0,0,
91645541000,0,0,0.800,6,0.750,5,0.000,0,0.000,0,0.000,0,0.860,5,0.920,6,0.000,0,0.000,0,0.000,0,0,0,
91645666000,0,0,0.800,6,0.780,5,0.750,5,0.000,0,0.000,0,0.860,5,0.880,5,0.920,6,0.000,0,0.000,0,0,0,
91705792000,0,0,0.800,6,0.780,5,0.750,5,0.000,0,0.000,0,0.860,5,0.880,5,0.920,6,0.000,0,0.000,0,0,0,
91711291000,0,0,0.800,6,0.780,5,0.000,0,0.000,0,0.000,0,0.880,5,0.920,6,0.000,0,0.000,0,0.000,0,0,0,
91711917000,0,0,0.800,6,0.000,0,0.000,0,0.000,0,0.000,0,0.920,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91723292000,0,0,0.800,6,0.740,5,0.000,0,0.000,0,0.000,0,0.850,5,0.920,6,0.000,0,0.000,0,0.000,0,0,0,
91723416000,0,0,0.800,6,0.780,5,0.740,5,0.000,0,0.000,0,0.850,5,0.880,5,0.920,6,0.000,0,0.000,0,0,0,
91736419000,0,0,0.780,5,0.740,5,0.000,0,0.000,0,0.000,0,0.850,5,0.880,5,0.000,0,0.000,0,0.000,0,0,0,
91737044000,0,0,0.740,5,0.000,0,0.000,0,0.000,0,0.000,0,0.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91741792000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750667000,0,0,0.790,6,0.000,0,0.000,0,0.000,0,0.000,0,0.910,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
