Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91355291000,0,0,0.020,6,0.000,0,0.000,0,0.000,0,0.000,0,0.120,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91537541000,0.020,1,0.020,6,0.000,0,0.000,0,0.000,0,0.000,0,0.120,6,0.000,0,0.000,0,0.000,0,0.000,0,1,1,91537536000
91537542000,0.020,1,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.120,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91736419000,0.020,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91750667000,0.020,1,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.110,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91751291000,0.020,1,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.110,11,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91811416000,0.020,1,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.110,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91811541000,0.020,1,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.110,11,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91831666000,0.020,1,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.110,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91832417000,0.020,1,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.110,11,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91852542000,0.020,1,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.110,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91852666000,0.020,1,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.110,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91853291000,0.020,1,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.110,11,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91913291000,0.020,1,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.110,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91913666000,0.020,1,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.110,11,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91933666000,0.020,1,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.110,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91933919000,0.020,1,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.110,11,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91953917000,0.020,1,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.110,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
91954416000,0.020,1,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.110,11,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
92014416000,0.020,1,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.110,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
92014666000,0.020,1,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.110,11,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
92034791000,0.020,1,0.010,6,0.000,0,0.000,0,0.000,0,0.000,0,0.110,6,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
92035541000,0.020,1,0.010,11,0.000,0,0.000,0,0.000,0,0.000,0,0.110,11,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
92052791000,0.020,1,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
92052916000,0.020,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
111704291000,0.020,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
111704916000,0.020,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.030,10,0.000,0,0.000,0,0.000,0,0.000,0,0,1,
111709291000,0.020,1,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.030,10,0.110,5,0.000,0,0.000,0,0.000,0,0,1,
111716041000,0.010,5,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.030,10,0.110,5,0.000,0,0.000,0,0.000,0,1,6,111715966000
111716041000,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.010,16,0.030,10,0.110,5,0.000,0,0.000,0,0,6,
111720166000,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.010,37,0.030,10,0.110,5,0.000,0,0.000,0,0,6,
111724291000,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.010,37,0.030,5,0.110,5,0.000,0,0.000,0,0,6,
111725666000,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.010,37,0.110,5,0.000,0,0.000,0,0.000,0,0,6,
111734916000,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.010,37,0.000,0,0.000,0,0.000,0,0.000,0,0,6,
112714791000,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.010,16,0.000,0,0.000,0,0.000,0,0.000,0,0,6,
112714916000,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,6,
112859416000,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.010,21,0.000,0,0.000,0,0.000,0,0.000,0,0,6,
