Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95248291000,0,0,0.170,5,0.000,0,0.000,0,0.000,0,0.000,0,0.990,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95249916000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95257043000,0,0,0.170,5,0.000,0,0.000,0,0.000,0,0.000,0,0.990,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95345542000,0,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0.940,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95346043000,0,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0.270,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95359542000,0,0,0.170,5,0.000,0,0.000,0,0.000,0,0.000,0,0.290,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95505043000,0,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0.310,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95505417000,0,0,0.170,5,0.000,0,0.000,0,0.000,0,0.000,0,0.290,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95507792000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95624541000,0,0,0.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0.330,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95633792000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95703168000,0,0,0.250,5,0.000,0,0.000,0,0.000,0,0.000,0,1.080,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95705793000,0,0,0.250,5,0.000,0,0.000,0,0.000,0,0.000,0,1.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95720417000,0,0,0.250,5,0.000,0,0.000,0,0.000,0,0.000,0,1.080,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95744291000,0,0,0.250,5,0.000,0,0.000,0,0.000,0,0.000,0,1.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95758292000,0,0,0.250,5,0.000,0,0.000,0,0.000,0,0.000,0,1.080,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95759291000,0,0,0.250,5,0.000,0,0.000,0,0.000,0,0.000,0,1.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95802291000,0,0,0.220,5,0.000,0,0.000,0,0.000,0,0.000,0,0.340,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95823167000,0,0,0.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0.330,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101257166000,0,0,0.250,5,0.000,0,0.000,0,0.000,0,0.000,0,1.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101301668000,0,0,0.250,5,0.000,0,0.000,0,0.000,0,0.000,0,1.080,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101403416000,0,0,0.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0.330,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101517542000,0,0,0.220,5,0.000,0,0.000,0,0.000,0,0.000,0,0.340,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101518292000,0,0,0.240,5,0.000,0,0.000,0,0.000,0,0.000,0,0.360,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101522916000,0,0,0.220,5,0.000,0,0.000,0,0.000,0,0.000,0,0.340,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102553418000,0,0,0.280,5,0.000,0,0.000,0,0.000,0,0.000,0,1.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102558416000,0,0,0.280,5,0.000,0,0.000,0,0.000,0,0.000,0,1.080,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
