Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95258416000,0,0,1.160,5,0.000,0,0.000,0,0.000,0,0.000,0,2.260,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95346043000,0,0,2.010,5,0.000,0,0.000,0,0.000,0,0.000,0,2.310,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95359542000,0,0,1.970,5,0.000,0,0.000,0,0.000,0,0.000,0,2.260,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95505043000,0,0,1.950,5,0.000,0,0.000,0,0.000,0,0.000,0,2.240,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95505417000,0,0,1.970,5,0.000,0,0.000,0,0.000,0,0.000,0,2.260,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95507792000,0,0,1.930,5,0.000,0,0.000,0,0.000,0,0.000,0,2.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95624542000,0,0,1.900,5,0.000,0,0.000,0,0.000,0,0.000,0,2.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95633792000,0,0,1.930,5,0.000,0,0.000,0,0.000,0,0.000,0,2.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95703168000,0,0,1.080,5,0.000,0,0.000,0,0.000,0,0.000,0,2.070,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95802291000,0,0,1.880,5,0.000,0,0.000,0,0.000,0,0.000,0,2.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95823167000,0,0,1.900,5,0.000,0,0.000,0,0.000,0,0.000,0,2.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101257541000,0,0,1.050,5,0.000,0,0.000,0,0.000,0,0.000,0,2.070,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101403791000,0,0,1.900,5,0.000,0,0.000,0,0.000,0,0.000,0,2.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101517542000,0,0,1.880,5,0.000,0,0.000,0,0.000,0,0.000,0,2.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101518292000,0,0,1.860,5,0.000,0,0.000,0,0.000,0,0.000,0,2.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101522916000,0,0,1.880,5,0.000,0,0.000,0,0.000,0,0.000,0,2.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102553418000,0,0,1.040,5,0.000,0,0.000,0,0.000,0,0.000,0,2.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102652291000,0,0,1.840,5,0.000,0,0.000,0,0.000,0,0.000,0,2.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102736666000,0,0,1.860,5,0.000,0,0.000,0,0.000,0,0.000,0,2.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103450417000,0,0,1.840,5,0.000,0,0.000,0,0.000,0,0.000,0,2.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103450917000,0,0,1.010,5,0.000,0,0.000,0,0.000,0,0.000,0,2.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103550291000,0,0,1.810,5,0.000,0,0.000,0,0.000,0,0.000,0,2.080,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103601416000,0,0,1.840,5,0.000,0,0.000,0,0.000,0,0.000,0,2.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103604041000,0,0,1.810,5,0.000,0,0.000,0,0.000,0,0.000,0,2.080,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103604416000,0,0,1.840,5,0.000,0,0.000,0,0.000,0,0.000,0,2.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103606916000,0,0,1.810,5,0.000,0,0.000,0,0.000,0,0.000,0,2.080,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103612916000,0,0,1.840,5,0.000,0,0.000,0,0.000,0,0.000,0,2.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
