Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
93056416000,0,0,2.390,6,0.000,0,0.000,0,0.000,0,0.000,0,2.740,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93127791000,0,0,2.340,6,0.000,0,0.000,0,0.000,0,0.000,0,2.690,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93135666000,0,0,2.390,6,0.000,0,0.000,0,0.000,0,0.000,0,2.740,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93136167000,0,0,2.340,6,0.000,0,0.000,0,0.000,0,0.000,0,2.690,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93317292000,0,0,2.350,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.700,5,0.000,0,0.000,0,0.000,0,0,0,
93325292000,0,0,2.360,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.710,5,0.000,0,0.000,0,0.000,0,0,0,
93325417000,0,0,2.360,5,2.350,5,2.340,6,0.000,0,0.000,0,2.690,6,2.700,5,2.710,5,0.000,0,0.000,0,0,0,
93345416000,0,0,2.360,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.710,5,0.000,0,0.000,0,0.000,0,0,0,
93345541000,0,0,2.360,5,2.350,5,2.340,6,0.000,0,0.000,0,2.690,6,2.700,5,2.710,5,0.000,0,0.000,0,0,0,
93405541000,0,0,2.360,5,2.350,5,2.340,6,0.000,0,0.000,0,2.690,6,2.700,5,2.710,5,0.000,0,0.000,0,0,0,
93414666000,0,0,2.390,6,2.360,5,2.350,5,0.000,0,0.000,0,2.700,5,2.710,5,2.740,6,0.000,0,0.000,0,0,0,
93414791000,0,0,2.390,6,2.360,5,0.000,0,0.000,0,0.000,0,2.710,5,2.740,6,0.000,0,0.000,0,0.000,0,0,0,
93414916000,0,0,2.390,6,2.380,5,2.360,5,0.000,0,0.000,0,2.710,5,2.730,5,2.740,6,0.000,0,0.000,0,0,0,
93420416000,0,0,2.380,5,2.360,5,2.340,6,0.000,0,0.000,0,2.690,6,2.710,5,2.730,5,0.000,0,0.000,0,0,0,
93420666000,0,0,2.360,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.710,5,0.000,0,0.000,0,0.000,0,0,0,
93423167000,0,0,2.360,5,2.350,5,2.340,6,0.000,0,0.000,0,2.690,6,2.700,5,2.710,5,0.000,0,0.000,0,0,0,
93437291000,0,0,2.370,5,2.350,5,2.340,6,0.000,0,0.000,0,2.690,6,2.700,5,2.720,5,0.000,0,0.000,0,0,0,
93437416000,0,0,2.370,5,2.360,5,2.340,6,0.000,0,0.000,0,2.690,6,2.710,5,2.720,5,0.000,0,0.000,0,0,0,
93457416000,0,0,2.370,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.720,5,0.000,0,0.000,0,0.000,0,0,0,
93457541000,0,0,2.370,5,2.360,5,2.340,6,0.000,0,0.000,0,2.690,6,2.710,5,2.720,5,0.000,0,0.000,0,0,0,
93517542000,0,0,2.370,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.720,5,0.000,0,0.000,0,0.000,0,0,0,
93518417000,0,0,2.370,5,2.360,5,2.340,6,0.000,0,0.000,0,2.690,6,2.710,5,2.720,5,0.000,0,0.000,0,0,0,
93538416000,0,0,2.370,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.720,5,0.000,0,0.000,0,0.000,0,0,0,
93538916000,0,0,2.370,5,2.360,5,2.340,6,0.000,0,0.000,0,2.690,6,2.710,5,2.720,5,0.000,0,0.000,0,0,0,
93559041000,0,0,2.370,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.720,5,0.000,0,0.000,0,0.000,0,0,0,
93559416000,0,0,2.370,5,2.360,5,2.340,6,0.000,0,0.000,0,2.690,6,2.710,5,2.720,5,0.000,0,0.000,0,0,0,
93619416000,0,0,2.370,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.720,5,0.000,0,0.000,0,0.000,0,0,0,
93620291000,0,0,2.370,5,2.360,5,2.340,6,0.000,0,0.000,0,2.690,6,2.710,5,2.720,5,0.000,0,0.000,0,0,0,
93640291000,0,0,2.370,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.720,5,0.000,0,0.000,0,0.000,0,0,0,
93640541000,0,0,2.370,5,2.360,5,2.340,6,0.000,0,0.000,0,2.690,6,2.710,5,2.720,5,0.000,0,0.000,0,0,0,
93642167000,0,0,2.390,5,2.360,5,2.340,6,0.000,0,0.000,0,2.690,6,2.710,5,2.740,5,0.000,0,0.000,0,0,0,
93642292000,0,0,2.390,5,2.370,5,2.340,6,0.000,0,0.000,0,2.690,6,2.720,5,2.740,5,0.000,0,0.000,0,0,0,
93650166000,0,0,2.410,5,2.370,5,2.340,6,0.000,0,0.000,0,2.690,6,2.720,5,2.770,5,0.000,0,0.000,0,0,0,
93651291000,0,0,2.410,5,2.380,5,2.340,6,0.000,0,0.000,0,2.690,6,2.730,5,2.770,5,0.000,0,0.000,0,0,0,
93657291000,0,0,2.400,5,2.380,5,2.340,6,0.000,0,0.000,0,2.690,6,2.730,5,2.760,5,0.000,0,0.000,0,0,0,
93657668000,0,0,2.400,5,2.370,5,2.340,6,0.000,0,0.000,0,2.690,6,2.720,5,2.760,5,0.000,0,0.000,0,0,0,
93709291000,0,0,2.390,5,2.370,5,2.340,6,0.000,0,0.000,0,2.690,6,2.720,5,2.740,5,0.000,0,0.000,0,0,0,
93717666000,0,0,2.390,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.740,5,0.000,0,0.000,0,0.000,0,0,0,
93717916000,0,0,2.390,5,2.370,5,2.340,6,0.000,0,0.000,0,2.690,6,2.720,5,2.740,5,0.000,0,0.000,0,0,0,
93721291000,0,0,2.380,5,2.370,5,2.340,6,0.000,0,0.000,0,2.690,6,2.720,5,2.730,5,0.000,0,0.000,0,0,0,
93721667000,0,0,2.380,5,2.360,5,2.340,6,0.000,0,0.000,0,2.690,6,2.710,5,2.730,5,0.000,0,0.000,0,0,0,
93741793000,0,0,2.380,5,2.340,6,0.000,0,0.000,0,0.000,0,2.690,6,2.730,5,0.000,0,0.000,0,0.000,0,0,0,
