Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
85846166000,0,0,0.350,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93056416000,0,0,0.600,6,0.350,1,0.000,0,0.000,0,0.000,0,0.700,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93317292000,0,0,0.620,5,0.600,6,0.350,1,0.000,0,0.000,0,0.700,6,0.720,5,0.000,0,0.000,0,0.000,0,0,0,
93318041000,0,0,0.620,5,0.610,5,0.600,6,0.350,1,0.000,0,0.700,6,0.710,5,0.720,5,0.000,0,0.000,0,0,0,
93321291000,0,0,0.610,5,0.600,6,0.350,1,0.000,0,0.000,0,0.700,6,0.710,5,0.000,0,0.000,0,0.000,0,0,0,
93321416000,0,0,0.600,6,0.350,1,0.000,0,0.000,0,0.000,0,0.700,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93334916000,0,0,0.620,5,0.600,6,0.350,1,0.000,0,0.000,0,0.700,6,0.720,5,0.000,0,0.000,0,0.000,0,0,0,
93335416000,0,0,0.620,5,0.610,5,0.600,6,0.350,1,0.000,0,0.700,6,0.710,5,0.720,5,0.000,0,0.000,0,0,0,
93337291000,0,0,0.610,5,0.600,6,0.350,1,0.000,0,0.000,0,0.700,6,0.710,5,0.000,0,0.000,0,0.000,0,0,0,
93337541000,0,0,0.600,6,0.350,1,0.000,0,0.000,0,0.000,0,0.700,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93358916000,0,0,0.640,5,0.600,6,0.350,1,0.000,0,0.000,0,0.700,6,0.740,5,0.000,0,0.000,0,0.000,0,0,0,
93359416000,0,0,0.640,5,0.620,5,0.600,6,0.350,1,0.000,0,0.700,6,0.720,5,0.740,5,0.000,0,0.000,0,0,0,
93419541000,0,0,0.640,5,0.600,6,0.350,1,0.000,0,0.000,0,0.700,6,0.740,5,0.000,0,0.000,0,0.000,0,0,0,
93423166000,0,0,0.640,5,0.620,5,0.600,6,0.350,1,0.000,0,0.700,6,0.720,5,0.740,5,0.000,0,0.000,0,0,0,
93443291000,0,0,0.640,5,0.600,6,0.350,1,0.000,0,0.000,0,0.700,6,0.740,5,0.000,0,0.000,0,0.000,0,0,0,
93443791000,0,0,0.640,5,0.620,5,0.600,6,0.350,1,0.000,0,0.700,6,0.720,5,0.740,5,0.000,0,0.000,0,0,0,
93503916000,0,0,0.640,5,0.620,5,0.600,6,0.350,1,0.000,0,0.700,6,0.720,5,0.740,5,0.000,0,0.000,0,0,0,
93523916000,0,0,0.640,5,0.600,6,0.350,1,0.000,0,0.000,0,0.700,6,0.740,5,0.000,0,0.000,0,0.000,0,0,0,
93524291000,0,0,0.640,5,0.620,5,0.600,6,0.350,1,0.000,0,0.700,6,0.720,5,0.740,5,0.000,0,0.000,0,0,0,
93536041000,0,0,0.640,5,0.620,11,0.350,1,0.000,0,0.000,0,0.720,11,0.740,5,0.000,0,0.000,0,0.000,0,0,0,
93536167000,0,0,0.640,5,0.620,6,0.350,1,0.000,0,0.000,0,0.720,6,0.740,5,0.000,0,0.000,0,0.000,0,0,0,
93536291000,0,0,0.640,5,0.630,5,0.620,6,0.350,1,0.000,0,0.720,6,0.730,5,0.740,5,0.000,0,0.000,0,0,0,
93553291000,0,0,0.650,5,0.630,5,0.620,6,0.350,1,0.000,0,0.720,6,0.730,5,0.750,5,0.000,0,0.000,0,0,0,
93553416000,0,0,0.650,5,0.640,5,0.620,6,0.350,1,0.000,0,0.720,6,0.740,5,0.750,5,0.000,0,0.000,0,0,0,
93613416000,0,0,0.650,5,0.620,6,0.350,1,0.000,0,0.000,0,0.720,6,0.750,5,0.000,0,0.000,0,0.000,0,0,0,
93613792000,0,0,0.650,5,0.640,5,0.620,6,0.350,1,0.000,0,0.720,6,0.740,5,0.750,5,0.000,0,0.000,0,0,0,
93625291000,0,0,0.660,5,0.640,5,0.620,6,0.350,1,0.000,0,0.720,6,0.740,5,0.760,5,0.000,0,0.000,0,0,0,
93633916000,0,0,0.660,5,0.620,6,0.350,1,0.000,0,0.000,0,0.720,6,0.760,5,0.000,0,0.000,0,0.000,0,0,0,
93634166000,0,0,0.660,5,0.640,5,0.620,6,0.350,1,0.000,0,0.720,6,0.740,5,0.760,5,0.000,0,0.000,0,0,0,
93642044000,0,0,0.660,5,0.640,5,0.600,6,0.350,1,0.000,0,0.700,6,0.740,5,0.760,5,0.000,0,0.000,0,0,0,
93642167000,0,0,0.660,5,0.630,5,0.600,6,0.350,1,0.000,0,0.700,6,0.730,5,0.760,5,0.000,0,0.000,0,0,0,
93642916000,0,0,0.640,5,0.630,5,0.600,6,0.350,1,0.000,0,0.700,6,0.730,5,0.740,5,0.000,0,0.000,0,0,0,
93643041000,0,0,0.640,5,0.620,5,0.600,6,0.350,1,0.000,0,0.700,6,0.720,5,0.740,5,0.000,0,0.000,0,0,0,
93650166000,0,0,0.620,10,0.600,6,0.350,1,0.000,0,0.000,0,0.700,6,0.720,10,0.000,0,0.000,0,0.000,0,0,0,
93651291000,0,0,0.620,5,0.600,6,0.350,1,0.000,0,0.000,0,0.700,6,0.720,5,0.000,0,0.000,0,0.000,0,0,0,
93651417000,0,0,0.620,5,0.610,5,0.600,6,0.350,1,0.000,0,0.700,6,0.710,5,0.720,5,0.000,0,0.000,0,0,0,
