Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
93056416000,0,0,1.040,6,0.000,0,0.000,0,0.000,0,0.000,0,1.190,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93127791000,0,0,1.070,6,0.000,0,0.000,0,0.000,0,0.000,0,1.230,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93135666000,0,0,1.040,6,0.000,0,0.000,0,0.000,0,0.000,0,1.190,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93136167000,0,0,1.070,6,0.000,0,0.000,0,0.000,0,0.000,0,1.230,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93317292000,0,0,1.070,6,1.060,5,0.000,0,0.000,0,0.000,0,1.210,5,1.230,6,0.000,0,0.000,0,0.000,0,0,0,
93333292000,0,0,1.070,11,0.000,0,0.000,0,0.000,0,0.000,0,1.230,11,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93357291000,0,0,1.100,5,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.260,5,0.000,0,0.000,0,0.000,0,0,0,
93357666000,0,0,1.100,5,1.090,5,1.070,6,0.000,0,0.000,0,1.230,6,1.250,5,1.260,5,0.000,0,0.000,0,0,0,
93414666000,0,0,1.100,5,1.090,5,1.040,6,0.000,0,0.000,0,1.190,6,1.250,5,1.260,5,0.000,0,0.000,0,0,0,
93414791000,0,0,1.100,5,1.070,5,1.040,6,0.000,0,0.000,0,1.190,6,1.220,5,1.260,5,0.000,0,0.000,0,0,0,
93420416000,0,0,1.100,5,1.070,11,0.000,0,0.000,0,0.000,0,1.220,5,1.230,6,1.260,5,0.000,0,0.000,0,0,0,
93420666000,0,0,1.100,5,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.260,5,0.000,0,0.000,0,0.000,0,0,0,
93423167000,0,0,1.100,5,1.090,5,1.070,6,0.000,0,0.000,0,1.230,6,1.250,5,1.260,5,0.000,0,0.000,0,0,0,
93425291000,0,0,1.090,10,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.250,10,0.000,0,0.000,0,0.000,0,0,0,
93425416000,0,0,1.090,5,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.250,5,0.000,0,0.000,0,0.000,0,0,0,
93425916000,0,0,1.090,5,1.080,5,1.070,6,0.000,0,0.000,0,1.230,6,1.240,5,1.250,5,0.000,0,0.000,0,0,0,
93437291000,0,0,1.080,10,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.240,10,0.000,0,0.000,0,0.000,0,0,0,
93437416000,0,0,1.080,5,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.240,5,0.000,0,0.000,0,0.000,0,0,0,
93650166000,0,0,1.070,11,0.000,0,0.000,0,0.000,0,0.000,0,1.230,11,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93745291000,0,0,1.090,5,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.250,5,0.000,0,0.000,0,0.000,0,0,0,
93745416000,0,0,1.090,5,1.080,5,1.070,6,0.000,0,0.000,0,1.230,6,1.240,5,1.250,5,0.000,0,0.000,0,0,0,
93749916000,0,0,1.090,5,1.080,5,1.060,6,0.000,0,0.000,0,1.210,6,1.240,5,1.250,5,0.000,0,0.000,0,0,0,
93750416000,0,0,1.090,5,1.080,5,1.060,6,0.000,0,0.000,0,1.210,6,1.230,5,1.250,5,0.000,0,0.000,0,0,0,
93805666000,0,0,1.090,5,1.080,5,1.070,6,0.000,0,0.000,0,1.230,11,1.250,5,0.000,0,0.000,0,0.000,0,0,0,
93805791000,0,0,1.090,5,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.250,5,0.000,0,0.000,0,0.000,0,0,0,
93809041000,0,0,1.090,5,1.080,5,1.070,6,0.000,0,0.000,0,1.230,6,1.240,5,1.250,5,0.000,0,0.000,0,0,0,
93811667000,0,0,1.120,5,1.080,5,1.070,6,0.000,0,0.000,0,1.230,6,1.240,5,1.280,5,0.000,0,0.000,0,0,0,
93811793000,0,0,1.120,5,1.100,5,1.070,6,0.000,0,0.000,0,1.230,6,1.260,5,1.280,5,0.000,0,0.000,0,0,0,
93817293000,0,0,1.110,5,1.100,5,1.070,6,0.000,0,0.000,0,1.230,6,1.260,5,1.270,5,0.000,0,0.000,0,0,0,
93819916000,0,0,1.110,5,1.090,5,1.070,6,0.000,0,0.000,0,1.230,6,1.250,5,1.270,5,0.000,0,0.000,0,0,0,
93825291000,0,0,1.100,5,1.090,5,1.070,6,0.000,0,0.000,0,1.230,6,1.250,5,1.260,5,0.000,0,0.000,0,0,0,
93833292000,0,0,1.090,10,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.250,10,0.000,0,0.000,0,0.000,0,0,0,
93833541000,0,0,1.090,5,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.250,5,0.000,0,0.000,0,0.000,0,0,0,
93833916000,0,0,1.090,5,1.080,5,1.070,6,0.000,0,0.000,0,1.230,6,1.240,5,1.250,5,0.000,0,0.000,0,0,0,
93849291000,0,0,1.100,5,1.080,5,1.070,6,0.000,0,0.000,0,1.230,6,1.240,5,1.260,5,0.000,0,0.000,0,0,0,
93849666000,0,0,1.100,5,1.090,5,1.070,6,0.000,0,0.000,0,1.230,6,1.250,5,1.260,5,0.000,0,0.000,0,0,0,
93909791000,0,0,1.100,5,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.260,5,0.000,0,0.000,0,0.000,0,0,0,
93909916000,0,0,1.100,5,1.090,5,1.070,6,0.000,0,0.000,0,1.230,6,1.250,5,1.260,5,0.000,0,0.000,0,0,0,
93929916000,0,0,1.100,5,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.260,5,0.000,0,0.000,0,0.000,0,0,0,
93931791000,0,0,1.100,5,1.090,5,1.070,6,0.000,0,0.000,0,1.230,6,1.250,5,1.260,5,0.000,0,0.000,0,0,0,
93951916000,0,0,1.100,5,1.070,6,0.000,0,0.000,0,0.000,0,1.230,6,1.260,5,0.000,0,0.000,0,0.000,0,0,0,
