Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95359922000,0,0,0.040,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95359922000,0,0,0.040,6,0,0,0,0,0,0,0,0,0.910,6,0,0,0,0,0,0,0,0,0,0,
95604172000,0,0,0,0,0,0,0,0,0,0,0,0,0.910,6,0,0,0,0,0,0,0,0,0,0,
95604172000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95604173000,0,0,0.320,6,0,0,0,0,0,0,0,0,0.620,6,0,0,0,0,0,0,0,0,0,0,
95604173000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95604173000,0,0,0.020,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95604173000,0,0,0.020,6,0,0,0,0,0,0,0,0,0.890,6,0,0,0,0,0,0,0,0,0,0,
95618177000,0,0,0,0,0,0,0,0,0,0,0,0,0.890,6,0,0,0,0,0,0,0,0,0,0,
95618178000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95618178000,0,0,0.320,6,0,0,0,0,0,0,0,0,0.620,6,0,0,0,0,0,0,0,0,0,0,
95624040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95624041000,0,0,0.020,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95624041000,0,0,0.020,6,0,0,0,0,0,0,0,0,0.890,6,0,0,0,0,0,0,0,0,0,0,
95651770000,0,0,0,0,0,0,0,0,0,0,0,0,0.890,6,0,0,0,0,0,0,0,0,0,0,
95651770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95651771000,0,0,0.320,6,0,0,0,0,0,0,0,0,0.620,6,0,0,0,0,0,0,0,0,0,0,
95805877000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95805878000,0,0,0.040,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95805878000,0,0,0.040,6,0,0,0,0,0,0,0,0,0.910,6,0,0,0,0,0,0,0,0,0,0,
95806161000,0,0,0,0,0,0,0,0,0,0,0,0,0.910,6,0,0,0,0,0,0,0,0,0,0,
95806161000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95806161000,0,0,0.320,6,0,0,0,0,0,0,0,0,0.620,6,0,0,0,0,0,0,0,0,0,0,
95808501000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95808501000,0,0,0.020,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95808501000,0,0,0.020,6,0,0,0,0,0,0,0,0,0.890,6,0,0,0,0,0,0,0,0,0,0,
95809778000,0,0,0,0,0,0,0,0,0,0,0,0,0.890,6,0,0,0,0,0,0,0,0,0,0,
95809778000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95809778000,0,0,0.300,6,0,0,0,0,0,0,0,0,0.600,6,0,0,0,0,0,0,0,0,0,0,
95814802000,0,0,0.300,6,0.020,6,0,0,0,0,0,0,0.600,6,0,0,0,0,0,0,0,0,0,0,
95814802000,0,0,0.300,6,0.020,6,0,0,0,0,0,0,0.600,6,0.890,6,0,0,0,0,0,0,0,0,
95814802000,0,0,0.020,6,0,0,0,0,0,0,0,0,0.890,6,0,0,0,0,0,0,0,0,0,0,
95820844000,0,0,0,0,0,0,0,0,0,0,0,0,0.890,6,0,0,0,0,0,0,0,0,0,0,
95820844000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95820844000,0,0,0.290,6,0,0,0,0,0,0,0,0,0.590,6,0,0,0,0,0,0,0,0,0,0,
100133998000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100133998000,0,0,0.010,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
