Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95359396000,0,0,8.700,6,0,0,0,0,0,0,0,0,9.550,6,0,0,0,0,0,0,0,0,0,0,
95808501000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95808501000,0,0,8.900,6,0,0,0,0,0,0,0,0,9.750,6,0,0,0,0,0,0,0,0,0,0,
100208855000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100208855000,0,0,9.050,6,0,0,0,0,0,0,0,0,9.950,6,0,0,0,0,0,0,0,0,0,0,
100436811000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100436811000,0,0,8.900,6,0,0,0,0,0,0,0,0,9.750,6,0,0,0,0,0,0,0,0,0,0,
100517078000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102501523000,0,0,8.850,6,0,0,0,0,0,0,0,0,9.700,6,0,0,0,0,0,0,0,0,0,0,
103002623000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103002623000,0,0,8.650,6,0,0,0,0,0,0,0,0,9.500,6,0,0,0,0,0,0,0,0,0,0,
103843054000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103843054000,0,0,8.450,6,0,0,0,0,0,0,0,0,9.250,6,0,0,0,0,0,0,0,0,0,0,
104841383000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104843862000,0,0,8.450,6,0,0,0,0,0,0,0,0,9.250,6,0,0,0,0,0,0,0,0,0,0,
105003511000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105005427000,0,0,8.350,6,0,0,0,0,0,0,0,0,9.150,6,0,0,0,0,0,0,0,0,0,0,
112150237000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112150237000,0,0,8.200,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112150237000,0,0,8.200,6,0,0,0,0,0,0,0,0,9.350,6,0,0,0,0,0,0,0,0,0,0,
112150269000,0,0,0,0,0,0,0,0,0,0,0,0,9.350,6,0,0,0,0,0,0,0,0,0,0,
112150269000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112150269000,0,0,8.450,6,0,0,0,0,0,0,0,0,9.250,6,0,0,0,0,0,0,0,0,0,0,
113131631000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113131631000,0,0,8.600,6,0,0,0,0,0,0,0,0,9.450,6,0,0,0,0,0,0,0,0,0,0,
113948101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113948101000,0,0,8.450,6,0,0,0,0,0,0,0,0,9.250,6,0,0,0,0,0,0,0,0,0,0,
130601166000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130601166000,0,0,8.650,6,0,0,0,0,0,0,0,0,9.500,6,0,0,0,0,0,0,0,0,0,0,
131753468000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131753468000,0,0,8.450,6,0,0,0,0,0,0,0,0,9.250,6,0,0,0,0,0,0,0,0,0,0,
132440068000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132440068000,0,0,8.250,6,0,0,0,0,0,0,0,0,9.050,6,0,0,0,0,0,0,0,0,0,0,
