Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95447292000,0,0,2.670,5,0.000,0,0.000,0,0.000,0,0.000,0,3.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95453542000,0,0,2.460,5,0.000,0,0.000,0,0.000,0,0.000,0,2.940,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95454416000,0,0,2.670,5,0.000,0,0.000,0,0.000,0,0.000,0,3.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101203291000,0,0,2.690,5,0.000,0,0.000,0,0.000,0,0.000,0,3.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101203416000,0,0,2.540,5,0.000,0,0.000,0,0.000,0,0.000,0,2.910,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101203916000,0,0,2.690,5,0.000,0,0.000,0,0.000,0,0.000,0,3.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101204416000,0,0,2.620,5,0.000,0,0.000,0,0.000,0,0.000,0,3.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101205167000,0,0,2.540,5,0.000,0,0.000,0,0.000,0,0.000,0,2.910,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101205416000,0,0,2.690,5,0.000,0,0.000,0,0.000,0,0.000,0,3.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102711291000,0,0,2.710,5,0.000,0,0.000,0,0.000,0,0.000,0,3.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102838541000,0,0,2.740,5,0.000,0,0.000,0,0.000,0,0.000,0,3.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103124666000,0,0,2.750,5,0.000,0,0.000,0,0.000,0,0.000,0,3.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103450166000,0,0,2.780,5,0.000,0,0.000,0,0.000,0,0.000,0,3.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103839542000,0,0,2.740,5,0.000,0,0.000,0,0.000,0,0.000,0,3.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103841791000,0,0,2.750,5,0.000,0,0.000,0,0.000,0,0.000,0,3.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103858166000,0,0,2.780,5,0.000,0,0.000,0,0.000,0,0.000,0,3.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103916416000,0,0,2.740,5,0.000,0,0.000,0,0.000,0,0.000,0,3.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103933791000,0,0,2.750,5,0.000,0,0.000,0,0.000,0,0.000,0,3.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103933917000,0,0,2.780,5,0.000,0,0.000,0,0.000,0,0.000,0,3.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103938166000,0,0,2.750,5,0.000,0,0.000,0,0.000,0,0.000,0,3.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103939791000,0,0,2.780,5,0.000,0,0.000,0,0.000,0,0.000,0,3.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103946791000,0,0,2.750,5,0.000,0,0.000,0,0.000,0,0.000,0,3.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104032291000,0,0,2.780,5,0.000,0,0.000,0,0.000,0,0.000,0,3.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104213295000,0,0,2.740,5,0.000,0,0.000,0,0.000,0,0.000,0,3.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104220792000,0,0,2.710,5,0.000,0,0.000,0,0.000,0,0.000,0,3.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104510542000,0,0,2.690,5,0.000,0,0.000,0,0.000,0,0.000,0,3.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104510792000,0,0,2.650,5,0.000,0,0.000,0,0.000,0,0.000,0,3.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104511042000,0,0,2.580,5,0.000,0,0.000,0,0.000,0,0.000,0,2.960,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104511292000,0,0,2.620,5,0.000,0,0.000,0,0.000,0,0.000,0,3.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104511418000,0,0,2.600,5,0.000,0,0.000,0,0.000,0,0.000,0,2.990,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104514042000,0,0,2.580,5,0.000,0,0.000,0,0.000,0,0.000,0,2.960,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104522917000,0,0,2.600,5,0.000,0,0.000,0,0.000,0,0.000,0,2.990,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
