Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95448666000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95453542000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95454416000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101203416000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101203916000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101204416000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101205167000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101205416000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104511292000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105015792000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105027292000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105046041000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105100416000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105153417000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105311791000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105335041000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105404292000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105424791000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
132655044000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
