Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95504294000,0,0,0.380,5,0.000,0,0.000,0,0.000,0,0.000,0,0.500,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95554042000,0,0,0.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0.520,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95921292000,0,0,0.380,5,0.000,0,0.000,0,0.000,0,0.000,0,0.500,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101746041000,0,0,0.360,5,0.000,0,0.000,0,0.000,0,0.000,0,0.480,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104230416000,0,0,0.380,5,0.000,0,0.000,0,0.000,0,0.000,0,0.500,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104851417000,0,0,0.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0.520,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
112049291000,0,0,0.380,5,0.000,0,0.000,0,0.000,0,0.000,0,0.500,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
131150543000,0,0,0.340,5,0.000,0,0.000,0,0.000,0,0.000,0,0.460,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
131205542000,0,0,0.380,5,0.000,0,0.000,0,0.000,0,0.000,0,0.500,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
131322792000,0,0,0.340,5,0.000,0,0.000,0,0.000,0,0.000,0,0.460,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
131433916000,0,0,0.380,5,0.000,0,0.000,0,0.000,0,0.000,0,0.500,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
131607416000,0,0,0.340,5,0.000,0,0.000,0,0.000,0,0.000,0,0.460,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
132501167000,0,0,0.360,5,0.000,0,0.000,0,0.000,0,0.000,0,0.480,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
132655044000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
