Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95525667000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102000292000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102421541000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102430666000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102443916000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103455792000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103500166000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103522792000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103528666000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103528791000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103535666000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103535792000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103550668000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103550791000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103557666000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103558041000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.160,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103606917000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104511042000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104526918000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104538668000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104604167000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104646042000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104646541000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104655542000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104657667000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104716166000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104726166000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104726292000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104736541000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104739416000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104749416000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104751042000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104753541000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104803917000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104807792000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104929666000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105241667000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105241916000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105303043000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105307417000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105539417000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105549292000,0,0,0.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
105919541000,0,0,0.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0.140,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
