Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
84320009000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84320000000
84320009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84325009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84325000000
84325009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84330009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84330000000
84330009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84335009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84335000000
84335009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84340008000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84340000000
84340008000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84345009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84345000000
84345009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84350008000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84350000000
84350008000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84355009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84355000000
84355009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84400009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84400000000
84400009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84405009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84405000000
84405009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84410009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84410000000
84410009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84415009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84415000000
84415009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84420009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84420000000
84420009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84425009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84425000000
84425009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84430008000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84430000000
84430008000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84435009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84435000000
84435009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84440009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84440000000
84440009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84445009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84445000000
84445009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84450009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84450000000
84450009000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84455008000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,84455000000
84455008000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
84500077000,0.000,0,0,0,0,0,0,0,0,0,0,0,10.000,1,0,0,0,0,0,0,0,0,0,0,
