Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95151167000,0,0,0.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0.310,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95155541000,0,0,0.210,5,0.200,5,0.000,0,0.000,0,0.000,0,0.310,5,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
95207666000,0,0,0.210,5,0.200,5,0.000,0,0.000,0,0.000,0,0.320,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95207791000,0,0,0.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95234666000,0,0,0.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0.310,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95234791000,0,0,0.210,5,0.200,5,0.000,0,0.000,0,0.000,0,0.310,5,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
95254791000,0,0,0.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0.310,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95255041000,0,0,0.210,5,0.200,5,0.000,0,0.000,0,0.000,0,0.310,5,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
95311668000,0,0,0.200,10,0.000,0,0.000,0,0.000,0,0.000,0,0.310,5,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
95311919000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.310,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95313042000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95313291000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.300,5,0.310,5,0.000,0,0.000,0,0.000,0,0,0,
95333291000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95333792000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.300,5,0.310,5,0.000,0,0.000,0,0.000,0,0,0,
95353541000,0,0,0.210,5,0.190,5,0.000,0,0.000,0,0.000,0,0.310,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95353917000,0,0,0.210,5,0.000,0,0.000,0,0.000,0,0.000,0,0.310,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95354042000,0,0,0.210,5,0.200,5,0.000,0,0.000,0,0.000,0,0.310,5,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
95357418000,0,0,0.200,10,0.000,0,0.000,0,0.000,0,0.000,0,0.310,5,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
95357542000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.310,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95410166000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95410291000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.300,5,0.310,5,0.000,0,0.000,0,0.000,0,0,0,
95430416000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95430916000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.300,5,0.310,5,0.000,0,0.000,0,0.000,0,0,0,
95450916000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95451042000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.300,5,0.310,5,0.000,0,0.000,0,0.000,0,0,0,
95511042000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95511544000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.300,5,0.310,5,0.000,0,0.000,0,0.000,0,0,0,
95526291000,0,0,0.190,10,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.310,5,0.000,0,0.000,0,0.000,0,0,0,
95526792000,0,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95645042000,0,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0.290,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95645166000,0,0,0.190,5,0.180,5,0.000,0,0.000,0,0.000,0,0.290,5,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
95647666000,0,0,0.200,5,0.180,5,0.000,0,0.000,0,0.000,0,0.290,5,0.300,5,0.000,0,0.000,0,0.000,0,0,0,
95647792000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.290,5,0.310,5,0.000,0,0.000,0,0.000,0,0,0,
95702918000,0,0,0.190,10,0.000,0,0.000,0,0.000,0,0.000,0,0.290,5,0.310,5,0.000,0,0.000,0,0.000,0,0,0,
