Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91829125000,0,0,0,0,0,0,0,0,0,0,0,0,6.000,1,0,0,0,0,0,0,0,0,0,0,
95401959000,0,0,3.950,6,0,0,0,0,0,0,0,0,4.950,6,6.000,1,0,0,0,0,0,0,0,0,
95542069000,0,0,0,0,0,0,0,0,0,0,0,0,6.000,1,0,0,0,0,0,0,0,0,0,0,
95542069000,0,0,3.430,6,0,0,0,0,0,0,0,0,6.000,1,0,0,0,0,0,0,0,0,0,0,
95542069000,0,0,3.430,6,0,0,0,0,0,0,0,0,5.150,6,6.000,1,0,0,0,0,0,0,0,0,
95542069000,0,0,0,0,0,0,0,0,0,0,0,0,5.150,6,6.000,1,0,0,0,0,0,0,0,0,
95542069000,0,0,0,0,0,0,0,0,0,0,0,0,6.000,1,0,0,0,0,0,0,0,0,0,0,
95542069000,0,0,3.610,6,0,0,0,0,0,0,0,0,4.610,6,6.000,1,0,0,0,0,0,0,0,0,
95556616000,0,0,0,0,0,0,0,0,0,0,0,0,6.000,1,0,0,0,0,0,0,0,0,0,0,
95556616000,0,0,3.430,6,0,0,0,0,0,0,0,0,6.000,1,0,0,0,0,0,0,0,0,0,0,
95556616000,0,0,3.430,6,0,0,0,0,0,0,0,0,5.150,6,6.000,1,0,0,0,0,0,0,0,0,
95556616000,0,0,0,0,0,0,0,0,0,0,0,0,5.150,6,6.000,1,0,0,0,0,0,0,0,0,
95556616000,0,0,0,0,0,0,0,0,0,0,0,0,6.000,1,0,0,0,0,0,0,0,0,0,0,
95556616000,0,0,3.950,6,0,0,0,0,0,0,0,0,4.950,6,6.000,1,0,0,0,0,0,0,0,0,
95602628000,0,0,3.950,6,0,0,0,0,0,0,0,0,4.580,1,4.950,6,0,0,0,0,0,0,0,0,
95914470000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
95914470000,0,0,3.770,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
95914470000,0,0,3.770,6,0,0,0,0,0,0,0,0,4.580,1,5.500,6,0,0,0,0,0,0,0,0,
95914471000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.500,6,0,0,0,0,0,0,0,0,
95914471000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
95914471000,0,0,4.310,6,0,0,0,0,0,0,0,0,4.580,1,5.300,6,0,0,0,0,0,0,0,0,
100243155000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
100243155000,0,0,3.950,6,0,0,0,0,0,0,0,0,4.580,1,4.950,6,0,0,0,0,0,0,0,0,
100517079000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
102501493000,0,0,4.310,6,0,0,0,0,0,0,0,0,4.580,1,5.300,6,0,0,0,0,0,0,0,0,
102641603000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
102641603000,0,0,3.760,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
102641603000,0,0,3.760,6,0,0,0,0,0,0,0,0,4.580,1,5.500,6,0,0,0,0,0,0,0,0,
102641604000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.500,6,0,0,0,0,0,0,0,0,
102641604000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
102641604000,0,0,3.950,6,0,0,0,0,0,0,0,0,4.580,1,4.950,6,0,0,0,0,0,0,0,0,
103127955000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103127955000,0,0,3.430,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103127955000,0,0,3.430,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
103127955000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
103127955000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103127955000,0,0,3.600,6,0,0,0,0,0,0,0,0,4.580,1,4.600,6,0,0,0,0,0,0,0,0,
103329702000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103329702000,0,0,3.430,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103329702000,0,0,3.430,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
103329703000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
103329703000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103329703000,0,0,3.940,6,0,0,0,0,0,0,0,0,4.580,1,4.940,6,0,0,0,0,0,0,0,0,
103534022000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103534023000,0,0,3.430,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103534023000,0,0,3.430,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
103534024000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
103534024000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103534024000,0,0,3.600,6,0,0,0,0,0,0,0,0,4.580,1,4.600,6,0,0,0,0,0,0,0,0,
103622116000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103622116000,0,0,3.430,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103622116000,0,0,3.430,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
103622116000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
103622116000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103622117000,0,0,3.940,6,0,0,0,0,0,0,0,0,4.580,1,4.940,6,0,0,0,0,0,0,0,0,
103757347000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103757347000,0,0,3.430,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103757348000,0,0,3.430,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
103757348000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
103757348000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
103757348000,0,0,3.600,6,0,0,0,0,0,0,0,0,4.580,1,4.600,6,0,0,0,0,0,0,0,0,
104129153000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104129153000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104129153000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104129153000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104129153000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104129153000,0,0,3.940,6,0,0,0,0,0,0,0,0,4.580,1,4.940,6,0,0,0,0,0,0,0,0,
104221399000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104221399000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104221399000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104221400000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104221400000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104221400000,0,0,3.600,6,0,0,0,0,0,0,0,0,4.580,1,4.600,6,0,0,0,0,0,0,0,0,
104224031000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104224031000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104224031000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104229469000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104229469000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104229469000,0,0,3.940,6,0,0,0,0,0,0,0,0,4.580,1,4.940,6,0,0,0,0,0,0,0,0,
104442619000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104442619000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104442619000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104442619000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104442619000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104442619000,0,0,3.940,6,0,0,0,0,0,0,0,0,4.580,1,4.940,6,0,0,0,0,0,0,0,0,
104442627000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104442627000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104442627000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104442627000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104442627000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104442627000,0,0,3.600,6,0,0,0,0,0,0,0,0,4.580,1,4.600,6,0,0,0,0,0,0,0,0,
104638623000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104638623000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104638623000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104638623000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104638623000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104638623000,0,0,3.940,6,0,0,0,0,0,0,0,0,4.580,1,4.940,6,0,0,0,0,0,0,0,0,
104822860000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104822860000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,0,0,0,0,0,0,0,0,0,0,
104822860000,0,0,3.420,6,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
104822860000,0,0,0,0,0,0,0,0,0,0,0,0,4.580,1,5.150,6,0,0,0,0,0,0,0,0,
