Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91400041000,0,0,3.100,6,0.000,0,0.000,0,0.000,0,0.000,0,4.300,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91539666000,0,0,3.010,6,0.000,0,0.000,0,0.000,0,0.000,0,4.210,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91736417000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750542000,0,0,3.010,6,0.000,0,0.000,0,0.000,0,0.000,0,4.210,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92052541000,0,0,3.290,6,0.000,0,0.000,0,0.000,0,0.000,0,4.490,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92225917000,0,0,3.480,6,0.000,0,0.000,0,0.000,0,0.000,0,4.680,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92226792000,0,0,3.290,6,0.000,0,0.000,0,0.000,0,0.000,0,4.490,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92346542000,0,0,3.390,6,0.000,0,0.000,0,0.000,0,0.000,0,4.590,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92446666000,0,0,3.290,6,0.000,0,0.000,0,0.000,0,0.000,0,4.490,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93348291000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95231791000,0,0,2.650,5,0.000,0,0.000,0,0.000,0,0.000,0,4.100,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
