Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
85724166000,0,0,0.300,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91130416000,0,0,0.500,1,0.300,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91139542000,0,0,0.700,1,0.500,1,0.300,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91150416000,0,0,0.500,1,0.300,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91359667000,0,0,1.660,6,0.500,1,0.300,1,0.000,0,0.000,0,2.660,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91535666000,0,0,1.880,6,0.500,1,0.300,1,0.000,0,0.000,0,2.880,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91653918000,0,0,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91736417000,0,0,0.500,1,0.300,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750542000,0,0,1.880,6,0.500,1,0.300,1,0.000,0,0.000,0,2.880,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91856417000,0,0,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92225917000,0,0,1.540,6,0.500,1,0.300,1,0.000,0,0.000,0,2.540,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92226042000,0,0,1.440,6,0.500,1,0.300,1,0.000,0,0.000,0,2.440,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92226541000,0,0,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92230916000,0,0,1.540,6,0.500,1,0.300,1,0.000,0,0.000,0,2.540,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92231042000,0,0,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92231167000,0,0,1.440,6,0.500,1,0.300,1,0.000,0,0.000,0,2.440,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92231292000,0,0,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92338291000,0,0,1.440,6,0.500,1,0.300,1,0.000,0,0.000,0,2.440,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92347543000,0,0,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92352666000,0,0,1.540,6,0.500,1,0.300,1,0.000,0,0.000,0,2.540,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92352916000,0,0,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92354292000,0,0,1.540,6,0.500,1,0.300,1,0.000,0,0.000,0,2.540,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92356167000,0,0,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92356292000,0,0,1.540,6,0.500,1,0.300,1,0.000,0,0.000,0,2.540,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92357667000,0,0,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92357916000,0,0,1.540,6,0.500,1,0.300,1,0.000,0,0.000,0,2.540,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92358166000,0,0,1.440,6,0.500,1,0.300,1,0.000,0,0.000,0,2.440,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92405792000,0,0,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92854166000,2.650,3,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,6,0.000,0,0.000,0,0.000,0,0.000,0,1,3,92854076000
92854166000,2.650,3,1.650,6,0.500,1,0.300,1,0.000,0,0.000,0,2.650,3,0.000,0,0.000,0,0.000,0,0.000,0,0,3,
93057044000,2.650,3,1.680,6,0.500,1,0.300,1,0.000,0,0.000,0,2.680,6,0.000,0,0.000,0,0.000,0,0.000,0,0,3,
93220542000,2.650,3,2.000,5,1.680,6,0.500,1,0.300,1,0.000,0,2.680,6,0.000,0,0.000,0,0.000,0,0.000,0,0,3,
93406416000,2.650,3,2.000,5,0.500,1,0.300,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,3,
95231791000,2.650,3,2.000,5,1.740,5,0.500,1,0.300,1,0.000,0,2.940,5,0.000,0,0.000,0,0.000,0,0.000,0,0,3,
95239916000,2.650,3,2.050,5,2.000,5,0.500,1,0.300,1,0.000,0,3.240,5,0.000,0,0.000,0,0.000,0,0.000,0,0,3,
95256291000,2.650,3,2.170,6,2.050,5,2.000,5,0.500,1,0.300,1,3.170,6,3.240,5,0.000,0,0.000,0,0.000,0,0,3,
95305791000,2.650,3,2.380,5,2.170,6,2.000,5,0.500,1,0.300,1,3.170,6,3.570,5,0.000,0,0.000,0,0.000,0,0,3,
95308917000,2.650,3,2.610,5,2.170,6,2.000,5,0.500,1,0.300,1,3.170,6,3.860,5,0.000,0,0.000,0,0.000,0,0,3,
95309043000,2.650,3,2.610,5,2.300,6,2.000,5,0.500,1,0.300,1,3.300,6,3.860,5,0.000,0,0.000,0,0.000,0,0,3,
95309793000,2.650,3,2.610,5,2.440,6,2.000,5,0.500,1,0.300,1,3.440,6,3.860,5,0.000,0,0.000,0,0.000,0,0,3,
95314417000,2.650,3,2.610,5,2.170,6,2.000,5,0.500,1,0.300,1,3.170,6,3.860,5,0.000,0,0.000,0,0.000,0,0,3,
95314542000,2.650,3,2.380,5,2.170,6,2.000,5,0.500,1,0.300,1,3.170,6,3.570,5,0.000,0,0.000,0,0.000,0,0,3,
95317791000,2.650,3,2.440,6,2.380,5,2.000,5,0.500,1,0.300,1,3.440,6,3.570,5,0.000,0,0.000,0,0.000,0,0,3,
95317916000,2.650,3,2.610,5,2.440,6,2.000,5,0.500,1,0.300,1,3.440,6,3.860,5,0.000,0,0.000,0,0.000,0,0,3,
95323792000,2.650,3,2.610,5,2.300,6,2.000,5,0.500,1,0.300,1,3.300,6,3.860,5,0.000,0,0.000,0,0.000,0,0,3,
95324042000,2.650,3,2.380,5,2.300,6,2.000,5,0.500,1,0.300,1,3.300,6,3.860,5,0.000,0,0.000,0,0.000,0,0,3,
95324167000,2.650,3,2.610,5,2.300,6,2.000,5,0.500,1,0.300,1,3.300,6,3.860,5,0.000,0,0.000,0,0.000,0,0,3,
95324792000,2.650,3,2.380,5,2.300,6,2.000,5,0.500,1,0.300,1,3.300,6,3.570,5,0.000,0,0.000,0,0.000,0,0,3,
95324917000,2.650,3,2.380,5,2.300,6,2.000,5,0.500,1,0.300,1,3.300,6,3.860,5,0.000,0,0.000,0,0.000,0,0,3,
95325292000,2.650,3,2.610,5,2.300,6,2.000,5,0.500,1,0.300,1,3.300,6,3.860,5,0.000,0,0.000,0,0.000,0,0,3,
95325666000,2.650,3,2.380,5,2.300,6,2.000,5,0.500,1,0.300,1,3.300,6,3.570,5,0.000,0,0.000,0,0.000,0,0,3,
