Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
84825666000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90408416000,0,0,10.000,5,0.040,5,0.000,0,0.000,0,0.000,0,10.500,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90419541000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90433541000,0,0,10.350,5,0.040,5,0.000,0,0.000,0,0.000,0,10.800,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90738792000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90743417000,0,0,10.500,5,0.040,5,0.000,0,0.000,0,0.000,0,10.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90800667000,0,0,10.400,5,0.040,5,0.000,0,0.000,0,0.000,0,10.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90954916000,0,0,10.500,5,0.040,5,0.000,0,0.000,0,0.000,0,10.900,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91019667000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91019791000,0,0,10.300,5,0.040,5,0.000,0,0.000,0,0.000,0,10.750,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91026792000,0,0,10.450,5,0.040,5,0.000,0,0.000,0,0.000,0,10.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91040792000,0,0,10.300,5,0.040,5,0.000,0,0.000,0,0.000,0,10.750,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91137917000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91144916000,0,0,9.950,5,0.040,5,0.000,0,0.000,0,0.000,0,10.400,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91204669000,0,0,10.050,5,0.040,5,0.000,0,0.000,0,0.000,0,10.500,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91213041000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91218791000,0,0,10.200,5,0.040,5,0.000,0,0.000,0,0.000,0,10.650,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91228166000,0,0,10.300,5,0.040,5,0.000,0,0.000,0,0.000,0,10.750,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91235666000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91236416000,0,0,10.550,5,0.040,5,0.000,0,0.000,0,0.000,0,10.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91239791000,0,0,10.450,5,0.040,5,0.000,0,0.000,0,0.000,0,10.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91246168000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91248166000,0,0,10.550,5,0.040,5,0.000,0,0.000,0,0.000,0,10.950,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91249416000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91253166000,0,0,10.800,5,0.040,5,0.000,0,0.000,0,0.000,0,11.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91305542000,0,0,10.900,5,0.040,5,0.000,0,0.000,0,0.000,0,11.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91359667000,0,0,10.900,5,10.450,6,0.040,5,0.000,0,0.000,0,11.300,5,11.450,6,0.000,0,0.000,0,0.000,0,0,0,
91535667000,0,0,10.000,6,0.040,5,0.000,0,0.000,0,0.000,0,11.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91542044000,0,0,10.550,5,10.000,6,0.040,5,0.000,0,0.000,0,11.000,11,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91556166000,0,0,10.500,5,10.000,6,0.040,5,0.000,0,0.000,0,10.900,5,11.000,6,0.000,0,0.000,0,0.000,0,0,0,
91653794000,0,0,10.000,6,0.040,5,0.000,0,0.000,0,0.000,0,11.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91653919000,0,0,10.450,6,0.040,5,0.000,0,0.000,0,0.000,0,11.450,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91700792000,0,0,10.650,5,10.450,6,0.040,5,0.000,0,0.000,0,11.100,5,11.450,6,0.000,0,0.000,0,0.000,0,0,0,
91736420000,0,0,10.650,5,0.040,5,0.000,0,0.000,0,0.000,0,11.100,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91745292000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91747291000,0,0,10.600,5,0.040,5,0.000,0,0.000,0,0.000,0,11.050,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750667000,0,0,10.600,5,10.000,6,0.040,5,0.000,0,0.000,0,11.000,6,11.050,5,0.000,0,0.000,0,0.000,0,0,0,
91750793000,0,0,10.000,6,0.040,5,0.000,0,0.000,0,0.000,0,11.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91752292000,0,0,10.400,5,10.000,6,0.040,5,0.000,0,0.000,0,10.850,5,11.000,6,0.000,0,0.000,0,0.000,0,0,0,
91856291000,0,0,10.000,6,0.040,5,0.000,0,0.000,0,0.000,0,11.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91856417000,0,0,10.450,6,0.040,5,0.000,0,0.000,0,0.000,0,11.450,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91903291000,0,0,10.750,5,10.450,6,0.040,5,0.000,0,0.000,0,11.200,5,11.450,6,0.000,0,0.000,0,0.000,0,0,0,
91913541000,0,0,10.850,5,10.450,6,0.040,5,0.000,0,0.000,0,11.250,5,11.450,6,0.000,0,0.000,0,0.000,0,0,0,
92054416000,0,0,10.950,5,10.450,6,0.040,5,0.000,0,0.000,0,11.350,5,11.450,6,0.000,0,0.000,0,0.000,0,0,0,
92225917000,0,0,10.650,6,0.040,5,0.000,0,0.000,0,0.000,0,11.700,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92226042000,0,0,10.900,6,0.040,5,0.000,0,0.000,0,0.000,0,11.950,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92226541000,0,0,10.450,6,0.040,5,0.000,0,0.000,0,0.000,0,11.450,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92230916000,0,0,10.650,6,0.040,5,0.000,0,0.000,0,0.000,0,11.700,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92231042000,0,0,10.450,6,0.040,5,0.000,0,0.000,0,0.000,0,11.450,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92231167000,0,0,10.900,6,0.040,5,0.000,0,0.000,0,0.000,0,11.950,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92231292000,0,0,10.450,6,0.040,5,0.000,0,0.000,0,0.000,0,11.450,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92338291000,0,0,10.900,6,0.040,5,0.000,0,0.000,0,0.000,0,11.950,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92347543000,0,0,10.450,6,0.040,5,0.000,0,0.000,0,0.000,0,11.450,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92352666000,0,0,10.650,6,0.040,5,0.000,0,0.000,0,0.000,0,11.700,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92352916000,0,0,10.450,6,0.040,5,0.000,0,0.000,0,0.000,0,11.450,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92354292000,0,0,10.650,6,0.040,5,0.000,0,0.000,0,0.000,0,11.700,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92356167000,0,0,10.450,6,0.040,5,0.000,0,0.000,0,0.000,0,11.450,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92356292000,0,0,10.650,6,0.040,5,0.000,0,0.000,0,0.000,0,11.700,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92357668000,0,0,10.450,6,0.040,5,0.000,0,0.000,0,0.000,0,11.450,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92357916000,0,0,10.650,6,0.040,5,0.000,0,0.000,0,0.000,0,11.700,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92358166000,0,0,10.900,6,0.040,5,0.000,0,0.000,0,0.000,0,11.950,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92405793000,0,0,10.450,6,0.040,5,0.000,0,0.000,0,0.000,0,11.450,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93406416000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95232291000,0,0,8.750,5,0.040,5,0.000,0,0.000,0,0.000,0,11.150,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
