Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
91400042000,0,0,0.890,6,0.000,0,0.000,0,0.000,0,0.000,0,2.090,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91539667000,0,0,0.930,6,0.000,0,0.000,0,0.000,0,0.000,0,2.130,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91736420000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91750667000,0,0,0.930,6,0.000,0,0.000,0,0.000,0,0.000,0,2.130,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91929666000,0,0,1.000,1,0.930,6,0.000,0,0.000,0,0.000,0,2.130,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92052541000,0,0,1.000,1,0.800,6,0.000,0,0.000,0,0.000,0,2.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92346542000,0,0,1.000,1,0.760,6,0.000,0,0.000,0,0.000,0,1.960,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
92446666000,0,0,1.000,1,0.800,6,0.000,0,0.000,0,0.000,0,2.000,6,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
93348291000,0,0,1.000,1,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95232291000,0,0,1.320,5,1.000,1,0.000,0,0.000,0,0.000,0,2.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95232416000,0,0,1.320,5,1.270,6,1.000,1,0.000,0,0.000,0,2.320,5,2.470,6,0.000,0,0.000,0,0.000,0,0,0,
95300667000,0,0,1.320,5,1.270,6,1.050,6,1.000,1,0.000,0,2.250,6,2.320,5,2.470,6,0.000,0,0.000,0,0,0,
