Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95711668000,0,0,1.690,5,0.000,0,0.000,0,0.000,0,0.000,0,1.940,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100440792000,0,0,1.670,5,0.000,0,0.000,0,0.000,0,0.000,0,1.920,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100714916000,0,0,1.660,5,0.000,0,0.000,0,0.000,0,0.000,0,1.900,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100717416000,0,0,1.670,5,0.000,0,0.000,0,0.000,0,0.000,0,1.920,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100723042000,0,0,1.660,5,0.000,0,0.000,0,0.000,0,0.000,0,1.900,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100732918000,0,0,1.670,5,0.000,0,0.000,0,0.000,0,0.000,0,1.920,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100751666000,0,0,1.660,5,0.000,0,0.000,0,0.000,0,0.000,0,1.900,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101502168000,0,0,1.630,5,0.000,0,0.000,0,0.000,0,0.000,0,1.870,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101903916000,0,0,1.610,5,0.000,0,0.000,0,0.000,0,0.000,0,1.850,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
101940292000,0,0,1.630,5,0.000,0,0.000,0,0.000,0,0.000,0,1.870,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102847917000,0,0,1.660,5,0.000,0,0.000,0,0.000,0,0.000,0,1.900,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103111791000,0,0,1.670,5,0.000,0,0.000,0,0.000,0,0.000,0,1.920,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103147416000,0,0,1.660,5,0.000,0,0.000,0,0.000,0,0.000,0,1.900,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
103559167000,0,0,1.670,5,0.000,0,0.000,0,0.000,0,0.000,0,1.920,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104331541000,0,0,1.690,5,0.000,0,0.000,0,0.000,0,0.000,0,1.940,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104332046000,0,0,1.710,5,0.000,0,0.000,0,0.000,0,0.000,0,1.960,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104335543000,0,0,1.690,5,0.000,0,0.000,0,0.000,0,0.000,0,1.940,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104509918000,0,0,1.710,5,0.000,0,0.000,0,0.000,0,0.000,0,1.960,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104523416000,0,0,1.750,5,0.000,0,0.000,0,0.000,0,0.000,0,2.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104525668000,0,0,1.730,5,0.000,0,0.000,0,0.000,0,0.000,0,1.980,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104531417000,0,0,1.710,5,0.000,0,0.000,0,0.000,0,0.000,0,1.960,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104645043000,0,0,1.730,5,0.000,0,0.000,0,0.000,0,0.000,0,1.980,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104720916000,0,0,1.750,5,0.000,0,0.000,0,0.000,0,0.000,0,2.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
