Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
95728418000,0,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
95858041000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100100667000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.240,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100101166000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100404292000,0,0,0.120,5,0.000,0,0.000,0,0.000,0,0.000,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
102501792000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104510417000,0,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104510542000,0,0,0.110,5,0.070,6,0.000,0,0.000,0,0.000,0,0.180,5,0.190,6,0.000,0,0.000,0,0.000,0,0,0,
104835166000,0,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0.180,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104835291000,0,0,0.120,5,0.080,6,0.000,0,0.000,0,0.000,0,0.190,5,0.200,6,0.000,0,0.000,0,0.000,0,0,0,
104914292000,0,0,0.130,5,0.080,6,0.000,0,0.000,0,0.000,0,0.200,11,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104914417000,0,0,0.130,5,0.000,0,0.000,0,0.000,0,0.000,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
104914541000,0,0,0.130,5,0.090,6,0.000,0,0.000,0,0.000,0,0.200,5,0.210,6,0.000,0,0.000,0,0.000,0,0,0,
105105291000,0,0,0.110,5,0.090,6,0.000,0,0.000,0,0.000,0,0.180,5,0.210,6,0.000,0,0.000,0,0.000,0,0,0,
