Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90429417000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.280,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90432166000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.280,5,0.290,5,0.000,0,0.000,0,0.000,0,0,0,
90452291000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.280,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90452916000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.280,5,0.290,5,0.000,0,0.000,0,0.000,0,0,0,
90512916000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.280,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90513041000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.280,5,0.290,5,0.000,0,0.000,0,0.000,0,0,0,
90533041000,0,0,0.200,5,0.000,0,0.000,0,0.000,0,0.000,0,0.280,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90533416000,0,0,0.200,5,0.190,5,0.000,0,0.000,0,0.000,0,0.280,5,0.290,5,0.000,0,0.000,0,0.000,0,0,0,
90547541000,0,0,0.190,5,0.000,0,0.000,0,0.000,0,0.000,0,0.290,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90547666000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90559541000,0,0,0.230,5,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90559666000,0,0,0.230,5,0.220,5,0.000,0,0.000,0,0.000,0,0.300,5,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
90619791000,0,0,0.230,5,0.220,5,0.000,0,0.000,0,0.000,0,0.300,5,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
90639916000,0,0,0.230,5,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90640166000,0,0,0.230,5,0.220,5,0.000,0,0.000,0,0.000,0,0.300,5,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
90700291000,0,0,0.230,5,0.000,0,0.000,0,0.000,0,0.000,0,0.300,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90700666000,0,0,0.230,5,0.220,5,0.000,0,0.000,0,0.000,0,0.300,5,0.320,5,0.000,0,0.000,0,0.000,0,0,0,
90710291000,0,0,0.220,5,0.000,0,0.000,0,0.000,0,0.000,0,0.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
