Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90429541000,0,0,1.350,5,0.000,0,0.000,0,0.000,0,0.000,0,1.450,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90433416000,0,0,1.350,5,1.340,5,0.000,0,0.000,0,0.000,0,1.450,5,1.470,5,0.000,0,0.000,0,0.000,0,0,0,
90453416000,0,0,1.350,5,0.000,0,0.000,0,0.000,0,0.000,0,1.450,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90453791000,0,0,1.350,5,1.340,5,0.000,0,0.000,0,0.000,0,1.450,5,1.470,5,0.000,0,0.000,0,0.000,0,0,0,
90513791000,0,0,1.350,5,0.000,0,0.000,0,0.000,0,0.000,0,1.450,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90513916000,0,0,1.350,5,1.340,5,0.000,0,0.000,0,0.000,0,1.450,5,1.470,5,0.000,0,0.000,0,0.000,0,0,0,
90533916000,0,0,1.350,5,0.000,0,0.000,0,0.000,0,0.000,0,1.450,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90534041000,0,0,1.350,5,1.340,5,0.000,0,0.000,0,0.000,0,1.450,5,1.470,5,0.000,0,0.000,0,0.000,0,0,0,
90537291000,0,0,1.340,5,0.000,0,0.000,0,0.000,0,0.000,0,1.470,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90537666000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90613542000,0,0,1.400,5,0.000,0,0.000,0,0.000,0,0.000,0,1.470,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90613666000,0,0,1.400,5,1.370,5,0.000,0,0.000,0,0.000,0,1.470,5,1.500,5,0.000,0,0.000,0,0.000,0,0,0,
90633791000,0,0,1.400,5,0.000,0,0.000,0,0.000,0,0.000,0,1.470,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90633916000,0,0,1.400,5,1.370,5,0.000,0,0.000,0,0.000,0,1.470,5,1.500,5,0.000,0,0.000,0,0.000,0,0,0,
90642541000,0,0,1.410,5,1.370,5,0.000,0,0.000,0,0.000,0,1.490,5,1.500,5,0.000,0,0.000,0,0.000,0,0,0,
90643166000,0,0,1.410,5,1.390,5,0.000,0,0.000,0,0.000,0,1.490,5,1.520,5,0.000,0,0.000,0,0.000,0,0,0,
90703166000,0,0,1.410,5,0.000,0,0.000,0,0.000,0,0.000,0,1.490,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90703916000,0,0,1.410,5,1.390,5,0.000,0,0.000,0,0.000,0,1.490,5,1.520,5,0.000,0,0.000,0,0.000,0,0,0,
90710291000,0,0,1.390,5,0.000,0,0.000,0,0.000,0,0.000,0,1.520,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90710541000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90724291000,0,0,1.440,5,0.000,0,0.000,0,0.000,0,0.000,0,1.520,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90724666000,0,0,1.440,5,1.410,5,0.000,0,0.000,0,0.000,0,1.520,5,1.550,5,0.000,0,0.000,0,0.000,0,0,0,
90744792000,0,0,1.440,5,0.000,0,0.000,0,0.000,0,0.000,0,1.520,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90745291000,0,0,1.440,5,1.410,5,0.000,0,0.000,0,0.000,0,1.520,5,1.550,5,0.000,0,0.000,0,0.000,0,0,0,
90753916000,0,0,1.440,5,1.410,5,0.000,0,0.000,0,0.000,0,1.540,5,1.550,5,0.000,0,0.000,0,0.000,0,0,0,
90754041000,0,0,1.440,5,1.420,5,0.000,0,0.000,0,0.000,0,1.540,5,1.560,5,0.000,0,0.000,0,0.000,0,0,0,
90804041000,0,0,1.420,5,0.000,0,0.000,0,0.000,0,0.000,0,1.560,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
