Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90408416000,0,0,0.720,5,0.000,0,0.000,0,0.000,0,0.000,0,0.790,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90419792000,0,0,0.720,5,0.710,5,0.000,0,0.000,0,0.000,0,0.790,5,0.810,5,0.000,0,0.000,0,0.000,0,0,0,
90439916000,0,0,0.720,5,0.000,0,0.000,0,0.000,0,0.000,0,0.790,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90440791000,0,0,0.720,5,0.710,5,0.000,0,0.000,0,0.000,0,0.790,5,0.810,5,0.000,0,0.000,0,0.000,0,0,0,
90456916000,0,0,0.710,5,0.700,5,0.000,0,0.000,0,0.000,0,0.790,5,0.810,5,0.000,0,0.000,0,0.000,0,0,0,
90457044000,0,0,0.700,5,0.000,0,0.000,0,0.000,0,0.000,0,0.790,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90532166000,0,0,0.690,5,0.000,0,0.000,0,0.000,0,0.000,0,0.770,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90532291000,0,0,0.690,5,0.680,5,0.000,0,0.000,0,0.000,0,0.770,5,0.780,5,0.000,0,0.000,0,0.000,0,0,0,
90552416000,0,0,0.690,5,0.680,5,0.000,0,0.000,0,0.000,0,0.770,5,0.780,5,0.000,0,0.000,0,0.000,0,0,0,
90612416000,0,0,0.690,5,0.000,0,0.000,0,0.000,0,0.000,0,0.770,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90613042000,0,0,0.690,5,0.680,5,0.000,0,0.000,0,0.000,0,0.770,5,0.780,5,0.000,0,0.000,0,0.000,0,0,0,
90633166000,0,0,0.690,5,0.000,0,0.000,0,0.000,0,0.000,0,0.770,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90633417000,0,0,0.690,5,0.680,5,0.000,0,0.000,0,0.000,0,0.770,5,0.780,5,0.000,0,0.000,0,0.000,0,0,0,
90653416000,0,0,0.690,5,0.680,5,0.000,0,0.000,0,0.000,0,0.770,5,0.780,5,0.000,0,0.000,0,0.000,0,0,0,
90656292000,0,0,0.680,10,0.000,0,0.000,0,0.000,0,0.000,0,0.750,5,0.780,5,0.000,0,0.000,0,0.000,0,0,0,
90656416000,0,0,0.680,5,0.000,0,0.000,0,0.000,0,0.000,0,0.750,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90656541000,0,0,0.680,5,0.670,5,0.000,0,0.000,0,0.000,0,0.750,5,0.770,5,0.000,0,0.000,0,0.000,0,0,0,
90716541000,0,0,0.680,5,0.000,0,0.000,0,0.000,0,0.000,0,0.750,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90716917000,0,0,0.680,5,0.670,5,0.000,0,0.000,0,0.000,0,0.750,5,0.770,5,0.000,0,0.000,0,0.000,0,0,0,
90730543000,0,0,0.670,5,0.660,5,0.000,0,0.000,0,0.000,0,0.740,5,0.770,5,0.000,0,0.000,0,0.000,0,0,0,
90731042000,0,0,0.660,5,0.000,0,0.000,0,0.000,0,0.000,0,0.740,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90731168000,0,0,0.660,5,0.650,5,0.000,0,0.000,0,0.000,0,0.740,5,0.750,5,0.000,0,0.000,0,0.000,0,0,0,
90751166000,0,0,0.660,5,0.650,5,0.000,0,0.000,0,0.000,0,0.740,5,0.750,5,0.000,0,0.000,0,0.000,0,0,0,
90807916000,0,0,0.650,10,0.000,0,0.000,0,0.000,0,0.000,0,0.720,5,0.750,5,0.000,0,0.000,0,0.000,0,0,0,
90808417000,0,0,0.650,5,0.000,0,0.000,0,0.000,0,0.000,0,0.720,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90808541000,0,0,0.650,5,0.640,5,0.000,0,0.000,0,0.000,0,0.720,5,0.740,5,0.000,0,0.000,0,0.000,0,0,0,
90828541000,0,0,0.650,5,0.000,0,0.000,0,0.000,0,0.000,0,0.720,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90828916000,0,0,0.670,5,0.000,0,0.000,0,0.000,0,0.000,0,0.740,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90829041000,0,0,0.670,5,0.660,5,0.000,0,0.000,0,0.000,0,0.740,5,0.760,5,0.000,0,0.000,0,0.000,0,0,0,
90849042000,0,0,0.670,5,0.000,0,0.000,0,0.000,0,0.000,0,0.740,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90849167000,0,0,0.670,5,0.660,5,0.000,0,0.000,0,0.000,0,0.740,5,0.760,5,0.000,0,0.000,0,0.000,0,0,0,
90849916000,0,0,0.670,5,0.660,5,0.000,0,0.000,0,0.000,0,0.760,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
