Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
90415416000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90419791000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
90439791000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90440416000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
90500417000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90500791000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
90520916000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90521291000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
90541416000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
90601416000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90601542000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
90621541000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90622166000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
90628291000,0,0,0.030,10,0.000,0,0.000,0,0.000,0,0.000,0,0.090,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
90628416000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90629041000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
90649041000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90649291000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
90709416000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
90729416000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90730041000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
90750041000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90750541000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
90810666000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
90830791000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90831166000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
90851291000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
90911416000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90911666000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
90931667000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90931916000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
90951917000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
90952166000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
91012291000,0,0,0.030,5,0.000,0,0.000,0,0.000,0,0.000,0,0.090,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91012667000,0,0,0.030,5,0.010,5,0.000,0,0.000,0,0.000,0,0.090,5,0.110,5,0.000,0,0.000,0,0.000,0,0,0,
91016667000,0,0,0.040,5,0.010,5,0.000,0,0.000,0,0.000,0,0.110,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91017042000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91017417000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
91037542000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91038042000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
91058043000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91058167000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
91118167000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91118541000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
91138667000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91139167000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
91159167000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
91219291000,0,0,0.040,5,0.000,0,0.000,0,0.000,0,0.000,0,0.110,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
91219541000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
91239666000,0,0,0.040,5,0.030,5,0.000,0,0.000,0,0.000,0,0.110,5,0.130,5,0.000,0,0.000,0,0.000,0,0,0,
