Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
100010666000,0,0,2.830,5,0.000,0,0.000,0,0.000,0,0.000,0,3.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100014168000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100022792000,0,0,2.800,5,2.790,5,0.000,0,0.000,0,0.000,0,3.010,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100023292000,0,0,2.790,5,2.780,5,0.000,0,0.000,0,0.000,0,2.970,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100023416000,0,0,2.780,5,0.000,0,0.000,0,0.000,0,0.000,0,2.970,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100024042000,0,0,2.780,5,2.740,5,0.000,0,0.000,0,0.000,0,2.970,5,3.010,5,0.000,0,0.000,0,0.000,0,0,0,
100044166000,0,0,2.780,5,0.000,0,0.000,0,0.000,0,0.000,0,2.970,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100044791000,0,0,2.780,5,2.740,5,0.000,0,0.000,0,0.000,0,2.970,5,3.010,5,0.000,0,0.000,0,0.000,0,0,0,
100057917000,0,0,2.800,5,2.740,5,0.000,0,0.000,0,0.000,0,3.010,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100058291000,0,0,2.800,5,0.000,0,0.000,0,0.000,0,0.000,0,3.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100058541000,0,0,2.800,5,2.770,5,0.000,0,0.000,0,0.000,0,3.010,5,3.040,5,0.000,0,0.000,0,0.000,0,0,0,
100114167000,0,0,2.830,5,2.770,5,0.000,0,0.000,0,0.000,0,3.020,5,3.040,5,0.000,0,0.000,0,0.000,0,0,0,
100114791000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100119916000,0,0,2.800,5,2.790,5,0.000,0,0.000,0,0.000,0,3.010,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100120167000,0,0,2.800,5,2.770,5,0.000,0,0.000,0,0.000,0,3.010,5,3.040,5,0.000,0,0.000,0,0.000,0,0,0,
100140166000,0,0,2.800,5,0.000,0,0.000,0,0.000,0,0.000,0,3.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100140417000,0,0,2.800,5,2.770,5,0.000,0,0.000,0,0.000,0,3.010,5,3.040,5,0.000,0,0.000,0,0.000,0,0,0,
100200417000,0,0,2.800,5,0.000,0,0.000,0,0.000,0,0.000,0,3.010,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100200667000,0,0,2.800,5,2.770,5,0.000,0,0.000,0,0.000,0,3.010,5,3.040,5,0.000,0,0.000,0,0.000,0,0,0,
100207293000,0,0,2.830,5,2.770,5,0.000,0,0.000,0,0.000,0,3.020,5,3.040,5,0.000,0,0.000,0,0.000,0,0,0,
100207791000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100219666000,0,0,2.850,5,2.790,5,0.000,0,0.000,0,0.000,0,3.060,10,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100220042000,0,0,2.850,5,0.000,0,0.000,0,0.000,0,0.000,0,3.060,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100220166000,0,0,2.850,5,2.820,5,0.000,0,0.000,0,0.000,0,3.060,5,3.100,5,0.000,0,0.000,0,0.000,0,0,0,
100236041000,0,0,2.830,5,2.820,5,0.000,0,0.000,0,0.000,0,3.020,5,3.100,5,0.000,0,0.000,0,0.000,0,0,0,
100236291000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100256292000,0,0,2.830,5,0.000,0,0.000,0,0.000,0,0.000,0,3.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100256667000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100316791000,0,0,2.830,5,0.000,0,0.000,0,0.000,0,0.000,0,3.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100316916000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100336916000,0,0,2.830,5,0.000,0,0.000,0,0.000,0,0.000,0,3.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100337043000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100357167000,0,0,2.830,5,0.000,0,0.000,0,0.000,0,0.000,0,3.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100357417000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100417416000,0,0,2.830,5,0.000,0,0.000,0,0.000,0,0.000,0,3.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100417542000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100437666000,0,0,2.830,5,0.000,0,0.000,0,0.000,0,0.000,0,3.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100437791000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100457792000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100517916000,0,0,2.830,5,0.000,0,0.000,0,0.000,0,0.000,0,3.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100518041000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100538041000,0,0,2.830,5,0.000,0,0.000,0,0.000,0,0.000,0,3.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100538666000,0,0,2.830,5,2.790,5,0.000,0,0.000,0,0.000,0,3.020,5,3.060,5,0.000,0,0.000,0,0.000,0,0,0,
100558791000,0,0,2.830,5,0.000,0,0.000,0,0.000,0,0.000,0,3.020,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
