Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime
100010666000,0,0,2.110,5,0.000,0,0.000,0,0.000,0,0.000,0,2.320,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100013292000,0,0,2.110,5,2.070,5,0.000,0,0.000,0,0.000,0,2.320,5,2.370,5,0.000,0,0.000,0,0.000,0,0,0,
100015417000,0,0,2.100,5,2.070,5,0.000,0,0.000,0,0.000,0,2.330,5,2.370,5,0.000,0,0.000,0,0.000,0,0,0,
100022667000,0,0,2.100,5,2.070,5,0.000,0,0.000,0,0.000,0,2.360,5,2.370,5,0.000,0,0.000,0,0.000,0,0,0,
100023292000,0,0,2.140,5,2.070,5,0.000,0,0.000,0,0.000,0,2.360,5,2.370,5,0.000,0,0.000,0,0.000,0,0,0,
100023541000,0,0,2.140,5,2.100,5,0.000,0,0.000,0,0.000,0,2.360,5,2.410,5,0.000,0,0.000,0,0.000,0,0,0,
100043542000,0,0,2.140,5,0.000,0,0.000,0,0.000,0,0.000,0,2.360,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100044791000,0,0,2.140,5,2.100,5,0.000,0,0.000,0,0.000,0,2.360,5,2.410,5,0.000,0,0.000,0,0.000,0,0,0,
100055791000,0,0,2.100,10,0.000,0,0.000,0,0.000,0,0.000,0,2.330,5,2.410,5,0.000,0,0.000,0,0.000,0,0,0,
100055917000,0,0,2.140,5,0.000,0,0.000,0,0.000,0,0.000,0,2.360,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
100056666000,0,0,2.140,5,2.100,5,0.000,0,0.000,0,0.000,0,2.360,5,2.410,5,0.000,0,0.000,0,0.000,0,0,0,
100057917000,0,0,2.100,10,0.000,0,0.000,0,0.000,0,0.000,0,2.360,5,2.410,5,0.000,0,0.000,0,0.000,0,0,0,
100058292000,0,0,2.100,5,0.000,0,0.000,0,0.000,0,0.000,0,2.360,5,0.000,0,0.000,0,0.000,0,0.000,0,0,0,
